"IDRSSD"	RCFD3353	RCFD3355	RCFD3365	RCFD3368	RCFD3381	RCFD3401	RCFD3484	RCFDB558	RCFDB559	RCFDB560	RCFN3360	RCFN3404	RCON3353	RCON3355	RCON3360	RCON3365	RCON3368	RCON3381	RCON3386	RCON3387	RCON3401	RCON3465	RCON3466	RCON3484	RCON3485	RCONA514	RCONA529	RCONB558	RCONB559	RCONB560	RCONB561	RCONB562	RCONB563	
	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTLY AVG OF TOTAL LOANS	QTLY AVG OF INT-BRG DEPS IN FGN OFFC	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF TOTAL LOANS	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF LNS TO FINC AGRCL PROD	QTLY AVG OF C & I LOANS	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVG OF LNS SECD BY 1-4 FAM	QUARTERLY AVG OF ALL OTH LNS SECD BY	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTLY AVG OF INT-BRG TRANSACTION ACCT	QTR AVG TIME DEPOSITS >= $100,000	QTR AVG TIME DEPOSITS < $100,000	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTR AVG: CREDIT CARD LOANS	QTR AVG: OTHER LOANS TO INDIVIDUALS	QTR AVG: NONTRANS - SAVING DEPOSITS	
37													0		32145	0	89230	9654		3015		16187	7684	0	10574	9528	24218	10630	9620	23487	0	4830	11050	
242													0		25406	1473	42353	939	3778	1741		8613	8333	0	7158	4217	5000	4897	0	7003	0	2822	7863	
279													0	25203	121292	3505	180798	4796		3412	0	88794	24439	0	23796	40842	32124	3374	19109	17590	0	4281	31136	
354													0		3031	945	10869	0	503	171		807	917	0	0	475	2383	4192	1112	755	0	582	3433	
457													0		36327	147	41187	2632	7004	6652		8816	10650	0	2951	2757	7516	0	1	458	0	2608	16596	
505													0	21000	266457	0	427566	60073	0	20265	0	142510	70029	0	9921	12745	23343	15152	26153	36491	0	22832	272884	
1155													16232	0	147441	0	218955	25175	8878	42150	0	27878	55030	0	96372	21551	33753	18411	59	11944	502	9251	11662	
1351													0	0	76681	1502	159422	0	4533	14797	0	18495	27570	0	14923	34750	35128	31655	2706	39993	0	9353	23749	
1454													0	0	243684	0	727219	116934	4206	25498	0	101895	84912	180	130034	60341	46658	236620	514	102134	0	26546	235066	
1557													169		56601	1088	83706	2598	29846	10440		5547	8700	0	10582	7095	9130	4047	12096	3660	0	2034	13895	
1669													0	0	92128	0	256336	25029		7268	0	53245	15273	617	59182	19892	34274	91869	1017	25540	0	10358	47790	
1829													0	37355	260301	0	411027	9685	0	22801	0	124790	111459	16723	24017	24601	48870	9945	53959	35638	659	572	124743	
1856													0	30000	42092	705	123057	58077		13565	0	723	19920	0	1582	26476	35652	0	19567	0	0	454	9178	
2040													9104	7194	120585	1195	198155	3890		22469	0	23917	66870	0	25610	5697	29504	11960	16334	31048	0	1472	75255	
2161													0	0	73544	3883	126275	6912	9518	17284	0	35370	3172	0	31156	13113	11780	0	8957	16400	275	8152	29152	
2376													127	884106	2632198	0	3243241	3204	0	15372	0	185913	2430538	0	62872	393627	330596	10750	372574	0	0	110	970211	
2554													42		5410	0	13637	3548	1420	1817		281	1269	0	2512	537	2893	0	0	3582	0	436	2181	
2732													0	0	323660	0	585855	144642	0	33623	0	20176	268233	0	64295	118036	38869	32055	0	61893	0	1650	146271	
2750													121		39484	297	61544	1501	20881	2678		1010	13363	0	9054	4725	10044	3592	866	9665	0	964	14920	
3177													0	112954	766864	0	1034740	85897	0	9188	0	646099	111104	0	80424	62952	115540	21157	84530	8280	0	474	546898	
