"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													244	0	202	0	0	0	0	0	31	11	0	0	0				
242													41	0	0	0	0	0	0	0	41	0	0	0	0				
279													744	0	459	0	50	27	0	0	142	143	0	256	0	I Pay Bill Pay			
354													8	0	0	0	0	0	0	0	8	0	0	0	0				
457													165	0	0	0	0	0	0	0	25	140	0	0	0				
505													4264	0	1875	123	0	1367	0	0	103	2070	93	0	0	Deferred Service Fees			
1155													2274	0	1508	0	0	0	0	0	154	612	0	1456	0				
1351													483	0	60	0	0	0	0	0	320	103	0	0	0				
1454													4214	0	3704	0	0	1748	0	0	66	444	0	1312	0	DEBIT CARD SETTLEMENT			
1669													179	0	94	0	0	0	0	0	81	4	0	94	0				
1856													158	0	54	0	0	16	0	0	89	15	0	0	0	Deferred Loan Fees			
2040													867	0	350	0	15	0	0	0	159	358	0	252	0				
2161													1615	0	1392	0	0	0	0	0	67	156	0	1392	0				
2376													63738	0	31835	0	0	0	0	0	1128	30775	0	24380	0				
