"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
37			970	0	7	0	981	18	0																				
242			159	0	14	0	187	42	0																				
279			1301	211	6	0	1104	20	0																				
354			172	5	23	0	144	0	0																				
457			572	0	81	0	497	6	0																				
505			7000	825	5	0	6205	35	0																				
1155			4007	301	27	0	3696	17	0																				
1351			1316	380	53	0	1100	217	0																				
1454			4430	1324	35	0	3501	430	0																				
1669			3173	327	39	0	3070	263	0																				
1856			282	45	2	0	235	0	0																				
2161			1993	582	20	0	1440	49	0			0	0																
2732			5040	0	12	0	5028	0	0																				
2750			426	283	5	0	553	415	0																				
3252			4529	900	282	0	3987	640	0																				
3458			546	145	11	0	552	162	0																				
3720			1713	17	10	0	1716	30	0																				
3971			6666	3592	127	0	3094	147	0																				
4156			2557	575	39	0	1954	11	0																				
4231			761	10	12	0	768	29	0																				
5069			7158	0	0	0	7158	0	0																				
5135			4835	2060	15	0	4911	2151	0																				
5210			19200	8100	141	0	13835	2876	0																				
5461			6505	400	119	0	5989	3	0																				
5751			2421	94	3	0	2324	0	0																				
6039			3827	940	17	0	3162	292	0			0	0																
6329			15817	7400	983	0	13369	5935	0				0																
7009			0	0	0	0	0	0	0																				
7045			1081	782	325	0	1211	1237	0			0	0																
7072			2848	825	59	0	2327	363	0																				
7456			885	10	2	0	873	0	0																				
7634			1217	40	36	0	1204	63	0																				
8033			1705	532	16	0	1409	252	0																				
8462			1887	681	11	0	1216	21	0																				
8631			410	0	9	0	417	16	0																				
9357			4792	826	223	0	4169	426	0																				
9553			1211	0	0	0	1211	0	0																				
9807			31585	0	277	0	31358	50	0				0																
9955			1844	109	5	0	1732	2	0																				
10250			4751	1550	107	0	3184	90	0																				
10849			2031	577	10	0	1612	168	0																				
11145			2650	368	68	0	2362	148	0				0																
11640			3199	206	20	0	3006	33	0																				
11837			826	0	14	0	816	4	0																				
12030			11804	1500	4450	0	7995	2141	0																				
12142			1655	90	71	0	1635	141	0																				
12311	0		1796029	958651	62669	0	782852	399903	391760	0	5145			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12647			1073	0	5	0	1077	9	0																				
