"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																					68	0	777		121				588					0		0	0	0				
242																					199	0	462		10				253					0		0	0	0				
279																					2020	194	9122		146				886					0		5876	0	0				
354																					0	0	156		101				55					0		0	0	0				
457																					481	0	1683		69				434					0		699	0	0				
505																					5386	0	15645		3082				1974					0		5203	0	0				
1155																					359	0	7983		251				1550					0		5823	0	0				
1351																					207	0	2140		339				1594					0		0	0	0				
1454																					1211	0	14407		2172				3270					0		7754	0	0				
1669																					188	320	14684		754				1341					0		11196	0	885				
1856																					1657	0	2736		823				256					0		0	0	0				
2161																				0	583	648	6821	277	277	0	0	0	1387	0	0	0	0	0	0	3926	0	0				
2732																					174	855	3078		366				1683					0		0	0	0				
2750																					202	0	2939		130				943					0		1664	0	0				
3252																					677	0	4930		935				3318					0		0	0	0				
3458																					388	0	1714		173				635					0		518	0	0				
3720																					376	226	11062		262				1026					0		6391	0	2781				
3971																					5502	641	27647		4002				2999					0		14503	0	0				
4156																					582	0	8465		246				1402					0		5174	0	1061				
4231																					0	5	675		217				453					0		0	0	0				
5069																					0	620	6599		4785				1194					0		0	0	0				
5135																					1798	1123	17228		805				6902					0		6600	0	0				
5210																					3022	4510	91698		13800				7317					0		56734	0	6315				
5461																					3006	0	16720		2053				2728					0		8933	0	0				
5751																					260	2	6272		158				1146					0		2864	353	1489				
6039																				363	309	446	3817	0	1319	568	0	0	1743	0	0	0	0	0	0	0	0	0	ANNUITY ASSET			
6329																				673	1002	3579	27227	3942	6597				4750		205			0		8532	0	2767				
7009																					0	108	9823		7662				2053					0		0	0	0				
7045																				0	759	0	2546	384	749	0	0	0	1038	0	0	0	0	0	0	0	0	0				
7072																					3730	1692	16895		4491				1449					0		5533	0	0				
7456																					469	0	3779		157				1458					0		1695	0	0				
7634																					103	0	742		242				397					0		0	0	0				
8033																					1524	505	6328		293				2444					0		1562	0	0				
8462																					21	0	771		5				745					0		0	0	0				
8631																					336	134	3262		83				230					0		2479	0	0				
9357																					1882	0	4998		875				2241					0		0	0	0				
9553																					2676	0	9939		354				3142					0		2804	0	963				
9807																					5575	0	147637	443	1106				7293					0		36314	97349	0				
9955																					2816	39	4073		100				1118					0		0	0	0				
10250																					1478	0	4285		688				1783					0		336	0	0				
10849																					732	578	3085		486				1289					0		0	0	0				
11145																					1350	615	9786	1047	1860		813		715					0		2587	0	2659	Brownfield	Great Lakes Capital Fund		
11640																					2358	379	19329		2149				3599					0		10844	0	0				
11837																					101	107	1051		457				386					0		0	0	0				
12030																					7868	2236	14545		638				2549					0		1254	0	0				
12142																					708	388	8913		977				1387					0		2856	0	2597				
12311		363429	35149	4534266		1294002		358376		336677					0		582470	863167	1059372																					Income Tax Receivable		
12647																					2015	0	2972		150				807					0		0	0	0				
12656																					14	9	205		55				127					0		0	0	0				
12946																					8378	3805	40334		1940				9994					0		3542	12675	0				
13103																					5313	14421	53205	2446	12969				7237	5246				0		13265	0	0				
13251																					483	0	1367		118				269					0		497	0	0				
13457																					0	0	1176		3				312					0		861	0	0				
14155																					633	0	7908		58				2387					0		4830	0	0				
14650																					55	204	2118		80				225					0		1554	0	0				
