"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													391	0	107	210	0	0	0	0	37	37	0	0	0				
242													17	0	0	0	0	0	0	0	17	0	0	0	0				
279													762	0	344	0	50	124	20	0	84	334	0	140	0	ATM SETTLEMENT	I Pay Bill Payment		
354													10	0	0	0	0	0	0	0	2	8	0	0	0				
457													51	0	0	0	0	0	0	0	12	39	0	0	0				
505													4191	0	1106	831	0	795	0	0	23	2139	92	0	0	Deferred service fee -FCC			
1155													1973	0	1636	0	0	0	0	0	54	283	0	1493	0				
1351													320	0	33	0	0	33	0	0	151	136	0	0	0	atm cardholder in process			
1454													1531	0	1251	0	0	0	0	0	48	232	0	1129	0				
1557													15	0	0	0	0	0	0	0	15	0	0	0	0				
1669													522	0	104	0	0	0	0	0	61	357	0	104	0				
1829													1475	0	364	194	151	120	0	0	634	283	0	0	0	ACCRUED FICO & TLGP			
1856													172	0	41	0	0	41	0	0	48	83	0	0	0	Deferred Loan Fees			
2040													1225	0	496	172	0	0	0	0	86	471	0	0	0				
2161													2418	0	1345	0	0	0	0	0	29	1044	0	1345	0				
2376													62064	0	34636	0	9	0	0	0	653	26775	0	17543	13720				
2554													19	0	3	0	0	0	0	0	16	0	0	0	0				
2732													1621	265	757	0	59	0	0	0	69	795	0	57	0				
2750													240	89	89	0	0	0	0	0	15	126	10	0	0				
3177													10057	0	8621	0	402	0	0	0	1	1435	0	7926	0				
3252													418	250	252	0	0	0	0	0	90	76	0	0	0				
3458													781	0	16	87	0	0	0	0	25	653	0	0	0				
3720													2151	0	0	0	0	0	0	0	47	2104	0	0	0				
3971													11448	0	5599	0	1668	0	0	0	275	5387	187	2362	0				
4156													688	0	441	50	0	0	0	0	105	92	0	0	0				
4231													326	0	0	0	0	0	0	0	136	190	0	0	0				
4839													1479	252	568	0	0	0	316	0	155	756	0	0	0		Derivative with negative fair value for purposes non trading		
5069													4247	0	1032	0	794	0	0	0	383	2072	760	0	0				
5135													2418	0	774	0	0	0	0	0	159	1485	0	772	0				
5210													10014	0	5928	0	0	1746	0	0	665	3373	48	2330	0	Deferred director fees			
5461													3466	0	2716	0	0	0	0	0	3	417	330	2124	0				
5751													1541	0	1260	58	0	547	0	0	45	178	0	691	0	Post Retirement Benefits Payable			
6039													285	0	0	0	0	0	0	0	62	223	0	0	0				
6141													67	0	0	0	0	0	0	0	18	49	0	0	0				
6329													4476	0	2111	345	260	0	0	0	187	1833	0	1759	0				
7009													6275	0	25	29	0	0	0	0	69	6152	0	0	0				
7045													728	0	0	236	0	0	0	0	43	449	0	0	0				
7072													3682	0	2753	0	0	126	0	0	3	926	0	2341	0	Covenant Agreement Payable	0	0	
7157													216	0	72	17	0	72	0	0	20	107	0	0	0	Escrow Accounts Payable			
7456													79	0	0	0	0	0	0	0	21	58	0	0	0				
7634													99	0	0	0	0	0	0	0	30	69	0	0	0				
8033													2789	0	1963	0	52	90	15	0	287	539	0	1806	0	DEFERRED MANAGEMENT PAYABLE	OTHER LIABILITIES		
8462													105	0	0	0	0	0	0	0	70	30	5	0	0				
8631													571	0	478	0	0	0	0	0	11	82	0	473	0				
9357													1846	0	1515	0	0	0	0	0	1	330	0	1206	0				
9553													1008	0	156	14	0	156	0	0	32	806	0	0	0	Nebraska Fund XV Investment			
9807													8301	0	4514	0	0	33	118	0	675	1757	1355	0	4233	REVERSE MORTGAGE INSURANCE	FEES COLLECTED ON UNBOOKED LOANS		
