"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDFT33	RCFDFT34	RCFDFT35	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONFT33	RCONFT34	RCONFT35	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																						0	81	0	811	0	124	0	0	0	0	0	606	0	0	0	0	0	0	0	0	0				
242																						0	275	0	536	0	16	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0				
279																						3	1951	369	7530	109	117	0	0	0	0	0	653	0	0	0	0	0	0	4440	0	0				
354																						40	5	54	158	0	40	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0				
457																						0	332	0	1419	0	33	0	0	0	0	0	425	0	0	0	0	0	0	629	0	0				
505																						0	2134	0	11431	0	3371	2023	0	0	0	0	1256	0	0	0	0	0	0	4670	0	0	Prepaid Pension			
1155																						0	228	0	5701	162	241	0	0	0	0	0	1020	0	0	0	0	0	0	4212	0	0				
1351																						0	185	0	1431	0	138	0	0	0	0	0	1108	0	0	0	0	0	0	0	0	0				
1454																						0	1324	0	11719	997	1061	0	0	0	0	0	3432	0	0	0	0	0	0	5902	0	0				
1557																						0	368	0	1310	6	8	0	0	0	0	0	934	0	0	0	0	0	0	0	0	0	ATM Processing			
1669																						0	176	518	12091	177	211	0	0	0	0	0	1056	0	0	0	0	0	0	9303	827	0				
1829																						0	5069	0	14616	0	2001	0	0	0	0	0	1145	0	0	0	0	0	0	6401	0	0				
