"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADJ447	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	GAINS ON BARGAIN PURCHASE	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	4	0	14	4	CONF	2	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	2	0	5	26	34	13	0	0	20	0	13	9	0	Misc Income			Clearing House Fees	Bank Security & IT												
242	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
279	22	0	52	1	CONF	29	0	0	3	11	86	0	0	0	0	0	0	0	0	0	0	false	16	0	0	7	29	2	91	114	20	0	0	28	0	4	6	0	Miscellaneous Income			Seminars and Training	Dues and Subscriptions	Outside Services											
354	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0																	
505	69	0	43	0	CONF	0	0	0	27	31	28	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	33	0	0	153	0	0	124	38	0	79	0	0				Online banking expense	OCC assessment	ORE expenses											
1155	140	10	33	20	CONF	13	0	0	22	54	28	0	0	0	0	0	0	0	0	0	0	false	22	0	0	5	498	6	15	117	12	0	86	19	5	18	8	0	EXCHANGE			OREO EXPENSE	DEBIT CARD EXPENSE	ONLINE BANKING - INTERNET, BILL PAY MOBILE BANKING											
1351	11	0	9	9	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	14	0	0	0	0	5	68	0	12	0	0	11	0	0	16	0																	
1454	135	0	76	0	CONF	248	60	39	76	92	47	0	0	0	0	0	0	0	0	0	0	false	86	0	0	0	42	30	0	97	53	0	443	0	0	215	41	0	LETTER OF CREDIT FEE INCOME	MERCHANT DISCOUNT INCOME	HUMAN RESOURCES FEE INCOME	LOAN EXPENSE	OCC FEES	ONLINE BANKING EXPENSE											
1557	7	0	0	0	CONF	0	0	0	7	9	5	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	3	0	10	11	0	4	11	0	0	2	0				Recording & Expense	Management Fees	Insurance and Surety											
1669	12	0	12	10	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	26	0	0	6	92	16	51	156	25	0	89	18	0	24	21	0																	
1829	55	0	40	0	CONF	97	0	0	71	67	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	42	0	0	176	0	0	108	0	0	117	54	0	Mortgage Fees			Professional Fees	PA Shares Tax												
1856	5	0	12	6	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	0	0	0	0	1	5	7	4	0	0	0	20	0	3	0																	
2040	28	0	19	35	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	0	21	3	0	144	10	0	48	28	17	19	14	3																	
2161	0	0	0	0	CONF	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	26	0	0	88	0	0	70	0	0	44	0	0				Deferred Compensation Plan Expense													
2376	100	197	163	10	CONF	188	201	0	357	435	0	0	0	0	0	0	0	0	0	0	0	false	56	0	0	0	677	11	42	373	73	0	66	241	85	0	41	0	JOINT VENTURES	MISCELLANEOUS FEES		OREO EXPENSE	MISCELLANEOUS EXPENSES												
2554	0	0	4	1	CONF	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0				Software Maintenance													
2732	170	0	69	55	CONF	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	false	23	0	0	0	0	28	0	140	30	0	0	15	0	0	29	0				OREO EXP													
