"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
37			981	0	6	0	997	22	0																				
242			187	0	4	0	188	5	0																				
279			1104	160	5	0	974	35	0																				
354			143	39	18	0	136	50	0																				
457			497	95	8	0	453	59	0																				
505			6205	725	43	0	5652	215	0																				
1155			3696	308	49	0	3413	74	0																				
1351			1100	433	73	0	1200	606	0																				
1454			3501	162	65	0	3384	110	0																				
1669			3070	354	36	0	2959	279	0																				
1856			235	821	2	0	575	1163	0																				
2161			1440	80	282	0	1465	387	0			0	0																
2732			5028	60	35	0	4933	0	0																				
2750			553	-70	7	0	867	251	0																				
3252			3987	1350	545	0	4510	2418	0																				
3458			552	225	10	0	366	49	0																				
3720			1716	48	7	0	1685	24	0																				
3971			3094	3327	518	0	211	962	0																				
4156			1954	500	124	0	1850	520	0																				
4231			768	180	15	0	676	103	0																				
5069			7158	8723	0	0	8275	9840	0																				
5135			4911	1205	80	0	4943	1317	0																				
5210			13835	600	188	0	13964	917	0																				
5461			5989	0	40	0	6141	192	0																				
5751			2324	0	256	0	2079	11	0																				
6039			3162	395	11	0	2949	193	0			0	0																
6329			13369	10300	1449	0	11712	10092	0				0																
7009			0	0	0	0	0	0	0																				
7045			1211	-20	30	0	1256	55	0			0	0																
7072			2327	538	84	0	1962	257	0																				
7456			873	55	2	0	816	0	0																				
7634			1204	105	55	0	1075	31	0																				
8033			1409	230	41	0	1417	279	0																				
8462			1216	127	10	0	1097	18	0																				
8631			417	0	20	0	428	31	0																				
9357			4169	1265	203	0	4065	1364	0																				
9553			1211	0	2	0	1209	0	0																				
9807			31358	0	1067	0	32206	1915	0				0																
9955			1732	77	1	0	1811	157	0																				
10250			3184	-220	235	0	3533	364	0																				
10849			1612	264	1	0	1347	0	0																				
11145			2362	377	74	0	2452	541	0				0																
11640			3006	51	121	0	3608	774	0																				
11837			816	0	4	0	833	21	0																				
12030			7995	1000	7118	0	8140	8263	0																				
12142			1635	320	58	0	1686	429	0																				
12311			782852	277547	95585	0	771875	362155	0	0	5018		0																
12647			1077	0	8	0	1074	5	0			0	0																
12656			196	0	14	0	220	38	0																				
12946			18666	3650	829	0	18458	4271	0																				
13103			16517	2517	111	0	15677	1788	0				0																
13251			483	60	23	0	462	62	0																				
13457			93	0	0	0	93	0	0																				
14155			3090	250	69	0	2855	84	0																				
14650			697	194	87	0	568	152	0																				
14753			530	10	18	0	502	0	0																				
14865			4299	1120	269	0	3556	646	0																				
14977			374	136	1	0	576	339	0			0	0																
16551			3026	150	19	0	3008	151	0																				
16748			653	30	0	0	719	96	0																				
17110			279	0	0	0	279	0	0			0	0																
17147			80284	2800	3553	0	80552	6621	0			0	0																
17259			153	30	13	0	155	45	0																				
17950			4707	865	9	0	4249	416	0																				
17978			1444	2	0	0	1445	3	0																				
18050			5358	600	64	0	4912	218	0																				
18135			1104	0	44	0	1206	146	0																				
18827			8304	913	135	0	7404	148	0			0	0																
18836			1123	377	36	0	1297	587	0																				
18854			7845	0	32	0	7831	18	0				0																
19356			874	293	4	0	998	294	-127																				
19936			3523	280	39	0	3477	273	0																				
19972			400	0	0	0	400	0	0																				
20053			1338	120	8	0	1220	10	0																				
20633			3270	640	7	0	3036	413	0																				
20857			923	40	69	0	829	15	0																				
21256			67	0	3	0	78	14	0																				
21359			412	91	0	0	344	19	-4																				
21658			1958	141	95	0	1833	111	0				0																
22048			1782	350	22	0	1475	65	0																				
22543			1293	161	154	0	1111	133	0																				
22552			1170	230	2	0	1413	475	0																				
22730			1171	275	169	0	899	172	0																				
23456			1881	360	5	0	1550	34	0																				
23504			32786	5700	150	3670	31418	812	0			0	0																
23643			1057	120	104	0	1122	289	0																				
23755			1544	315	24	0	1711	506	0																				
24006			6216	1490	29	0	4943	246	0																				
24378			197	0	10	0	187	0	0																				
