"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
1557																																						255	67	0	0	5467	true	255	0	0	67	0	0	0	0	0	0	false	0	0	0	3500	0	0	1967	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.fstbanc.com	
1669																																						0	16	0	0	0	true	0	0	0	16	0	0	2055	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.lnbparis.com	
1829																																						333	122	60523	333	60523	true	0	60	0	62	0	0	4988	3	333	0	true	0	0	0	60523	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false		1	209	1990	0	http://www.avbpgh.com		http://www.ilovethatbank.com		http://avbonline.com												http://www.avbpgh.com	
1856																																						0	0	10000	0	40000	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	10000	0	0	30000	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.washitastatebank.com	
2040																																						0	172	14000	0	25000	true	0	0	0	172	0	0	441	0	0	0	false	0	0	0	21000	1000	3000	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.fmnetbank.com	
2161																																						0	21	0	0	0	true	0	21	0	0	0	0	1620	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						http://www.lamarnational.com	
2376																																						0	266	358500	0	809585	true	0	0	0	0	0	266	34967	3	0	0	false	0	0	0	358500	168735	140934	84263	0	21449	0	0	35704	0	57153	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true	false	false	false	false																						http://www.oritani.com	
2554																																						0	0	0	0	0	true	0	0	0	0	0	0	63	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.sbmarietta.com	
2732																																						1112	0	0	0	0	true	1112	0	0	0	0	0	27769	3	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	true	false	true		2	302	681	0																	www.albanybank.com	
2750																																						0	0	5115	0	6824	true	0	0	0	0	0	0	1007	1	0	0	false	0	1709	0	5115	0	0	0	0	1709	0	0	0	0	1709	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.genoacb.com	
3252																																						0	98	0	0	5500	true	0	0	0	0	0	98	1372	1	0	0	false	0	0	0	1000	3000	1500	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.fnbgordon.com	
3458																																						0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	true	false	false																						www.fbgconline.com	
3720																																						0	958	0	0	0	true	0	854	0	28	0	76	2082	2	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.bankofclarendon.bank	
3971																																						204	252	0	34	36861	true	170	59	0	193	0	0	0	0	34	0	true	0	33	0	0	0	17265	19314	0	33	0	0	249	0	282	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true	true	false	false	false																						www.midcountrybank.com	
4156																																						0	76	0	0	1500	true	0	0	0	76	0	0	5	0	0	0	false	0	0	0	0	750	750	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.kanzabank.com	
4231																																						0	1196	0	0	0	false	0	0	0	0	0	1196	710	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.fmbanksylvania.com	
4839																																						0	460	0	0	19365	true	0	0	0	28	0	432	23532	6	0	0	true	0	365	0	0	0	19000	0	0	365	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						WWW.ABCBANK.NET	
5069																																						0	633	0	0	0	false	0	0	0	0	0	633	250	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																							
5135																																						0	195	12000	0	13567	true	0	5	0	0	0	0	12031	5	0	0	false	0	0	190	12000	0	0	1567	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.fsbanks.com	
5210																																						0	256	14250	0	74250	true	0	63	0	193	0	0	4578	3	0	0	false	0	0	0	14250	45000	15000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false		1	47	259	0																	http://www.acnb.com	
5461																																						0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.bankbac.com	
5751																																						249	0	0	0	0	true	249	0	0	0	0	0	473	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false							Garden City State Bank a branch of Kearny County Bank															www.kearnycountybank.com	
6039																																						0	5572	0	0	0	true	0	4278	108	143	0	1043	745	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.pineland.bank	
6141																																						0	0	0	0	0	false	0	0	0	0	0	0	33	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																							
6329																																						0	1444	0	0	0	true	0	376	3	628	0	437	449	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.abbank.com	
7009																																						0	0	0	0	0	false	0	0	0	0	0	0	7819	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false		1	206	9378	0																	http://www.bessemertrust.com	
7045																																						0	104	0	0	0	true	0	0	0	74	0	30	1723	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						http://www.banktpb.com	
7072																																						767	55	0	184	10000	true	583	0	0	55	0	0	231	0	184	0	false	0	0	0	5000	3000	2000	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	true	false	false	false	false						www.wallkill.com																www.wallkill.com	
7157																																						0	15	0	0	0	true	0	0	0	15	0	0	218	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	true				0	0																	www.statebankbr.com	
7456																																						0	0	8746	0	8746	true	0	0	0	0	0	0	400	0	0	0	false	0	0	0	8746	0	0	0	0	0	0	0	0	1673	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.bankofhartington.com	
7634																																						0	440	900	0	900	false	0	0	0	72	0	368	1424	3	0	0	false	0	0	0	900	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						THEFOURCOUNTYBANK.COM	
8033																																						0	917	0	0	15100	true	0	43	0	36	0	838	1413	0	0	0	true	0	0	0	0	0	0	0	0	13100	2000	0	0	0	15100	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						WWW.THEFRIENDLYBANK.COM	
8462																																						0	0	0	0	0	true	0	0	0	0	0	0	862	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.perrytonbank.com	
8631																																						0	100	0	0	0	true	0	0	0	100	0	0	183	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						pcbsm.com	
9357																																						0	0	1583	0	1583	true	0	0	0	0	0	0	4	0	0	0	true	0	0	0	1583	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false		0	0	0	0																	www.fidelitybankmn.com	
9553																																						0	0	8378	0	40243	true	0	0	0	0	0	0	552	0	0	0	false	0	0	0	8378	1335	5115	24965	9926	0	0	450	0	0	450	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						http://www.adamscountybank.net	
9807																																						0	28771	215000	0	240000	true	0	15786	0	11957	1028	0	2661	1	0	0	true	0	0	0	215000	25000	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.amboybank.com	
9955																																						0	0	7613	0	14313	true	0	0	0	0	0	0	1946	1	0	0	false	0	0	0	7613	2700	4000	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.bankkansas.com	
10250																																						0	1495	0	0	0	true	0	273	433	0	0	789	748	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.thebankofelkriver.com	
10849																																						0	8858	0	0	0	true	0	7343	1515	0	0	0	1302	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.firststatebk.com	
11145																																						0	151	8934	0	16735	false	0	0	0	151	0	0	2291	1	0	0	false	0	0	0	8934	3939	2037	1825	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false		0	0	0	0																	http://www.losb.com	
11640																																						0	0	0	0	20000	true	0	0	0	0	0	0	5109	3	0	0	false	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						http://www.fnbclarksdale.com	
11837																																						0	620	0	0	7000	true	0	620	0	0	0	0	754	1	0	0	false	0	0	0	0	7000	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						http://www.farmbk.com	
12030																																						0	3450	0	0	0	true	0	272	1628	566	0	984	2118	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.fnbalma.com	
12142																																						0	0	0	0	0	true	0	0	0	0	0	0	456	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.clevelandstatebank.com	
12179																																						0	0	0	0	2421	true	0	0	0	0	0	0	372	0	0	0	false	0	0	0	0	500	0	1921	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true	false	false	false	false																						www.amsavingsbank.com	
12311	622161	50931	2425100	194708	7269891	true	396582	197798	9	196477	30871	true	0	637114	2425100	1304	2368	3769	0	886795	2824607	1125333	615	348686	0	0	0	0	0	0	0	0	0	0	10236	0	0					7269891			5000	158	30543	419	14811								0										0		true	true			0	0	0	0	0	0	0	0	0						0	0	0	0	0						true	false	false	false		1	3022	46354	0	www.pawsbanking.com		www.steeltownbanking.com		www.detroitlionsbanking.com		www.coltsbanking.com		www.bluejacketsbanking.com		www.monstersbanking.com		www.clippersbanking.com	www.aueglebanking.com	www.bulldogbanking.com	www.goldenflashesbanking.com	www.Huntington.com	
12647																																						166	447	0	166	0	true	0	447	0	0	0	0	5257	2	166	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	true	false	false							Saratoga Community Bank		Hancock Community Bank		Plainfield Community Bank											http://www.PORTAGECOUNTYBANK.COM	
12656																																						0	184	0	0	0	true	0	0	0	184	0	0	498	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.mybankathome.com	
12937																																						0	0	0	0	0	true	0	0	0	0	0	0	10713	4	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.oakbank.com	
12946																																						1700	1900	0	0	1439	true	1700	603	73	272	0	952	5268	3	0	0	true	0	0	0	0	526	740	173	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false		1	78	1382	0																	www.myfarmers.bank	
12955																																						0	0	0	0	326	true	0	0	0	0	0	0	2111	1	0	0	false	0	0	0	0	0	326	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						http://www.bankofnebraska.com	
