"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJJ26	RIADJJ27	RIADJJ28	RIADKW17	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	DISCONTINUED OPERATIONS AND APPLICAB	DISCONTINUED OPERATIONS AND APPLICAB	DISCONTINUED OPERATIONS AND APPLICAB	DISCONTINUED OPERATIONS AND APPLICAB	Adoption of Current Expected Credit 	Initial allowances for credit losses	Effect of adoption of current expect	Effect of adoption of lease accounti	INCOME AND FEES FROM WIRE TRANSFERS	OTHER REAL ESTATE OWNED EXPENSES	INSURANCE EXPENSES (NOT INCLUDED IN 	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	DISCONTINUED OPERATIONS AND APPLICAB	DISCONTINUED OPERATIONS AND APPLICAB	
37	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
242	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
279	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
354	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0																
457					CONF							0	0	0	0	false		0	0												0	0	0	0																							
505	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0																
1155					CONF							0	0	0	0	false		0	0												0	0	0	0																							
1351					CONF							0	0	0	0	false		0	0												0	0	0	0																							
1454					CONF							0	0	0	0	false		0	0												0	0	0	0																							
1669					CONF							0	0	0	0	false		0	0												0	0	0	0																							
1856					CONF							0	0	0	0	false		0	0												0	0	0	0														.									
2040	105	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	337	0	115	185	0	0	0	0	0	0	0					0	0	0																
2161	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	271	0	229	0	0	177	0	0	0	0	0					0	0	0																
2376	285	0	364	40	CONF	269	0	0	553	480	0	0	0	0	0	false	113	0	0	0	1200	24	77	817	171	154	635	76	216	85	0	0	0	0					0	104	195	Miscellaneous Fees			Other Net Benefit Costs	Miscellaneous											
2732					CONF							0	0	0	0	false		0	0												0	0	0	0																							
2750					CONF							0	0	0	0	false		0	0												0	0	0	0																							
3252	0	0	0	0	CONF	0	0	0	197	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0				Computer Exp- In House												
3458					CONF							0	0	0	0	false		0	0												0	0	0	0																							
3720	101				CONF	231						0	0	0	0	false		0	0					499							0	0	0	0								Check Card Income															
3971					CONF							0	0	0	0	false		0	0												0	0	0	0																							
4156					CONF							0	0	0	0	false		0	0												0	0	0	0																							
4231	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0					0	0	0																
5069					CONF							0	0	0	0	false		0	0												0	0	0	0																							
5135	40	0	36	38	CONF	0	0	0	0	0	0	0	0	0	0	false	49	0	0	0	61	17	268	0	136	6	60	20	106	126	0	0	0	0					5	3	46																
5210	309	0	336	0	CONF	0	0	0	562	0	0	0	0	0	0	false	0	0	0	0	573	0	0	322	0	1173	0	0	448	317	0	0	0	0					0	0	0				PA Shares Tax												
5461					CONF							0	0	0	0	false		0	0												0	0	0	0																							
5751					CONF							0	0	0	0	false		0	0												0	0	0	0																							
6039	118	0	0	0	CONF	0	0	0	172	0	0	0	0	0	0	false	0	0	0	0	0	0	0	334	0	207	0	0	0	0	0	0	0	0					0	0	0				SOFTWARE LICENSES & FEES												
6329	549	2	27	96	CONF				170	695	150	2300	0	0	0	false	186	0	0		65	16	164		577	1498	118	387	173	356	0	0	0	0					28	21	60				Education & Training	Service Fee Analysis	Donations	Transfer from Holding Company									
7009	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
7045	40	0	46	0	CONF	0	0	0	0	0	0	0	0	0	0	false	33	0	0	4	0	9	35	0	38	239	31	0	120	14	0	0	0	0					0	0	0																
7072					CONF							0	0	0	0	false		0	0												0	0	0	0																							
7456					CONF							0	0	0	0	false		0	0												0	0	0	0																							
7634					CONF							0	0	0	0	false		0	0												0	0	0	0																							
8033					CONF							0	0	0	0	false		0	0												0	0	0	0																							
8462	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
8631					CONF							0	0	0	0	false		0	0												0	0	0	0																							
9357					CONF							0	0	0	0	true		0	0												0	0	0	0																		The Bank aquired a factoring receivable company in fourth quarter 2018.					
9553	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
9807	566				CONF	1509						0	0	0	0	false		0	0		8826			1389			300	455			0	0	0	0				0		4342		LOAN EXIT FEES															
9955					CONF							0	0	0	0	false		0	0												0	0	0	0																							
10250					CONF							0	0	0	0	false		0	0												0	0	0	0														Downstream from Holding Company									
10849	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	64	263	29	0	64	0	0	85	0	0	0	0				0	0	0	0																
11145	57	44	51	3	CONF	23	104		86			0	0	0	0	false	46	0	0	23		9	345	264	66		92	24	157	45	0	0	0	0					6	33	29	Other Misc Income	Other Misc Asset Income		Credit & Collections												
11640	41	0	98	152	CONF	266	0	0	41	54	0	0	0	0	0	false	31	0	0	0	58	16	26	0	25	100	26	40	0	51	0	0	0	0					0	0	0	Income from Caltius Investment			CONTRIBUTIONS	OCC SEMI ANNUAL ASSESSMENT											
11837					CONF							0	0	0	0	false		0	0												0	0	0	0																							
12030	0	94	0	0	CONF	0	0	0	131	298	114	0	0	0	0	false	0	0	0	0	0	0	332	506	0	0	73	0	0	0	0	0	0	0					0	0	0				BLDG REPAIRS	TAX CREDIT EXP	CONTRIBUTIONS										
12142					CONF							0	0	0	0	false		0	0												0	0	0	0																							
12179					CONF							0	0	0	0	false		0	0												0	0	0	0																							
12311	29259				CONF	25702	48403					0	0	0	0	false		0	0		30187			149621		121277					0	0	0	0				548				Commitments / Letter of Credit Fees	Overhead Charges					Change in minority interest									
12647	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0					0	0	0																
12656	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
12946	418				CONF	175	322	248		428		0	0	0	0	false		0	0				208	440		891			489	1040	0	0	0	0								Income from subsidiary investments	Miscellaneous Income	Bonus income and increase in Deferred Benefit Plan income		Business dev-201, Travel - 227											
13103	625		286		CONF				778	326	531	0	0	0	0	false		0	0				176	1264		642		941			0	0	0	0								prepayment penalty fees			Charitable Foundation contributions	Other Professional Services	other computer service expenses										
13251					CONF							0	0	0	0	false		0	0												0	0	0	0																							
13457					CONF							0	0	0	0	false		0	0												0	0	0	0																							
14155	0	0	0	0	CONF	160	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	217	0	315	0	0	187	0	0	0	0	0					0	0	0	NSF Fee income															
14650					CONF							0	0	0	0	false		0	0												0	0	0	0																							
14753					CONF							0	0	0	0	false		0	0												0	0	0	0																							
14865					CONF							0	0	0	0	false		0	0												0	0	0	0				0										Retired Subordinated Debt									
14977	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
16551					CONF							0	0	0	0	false		0	0												0	0	0	0																			Prior year adjustment for adding mortgage servicing asset		389		
16748	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0				0	0	0	0																
17110	0	0	0	0	CONF	0	0	0	1342	542	438	0	0	0	0	true	0	0	0	0	0	0	0	1171	0	0	0	0	0	0	0	0	0	0				0	0	0	0				REFERAL  FEES	CUSTODIAN COSTS	TRAVEL & ENTERTAINMENT					2(q) OTHER CLIENT FEES                       420					
17147	3539	0	0	0	CONF	0	0	2268	0	0	0	0	0	0	0	false	0	0	0	0	1888	0	0	5009	0	9293	0	0	2578	0	0	0	0	0				0	0	1904	0			Other Inc - Derivative Hedge													
17259					CONF							0	0	0	0	false		0	0												0	0	0	0																							
17950					CONF							0	0	0	0	false		0	0												0	0	0	0																							
17978					CONF							0	0	0	0	false		0	0												0	0	0	0																							
18050					CONF							0	0	0	0	false		0	0												0	0	0	0																							
18135	0	0	0	0	CONF	0	0	0	183	50	0	0	0	0	0	false	0	0	0	0	70	0	0	217	0	0	48	0	0	0	0	0	0	0					0	0	0				Convemtional Credit Enhancement insurance premiums	FHA Title 1 insurance premiums											
18827	911	0	0	0	CONF	380	0	0	0	0	0	0	0	0	0	false	0	0	0	0	291	0	0	922	0	911	0	0	420	0	0	0	0	0					0	0	0	OTHER LOAN FEES															
18836					CONF							0	0	0	0	false		0	0												0	0	0	0																							
18854	272				CONF				690			0	0	0	0	false		0	0					565							0	0	0	0											Bonus Accrual												
19356	0	0	0	0	CONF	0	0	0	0	0	0	0	0	-38	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0									Adjustment to impaired loan portfolio							
19936					CONF							0	0	0	0	false		0	0												0	0	0	0																							
19972					CONF							0	0	0	0	false		0	0												0	0	0	0																							
20053					CONF							0	0	0	0	false		0	0												0	0	0	0																							
20633					CONF							0	0	0	0	false		0	0												0	0	0	0																							
20857					CONF							0	0	0	0	false		0	0												0	0	0	0																							
21256					CONF							0	0	0	0	false		0	0												0	0	0	0																							
21359	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0																
21658					CONF							0	0	0	0	false		0	0												0	0	0	0											Maintenance Agreements												
22048					CONF							0	0	0	0	false		0	0												0	0	0	0																							
22543					CONF							0	0	0	0	true		0	0												0	0	0	0																		The large expense to mortgage servicing rights valuation was due to the large decline in interest rates during second quarter of 2019.  MSR valuations are impacted a great deal by factors that are beyond bank management control.  The large expense adversely impacted our net income.					
22552	34	0	36	14	CONF	0	0	0	99	0	0	0	0	0	0	false	12	0	0	2	0	5	22	6	32	0	23	37	7	14	0	0	0	0					3	0	0				EQUIPMENT & SERVICES												
22730	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
23456					CONF							0	0	0	0	false		0	0												0	0	0	0																							
23504	2447	0	0	0	CONF	641	1643	0	1230	0	0	0	0	0	0	false	0	0	0	0	1109	0	0	1583	0	929	0	831	0	0	0	0	0	0					0	0	0	TITLE FEE INCOME	LOAN SWAP FEE INCOME		SYSTEM SERVICES												
23643	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
23755					CONF							0	0	0	0	false		0	0												0	0	0	0																							
24006			315		CONF	361						480	0	0	0	false		0	0		266		214	620			383				0	0	0	0								Swap Income						Unearned ESOP Shares Expense									
24378					CONF							0	0	0	0	false		0	0												0	0	0	0																							
24453	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0																
24659					CONF							0	0	0	0	false		0	0												0	0	0	0																							
24668	336				CONF							0	0	0	0	false		0	0					337		533			290		0	0	0	0																			0				
24949	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
25357	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
25647					CONF							0	0	0	0	false		0	0					120							0	0	0	0														Holding Company capital infusion									
26176					CONF							0	0	0	0	false		0	0												0	0	0	0																							
26457					CONF							0	0	0	0	false		0	0												0	0	0	0																							
26765	676				CONF		1270			1163		0	0	0	0	false		0	0		825			1235		1203					0	0	0	0					937				Foreign Exchange Fees			Software Maintenance											
27070					CONF							0	0	0	0	false		0	0												0	0	0	0																							
27548	184		100	70	CONF		44		48			0	0	0	0	false	102	0	0	36	157	19	106	947	229	1563	159	409	637	234	0	0	0	0				-3	27	29	503		Gain(Loss) Mortgage derivative mark to market		Debit card fraud												
27614					CONF							-75	0	0	0	false		0	0												0	0	0	0														Dividend to Holding Co. for Treasury Stock Purchase									
27847					CONF							0	0	0	0	false		0	0												0	0	0	0																							
28013	2095		1307		CONF							2838	501	0	0	false		0	0		1803			2202		443	717				0	0	0	0				0										capital contributions	change in unallocated ESOP								
28152					CONF							0	0	0	0	false		0	0					116							0	0	0	0								Contract Services															
