"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADJ447	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	GAINS ON BARGAIN PURCHASE	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	5	0	20	11	CONF	1	85	0	8	9	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	3	0	7	42	63	35	0	0	40	0	22	22	0	INT PENALTY ON EARLY WITHDRWAL CD	MISC INCOME		CLEARING HOUSE FEES	BANK SECURITY AND IT PROTECTION												
242	0	0	36	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
279	34	0	87	0	CONF	0	0	0	57	17	15	0	0	0	0	0	0	0	0	0	0	false	25	0	0	16	0	5	136	193	32	0	0	31	0	0	9	0				Seminars & Training Expense	Contributions & Donations Expense	Officers Expense											
354	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0																	
457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
505	150	0	97	0	CONF	29	0	0	51	60	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	65	0	30	331	0	0	238	79	0	131	0	0	Other misc income			Online banking expense	OCC assessment												
1155	186	33	64	21	CONF	30	0	0	44	103	0	0	0	0	0	0	0	0	0	0	0	false	39	0	0	9	82	13	40	202	35	0	151	39	6	34	43	0	Exchange			Macha & Bank Services Charges	OREO Expenses												
1351	42	0	17	6	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	28	0	0	0	0	5	69	0	22	0	0	11	0	0	23	0																	
1454	260	0	234	0	CONF	322	100	93	105	0	0	0	0	0	0	0	0	0	0	0	0	false	159	0	0	0	83	0	0	219	138	0	820	0	0	373	0	0	LETTER OF CREDIT FEE INCOME	REVERSE MORTGAGE INCOME	MERCHANT DISCOUNT INCOME	LOAN EXPENSE													
1557	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	2100	0	0	-408	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										ADDITIONAL CAPITAL WITH BANK ACQUISITION			ADJ. FOR LOAN LOSS DUE TO PUSH DOWN ACCNTG. ENTRY	BANK WAS ACQUIRED 4-12-2013 AND PUSH DOWN ACCOUNTING HAS BEEN APPLIED TO REFLECT FAIR VALUE REPORTING			
1669	24	0	24	5	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	46	0	0	13	133	26	112	312	60	0	147	40	0	36	33	0																	
1829	173	0	102	0	CONF	120	233	0	104	184	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	236	0	0	214	0	0	215	122	0	Lease Fee Income	Mortgage Fees		Other Professional Fees	PA Shares Tax												
1856	11	0	27	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	2	10	26	12	0	0	28	24	0	6	0																	
2040	33	0	38	30	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	83	0	0	304	0	0	97	61	47	74	30	0																	
2161	0	0	27	0	CONF	0	0	0	72	38	95	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	53	0	0	164	29	0	127	0	0	0	0	0				Atm Expense	Cardholder/Merchant Expense	Deferred Compensation Plan											
2376	181	363	385	28	CONF	-599	13	0	160	182	700	0	0	0	0	0	0	0	0	0	0	false	83	0	0	0	2393	17	88	657	188	0	129	483	142	0	88	0	JOINT VENTURES	MISECELLANEOUS FEES		OREO	PROBLEM LOAN EXPENSE	MISCELLANEOUS FEES											
2554	1	0	4	0	CONF	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	1	0	5	0	0	-1	3	1	0	2	0				software maintenance													
2732	124	0	97	195	CONF	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	false	31	0	0	0	0	57	0	205	41	0	0	30	0	0	55	0				OREO Expenses													
2750	28	0	0	57	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	26	0	0	66	0	0	0	0	50	0	0	0																	
3177	186	0	141	198	CONF	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	false	95	0	0	46	332	27	695	916	136	0	0	188	240	416	67	0				OCC Semi-Annual Assessment													
3252	0	0	0	0	CONF	36	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	false	25	0	0	0	0	0	0	0	26	0	0	66	0	0	0	0	Inc- Comm., Exchg. fees			Computer Exp- In House													
3458	0	0	0	0	CONF	35	0	0	-46	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RECOVERY ON CHARGED DOWN ORE			ADJUSTMENT TO FDIC PRE-PAID ADJUSTMENT													
3720	134	0	42	0	CONF	117	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	89	0	0	336	0	0	0	39	83	31	51	0	Check Card Income			OD Charge Off													
3971	1245	0	0	676	CONF	1308	756	0	5000	1400	911	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	180	0	0	584	0	0	875	0	556	472	814	0	Debt protection product revenues	Military Ally card revenue		Contingent reserve	Direct and indirect expense allocations/management fees from holding company	Employee reimbursed expenses								Other noninterest expense item that exceeds the reporting threshold:  Credit report fees of $576 thousand.			
4156	105	0	0	0	CONF	155	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	55	25	0	146	41	0	161	58	0	114	69	0	MORTGAGE BANKING			INTERNET BANKING	TUITION & TRAINING												
4231	0	0	29	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	74	142	32	0	0	57	0	88	0	0																	
4437	86	0	98	168	CONF	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	false	58	0	0	0	81	0	0	253	77	0	289	44	101	91	55	0				OCC ASSESSMENTS													
4839	0	0	47	195	CONF	89	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	282	71	0	0	108	0	118	0	0	Nonperforming Assets			Nonperforming assets													
5005	38	0	160	25	CONF	0	0	0	56	417	49	0	0	0	0	0	0	0	0	0	0	false	33	0	0	0	141	27	0	226	66	0	0	0	0	0	93	0				DUES & MEMBERSHIPS	INTER CO. SHARED SERVICES	PUBLICATIONS											
5069	141	373	475	58	CONF	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	109	0	0	0	74	0	0	0	0				REO Expense													
5135	29	0	35	11	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	45	0	0	4	77	16	172	641	65	0	21	31	0	104	26	0																	
