"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37	20110930	Bank of Hancock County	10057	Sparta	GA	31087	
242	20110930	First Community  Bank, Xenia-Flora	3850	Xenia	IL	62899	
279	20110930	MINEOLA COMMUNITY BANK S. S. B.	28868	MINEOLA	TX	75773	
354	20110930	Bison State Bank	14083	Bison	KS	675200328	
457	20110930	LOWRY STATE BANK	10202	LOWRY	MN	56349	
505	20110930	BALLSTON SPA NATIONAL BANK	6959	BALLSTON SPA	NY	12020	
1155	20110930	FIRST STATE BANK & TRUST COMPANY	17639	FREMONT	NE	680260549	
1351	20110930	Bank of Grandin	09392	Grandin	MO	63935	
1454	20110930	Hilltop National Bank	19184	Casper	WY	82602	
1557	20110930	The First State Bank	15328	Kiowa	KS	67070	
1669	20110930	Liberty National Bank	3384	Paris	TX	754610919	
1829	20110930	Allegheny Valley Bank of Pittsburgh	6058	Pittsburgh	PA	15201	
1856	20110930	Washita State Bank	22430	Burns Flat	OK	73624	
2040	20110930	Farmers and Merchants Bank	13046	Tomah	WI	54660	
2161	20110930	LAMAR NATIONAL BANK	23597	PARIS	TX	75460	
2376	20110930	Oritani Bank	28866	Twp of Washington	NJ	76761329	
2554	20110930	STATE BANK OF MARIETTA	18525	MARIETTA	MN	56257	
2732	20110930	Albany Bank & Trust Co., N.A.	17230	Chicago	IL	60625	
2750	20110930	GENOA COMMUNITY BANK	5408	GENOA	NE	68640	
3252	20110930	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3458	20110930	FARMERS BANK OF GREEN CITY	16103	GREEN CITY	MO	63545	
3720	20110930	Bank of Clarendon	15671	Manning	SC	29102	
3953	20110930	First Capital Bank	416	Guthrie	OK	73044	
4156	20110930	Kanza Bank	13157	Kingman	KS	67068	
4231	20110930	FARMERS AND MERCHANTS BANK	16440	SYLVANIA	GA	30467	
4437	20110930	First National Bank	6795	Ronceverte	WV	24970	
4839	20110930	Austin Bank of Chicago	11694	Chicago	IL	606441997	
5005	20110930	STONEHAM SAVINGS BANK	90286	STONEHAM	MA	02180	
5069	20110930	First Credit Bank	24332	West Hollywood	CA	90069	
5135	20110930	First State Bank of Blakely	15496	Blakely	GA	39823	
5210	20110930	ACNB Bank	7506	Gettysburg	PA	173250000	
5331	20110930	Hyde Park Bank and Trust Company	10448	Chicago	IL	60615	
5461	20110930	BANK OF AGRICULTURE AND COMMERCE	19434	STOCKTON	CA	95207	
5751	20110930	Kearny County Bank	15194	Lakin	KS	67860	
6039	20110930	ALMA EXCHANGE BANK & TRUST	15699	ALMA	GA	31510	
6141	20110930	TALLAHATCHIE COUNTY BANK	16567	CHARLESTON	MS	38921	
6329	20110930	ANDERSON BROTHERS BANK	9923	MULLINS	SC	295740310	
6972	20110930	FIRST INDEPENDENT BANK	1500	VANCOUVER	WA	986688904	
7009	20110930	Bessemer Trust Company	20015	Woodbridge	NJ	70951191	
7045	20110930	The Peoples Bank	5779	Brownstown	IN	47220	
7157	20110930	THE STATE BANK OF BLUE RAPIDS	15057	BLUE RAPIDS	KS	664110157	
7456	20110930	Bank of Hartington	13962	Hartington	NE	68739-0077	
7634	20110930	THE FOUR COUNTY BANK	15904	ALLENTOWN	GA	31003	
8033	20110930	Peoples Bank & Trust Company of Pointe Coupee Parish	23090	New Roads	LA	70760	
8462	20110930	Perryton National Bank	3388	Perryton	TX	79070	
8631	20110930	Pleasants County Bank	847	St. Marys	WV	261700240	
9357	20110930	Fidelity Bank	20268	Edina	MN	55435	
9553	20110930	ADAMS COUNTY BANK	14311	KENESAW	NE	689560149	
9807	20110930	Amboy Bank	6423	Old Bridge	NJ	08857	
9955	20110930	First State Bank And Trust Company Of Larned, The	15899	Larned	KS	67550	
10250	20110930	Bank Of Elk River, The	1607	Elk River	MN	55330	
10849	20110930	FIRST STATE BANK	15050	LONOKE	AR	72086	
10858	20110930	Platte Valley State Bank and Trust Company	16112	Kearney	NE	68847	
11145	20110930	Lake-Osceola State Bank	8172	Baldwin	MI	49304	
11640	20110930	First National Bank of Clarksdale	19070	Clarksdale	MS	38614	
11837	20110930	The Farmers Bank	5709	Greensboro	GA	30642	
12030	20110930	First National Bank South	17011	ALMA	GA	31510	
12142	20110930	Cleveland State Bank	12201	Cleveland	MS	387321000	
12245	20110930	BANK NORTH	15093	Crivitz	WI	54114	
12311	20110930	The Huntington National Bank	6560	Columbus	OH	43215	
12647	20110930	The Portage County Bank	10012	Almond	WI	54909	
12656	20110930	EMERALD BANK	14944	BURDEN	KS	67019	
12937	20110930	Oak Bank	20226	Chicago	IL	60611	
12946	20110930	Farmers Bank and Trust Company	1291	Magnolia	AR	71753	
12955	20110930	Bank of Nebraska	21704	La Vista	NE	68128	
13103	20110930	Bristol County Savings Bank	23622	Taunton	MA	02780	
13251	20110930	ELYSIAN BANK	10185	ELYSIAN	MN	56028	
13457	20110930	BANK OF LEWELLEN	5425	LEWELLEN	NE	691470248	
14052	20110930	Lincoln Community Bank	09042	Merrill	WI	54452	
14155	20110930	F & C Bank	9378	Holden	MO	64040	
14650	20110930	BANK OF LOCUST GROVE	16795	LOCUST GROVE	OK	743520219	
14753	20110930	Farmers State Bank Of Bucklin, Kansas, The	18101	Bucklin	KS	67834	
14865	20110930	Bank of Eastern Oregon	16243	Heppner	OR	97836	
14977	20110930	First Federal Bank Littlefield Texas ssb	30291	Littlefield	TX	793391390	
16458	20110930	Douglas County Bank	17105	Lawrence	KS	66044	
16551	20110930	Northview Bank	10956	Sandstone	MN	55072	
16748	20110930	The Elberfeld State Bank	13104	Elberfeld	IN	47613	
16944	20110930	THE WEST MICHIGAN SAVINGS BANK	11404	BANGOR	MI	49013	
16953	20110930	First State Bank of Fertile	10186	Fertile	MN	56540	
17110	20110930	The Haverford Trust Company	26189	Radnor	PA	19087	
17147	20110930	First Merchants Bank, NA	4365	Muncie	IN	47305	
17259	20110930	THE FIRST NATIONAL BANK IN MARLOW	26260	MARLOW	OK	730550033	
17464	20110930	Bank of the Cascades	22407	Bend	OR	977099906	
17950	20110930	Bank of Bridger NA	2224	Bridger	MT	59014	
18050	20110930	First National Bank of Bastrop	3091	Bastrop	TX	78602	
18135	20110930	South Central Bank, NA	19536	Chicago	IL	60607	
18377	20110930	Bally Savings Bank	34440	Bally	PA	19503	
18827	20110930	Farmers & Merchants Bank of Western Pennsylvania, N.A.	7900	Kittanning	PA	16201	
18836	20110930	CAPON VALLEY BANK	9998	WARDENSVILLE	WV	26851	
18854	20110930	Bank 7	4147	Oklahoma City	OK	73116	
18957	20110930	THE FIRST STATE BANK OF BURLINGAME	15794	BURLINGAME	KS	66413	
19356	20110930	SECURITY BANK AND TRUST COMPANY	9881	MIAMI	OK	74354	
19730	20110930	Standard Bank and Trust Company	16606	Hickory Hills	IL	604572298	
19936	20110930	Citizens Bank of Americus	15477	Americus	GA	317091128	
19972	20110930	FARMERS BUILDING AND SAVINGS BANK	34711	ROCHESTER	PA	15074	
20053	20110930	Security Bank	10015	New Auburn	WI	54575	
20512	20110930	First National Bank of Port Allegany	7704	Port Allegany	PA	16743	
20633	20110930	MCNB Bank and Trust Co.	6803	Welch	WV	24801	
20857	20110930	Granite Falls Bank	10998	Granite Falls	MN	56241	
21256	20110930	State Bank of Burrton	16583	Burrton	KS	670200219	
21359	20110930	AMERICAN STATE BANK OF GRYGLA	22263	GRYGLA	MN	56727	
21630	20110930	Teche Bank & Trust Company	20041	St. Martinville	LA	70582	
21658	20110930	ALLIANCE BANK	12511	MONDOVI	WI	54755	
22048	20110930	UNION BANK & TRUST CO.	1753	MONTICELLO	AR	716570270	
22356	20110930	FIRST BANK OF WYOMING	2226	POWELL	WY	82435	
22543	20110930	State Savings Bank	8162	Frankfort	MI	496351169	
22552	20110930	FIRST SOUTHEAST BANK	10576	HARMONY	MN	55939	
22730	20110930	West Union Bank	2452	West Union	WV	26456	
22936	20110930	Farmers & Merchants Bank	16673	Statesboro	GA	304592789	
22954	20110930	First National Bank	05161	Hawley	MN	56549	
23045	20110930	West Michigan Bank & Trust	24471	Frankfort	MI	496351009	
23456	20110930	The First National Bank of Henning	5162	Ottertail	MN	56571	
23504	20110930	Bridgehampton National Bank	6976	Bridgehampton	NY	11932	
23540	20110930	Oswego Community Bank	17899	Oswego	IL	60543	
23643	20110930	Commercial Bank & Trust Company	90	Monticello	AR	71655	
23755	20110930	First National Community Bank	5357	New Richmond	WI	54017	
24006	20110930	Putnam County Savings Bank	15995	Brewster	NY	105090417	
24453	20110930	ROCKY MOUNTAIN BANK	24334	WILSON	WY	83014	
24659	20110930	PRODUCE STATE BANK	10178	HOLLANDALE	MN	56045	
24668	20110930	BANK TEXAS, NATIONAL ASSOCIATION	3402	QUITMAN	TX	757831675	
24855	20110930	First National Bank Of Nash, The	4155	Nash	OK	73761	
24949	20110930	THE BARABOO NATIONAL BANK	12788	BARABOO	WI	53913	
25357	20110930	All America Bank	20093	Mustang	OK	73064	
25647	20110930	FirstSecure Bank and Trust Co	22536	Palos Hills	IL	60465	
26242	20110930	First National Bank and Trust Company	18979	Mountain Home	AR	726541928	
26457	20110930	La Monte Community Bank	16423	La Monte	MO	65337	
26765	20110930	San Antonio National Bank	3405	San Antonio	TX	78279	
26859	20110930	OMNIBANK, N.A.	17325	HOUSTON	TX	77021	
27548	20110930	Blackhawk State Bank	14078	Beloit	WI	53511	
27614	20110930	The Andover Bank	10663	Andover	OH	440031300	
27847	20110930	DIAMOND BANK	1527	MURFREESBORO	AR	71958	
28152	20110930	State Bank of Kimball	11415	Kimball	MN	55353	
28255	20110930	The First National Bank of Beeville	3095	Beeville	TX	78102	
28349	20110930	ALLIED BANK	91	MULBERRY	AR	72947	
28406	20110930	Hyde Park Savings Bank	90160	Hyde Park	MA	021369935	
28572	20110930	Columbia Savings Bank	32284	Cincinnati	OH	45220	
28732	20110930	Peoples Bank & Trust Co	1475	Manchester	TN	37355	
29104	20110930	UNION CENTER NATIONAL BANK	6431	UNION	NJ	07083	
29636	20110930	The Citizens Bank	12204	Philadelphia	MS	393500209	
29953	20110930	Home State Bank	10650	Louisville	NE	68037	
30052	20110930	Amistad Bank	26658	Del Rio	TX	78840	
30258	20110930	The RiverBank	10216	Wyoming	MN	55092	
30418	20110930	College Savings Bank	27041	Princeton	NJ	08540	
30502	20110930	NORTHWAY BANK	14240	BERLIN	NH	3570	
30650	20110930	Lake Community Bank	8193	Long Lake	MN	55356	
30810	20110930	Discover Bank	5649	New Castle	DE	19720	
31134	20110930	The First National Bank of Waynesboro	2160	Waynesboro	GA	308300647	
31255	20110930	Central Bank	17612	Houston	TX	77041	
31657	20110930	FIRST STATE BANK OF BEN WHEELER	11904	BEN WHEELER	TX	75754	
31826	20110930	POWELL VALLEY NATIONAL BANK	6863	JONESVILLE	VA	242630100	
31835	20110930	BANK OF ANGUILLA	8243	ANGUILLA	MS	38721	
32234	20110930	FIRST NATIONAL BANK AND TRUST CO.	3639	CLINTON	IL	61727	
32766	20110930	LAKESIDE NATIONAL BANK	21693	ROCKWALL	TX	75032	
33147	20110930	Farmers Bank & Trust Co.	1027	Blytheville	AR	723150688	
33259	20110930	Premier Bank	21714	Maplewood	MN	55109	
33268	20110930	THE ROSCOE STATE BANK	1213	ROSCOE	TX	795450609	
33754	20110930	Farmers State Bank	10712	Bertram	TX	78605	
33839	20110930	Peoples State Bank of Colfax	10075	Colfax	IL	617280527	
33857	20110930	FRONTIER BANK	15545	MADISON	NE	687480610	
34153	20110930	American Bank of St. Paul	20843	St. Paul	MN	551043908	
34359	20110930	BANK OF MARQUETTE	05436	MARQUETTE	NE	68854	
34425	20110930	Bank of Lancaster	11200	Kilmarnock	VA	22482	
34434	20110930	MAGNOLIA STATE BANK	22081	BAY SPRINGS	MS	394220580	
34452	20110930	First National Bank of Park Falls	5358	Park Falls	WI	54552	
34537	20110930	Seacoast National Bank	131	Stuart	FL	349959012	
34555	20110930	MACON-ATLANTA STATE BANK	14695	MACON	MO	635520128	
34742	20110930	First Western Bank	13083	Booneville	AR	729270238	
34836	20110930	THE WOODBURY BANKING COMPANY	11297	WOODBURY	GA	30293	
35057	20110930	Alliant Bank	1946	Madison	MO	65263	
35301	20110930	State Street Bank and Trust Company	14	Boston	MA	02110	
35570	20110930	Investors Bank	28892	Short Hills	NJ	07078	
35646	20110930	BONDUEL STATE BANK	11235	BONDUEL	WI	54107	
35842	20110930	PREMIER BANK OF JACKSONVILLE	10868	JACKSONVILLE	IL	62650	
36054	20110930	Coppermark Bank	18957	Oklahoma City	OK	731250676	
36344	20110930	FREESTAR BANK, N.A.	14736	Pontiac	IL	61764	
36456	20110930	Farmers State Bank	15907	Maywood	NE	69038	
36858	20110930	PREMIER BANK	22924	LENEXA	KS	66219	
36933	20110930	First State Bank	19163	Wrens	GA	30833	
37051	20110930	PIGEON FALLS STATE BANK	13030	PIGEON FALLS	WI	547600489	
37341	20110930	BANK OF ONTARIO	21085	ONTARIO	WI	54651	
37378	20110930	Central Valley Bank	18616	Toppenish	WA	98948	
37435	20110930	United Bank	172	Zebulon	GA	30295	
37640	20110930	GERMAN AMERICAN BANCORP	17393	JASPER	IN	47547	
37659	20110930	FARMERS STATE BANK	12758	ALLEN	OK	748250467	
37743	20110930	Calumet County Bank	11607	Brillion	WI	54110	
37949	20110930	Bank of Rantoul	11711	Rantoul	IL	61866	
38535	20110930	First United Bank	20685	Crete	IL	60417	
38740	20110930	Owen County State Bank	13112	Spencer	IN	47460	
39327	20110930	Calvin B Taylor Banking Company of Berlin, Maryland	5874	Berlin	MD	218110005	
39420	20110930	The Lorain National Bank	14832	Lorain	OH	440521739	
39475	20110930	AmericanWest Bank	22441	Spokane	WA	99201	
39756	20110930	NBC Oklahoma	4032	Oklahoma City	OK	73156	
40033	20110930	Richton Bank & Trust Company	11817	Richton	MS	39476	
40350	20110930	MURRAY STATE BANK	10653	MURRAY	NE	684090076	
40707	20110930	Connecticut River Bank, N.A.	6209	Springfield	VT	05156	
40855	20110930	Eitzen State Bank	10980	Caledonia	MN	55921	
41245	20110930	Farmers   Merchants Bank of Orfordville	15173	Orfordville	WI	53576	
41553	20110930	First State Bank	12283	Anadarko	OK	73005	
41629	20110930	PIONEER  BANK	6913	Stanley	VA	22851	
