"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADJ447	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	GAINS ON BARGAIN PURCHASE	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	11	0	41	30	CONF	3	14	0	16	42	0	0	0	0	0	0	0	0	0	0	0	false	28	0	0	10	0	11	70	146	49	0	0	81	0	46	40	0	INT PENALTY ON E/W CDS	MISC INCOME		CLEARING HOUSE FEES	BANK SECURITY AND IT												
242	0	0	70	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0																	
279	61	2	164	5	CONF	0	0	0	69	51	61	0	0	0	0	0	0	0	0	0	0	false	48	0	0	34	10	13	293	382	52	0	0	50	0	0	17	0				Officers Expense	Seminars and Training Expense	Contributions and Donations											
354	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0																	
457	0	0	0	0	CONF	0	0	0	32	30	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				SOFTWARE MAINTENANCE	INTERNET SOFTWARE CHARGES									DIRECTOR FEES OF $32,400.00			
505	299	0	196	118	CONF	44	0	0	105	111	102	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	137	37	67	661	104	0	455	149	0	257	0	0	NYSERDA rebate			online banking expense	OCC assessment	NYS mortgage tax											
1155	362	39	109	193	CONF	53	0	0	89	212	0	0	0	0	0	0	0	0	0	0	0	false	83	0	0	15	169	18	92	396	109	0	292	78	6	79	80	0	Exchange			Macha & Bank Service Charges	OREO Expenses												
1351	24	0	28	8	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	50	0	0	0	0	11	131	0	33	0	0	25	0	0	47	0																	
1454	492	0	277	0	CONF	775	188	138	206	152	0	0	0	0	0	0	0	0	0	0	0	false	294	0	0	0	138	0	0	402	334	0	1623	0	0	703	0	0	LETTER OF CREDIT FEE INCOME	MERCHANT DISCOUNT INCOME	HUMAN RESOURCES FEE INCOME	LOAN EXPENSE	OCC FEES												
1557	32	0	35	0	CONF	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	40	46	27	0	0	0	0	0	0	0				TRAVEL AND EDUCATION													
1669	57	0	38	21	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	94	0	0	30	275	42	232	563	94	0	257	68	0	72	66	0																	
1829	220	0	223	0	CONF	512	151	0	223	396	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	68	0	0	0	651	0	0	428	0	0	418	192	0	Lease Fee Income	Investor Income		Other Professional Fees	PA Shares Tax												
1856	20	0	46	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	0	2	20	32	23	0	0	35	20	0	11	0																	
2040	139	0	0	105	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	93	0	0	555	0	0	209	0	0	156	0	0																	
2161	0	0	81	0	CONF	0	0	0	173	50	64	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	109	0	52	295	62	0	231	59	0	205	0	0				Deferred Compensation Plan	Comptroller Assessment	Stock Plan											
2376	407	617	688	56	CONF	832	143	0	325	467	1059	0	0	0	0	0	0	0	0	0	0	false	163	0	0	0	1650	46	165	1266	400	0	233	966	255	305	159	0	Joint Ventures	Miscellaneous Fees		OREO Expense	Problem Loan Expense	Miscellaenous Expense											
2554	1	0	8	0	CONF	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	false	3	0	0	0	0	3	0	6	7	0	-1	2	3	0	6	0				software maintenance													
2732	139	0	144	320	CONF	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	false	87	0	0	0	0	112	0	1152	82	0	0	103	0	0	110	0				write down of oreo property													
2750	40	0	32	70	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	40	143	0	0	0	0	81	31	0	0																	
3177	459	0	289	369	CONF	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	false	206	0	0	83	633	60	1260	1728	282	0	0	387	298	756	134	0				OCC Semi-Annual Assessment													
3252	0	0	34	0	CONF	50	0	0	213	121	51	0	0	0	0	0	0	0	0	0	0	false	48	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	Income-Comm, Exch, fees			Computer Exp- In House	Acct and Profess.	Corresp. Analysis fees											
3458	0	0	13	0	CONF	0	0	0	11	21	22	0	0	0	0	0	0	0	0	0	0	false	11	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0				State Assessment	Supplies	Franchise Taxes											
3720	287	35	187	0	CONF	219	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	174	27	78	560	0	0	0	81	115	81	101	0	Check Card Income				OD CHARGE OFF												
3971	3290	872	0	0	CONF	4227	4208	500	5190	1818	1668	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	910	0	1716	0	1200	875	2120	0	Debt protection product revenues	Military Ally card revenue	Revenue from operations of a property as mortgagee in possession	Direct and indirect expense allocations/management fees from holding company	Employee reimbursed expenses	Real estate owned and at risk loan costs								Other noninterest expense Items that exceed the reporting threshold include:  Credit report fees of $1,183 thousand, expenses related to income producing real estate owned of $1,125 thousand, and insurance expenses of $792 thousand.                                                                                                                                                                                                  RI 9 - Applicable Income Taxes is significantly lower than would be expected due to the successful recovery of state income taxes paid in prior periods of $1,061 thousand due to the inclusion of affiliates income in certain state income tax filings.  This was a non-recurring transaction.			
4156	83	0	0	0	CONF	420	0	0	108	95	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	116	0	37	293	0	0	303	117	81	216	115	0	MORTGAGE BANKING			INTERNET BANKING	TUITION & TRAINING												
4231	0	0	58	45	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	152	268	57	0	0	102	0	150	0	0																	
4437	147	0	175	301	CONF	29	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	false	113	0	0	0	162	0	0	486	157	0	562	0	481	215	103	0	RENTAL INCOME			MISCELLANEOUS EXPENSES													
4839	0	0	0	279	CONF	338	0	0	669	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	552	0	0	0	216	0	164	0	0	Nonperforming assets			Nonperforming assets													
5005	64	0	290	-277	CONF	0	0	0	260	1026	0	0	0	0	0	0	0	17000	0	-1593	0	false	83	0	0	0	257	53	0	5131	120	0	0	116	62	0	121	4069				SHARED SERVICES	CONTRIBUTION EXPENSE					CONTRIBUTED CAPITAL, MERGER WITH SALEM FIVE		PURCHASE ACCOUNTING, MERGER WITH SALEM FIVE					
5069	151	351	615	134	CONF	37	0	0	379	60	0	0	0	0	0	0	0	0	0	0	0	false	0	-173	0	0	0	0	0	216	0	0	0	192	0	0	0	0	Letter of Credit fees			REO expense	State assessment										CPA Deferred Tax entry		
5135	56	12	72	15	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	82	0	0	9	144	17	317	1273	150	0	34	85	0	203	48	0																	
5210	368	0	229	253	CONF	131	0	0	874	239	0	0	0	0	0	0	0	0	0	0	0	false	271	0	0	0	981	127	1291	329	320	0	0	341	195	0	419	0	CREDIT CARD PROCESSING INCOME			PA SHARES TAX	FRAUD/LITIGATION LOSSES												
5461	405	0	126	258	CONF	73	30	-8	286	187	625	0	0	0	0	0	0	0	0	-20	0	true	87	0	0	96	33	28	48	164	210	0	380	84	288	194	227	0	Internet Banking Fees	Misc Fees & Income	Investment Income	Customer Support Expenses	Insurance Expenses	Transportation Expenses								OREO - (Other Real Estate Owned) Expense - 1,031; Provision for Contingencies - 293			
5751	33	0	41	139	CONF	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	127	0	54	366	0	0	0	35	0	40	0	0				Trust Accounting & Software Expense													
6039	41	0	55	0	CONF	0	0	0	80	66	0	0	0	0	0	0	0	0	0	0	0	false	44	0	0	0	0	0	0	227	32	0	0	39	0	0	30	0				OTHER REAL ESTATE EXPENSE	LOAN MISCELLANEOUS EXPENSES												
6141	0	0	62	0	CONF	9	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	false	31	0	0	6	0	6	0	215	38	0	0	0	0	0	17	0	Fees and commissions			Other fees and commissions													
6329	165	51	51	201	CONF	314	69	0	157	68	236	0	0	0	0	0	0	0	0	0	0	false	290	0	0	0	117	29	327	0	444	0	1246	123	325	321	250	0	YIELD SPREAD PREMIUM	EXCHANGE / SERVICE CHARGES		EDUCATION AND TRAINING	SERVICE FEE ANALYSIS	DONATIONS											
7009	0	0	0	0	CONF	0	0	0	27739	1691	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Investment Advisory and Other Svc Fees	Custody Fees												
7045	67	1	88	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	64	0	0	21	0	18	59	0	69	0	245	59	0	80	47	0																	
7072	101	0	238	29	CONF	63	0	0	177	82	94	-1190	-461	0	0	0	0	0	0	0	0	false	12	0	0	0	0	6	21	238	34	0	37	61	220	0	18	0	Application Fees			Loan Expenses	Insurance	Officer & Directors Expenses	Merger costs and Severence										
7157	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0																	
7456	53	0	77	0	CONF	50	77	35	67	51	69	0	0	0	0	0	0	300	0	0	0	false	0	0	0	0	0	0	44	112	0	0	0	0	35	33	0	0	Overdraft charges	RE Loan Fees	Loan Fees	Insurance	Real Estate Loan Expense	Contributions   Public Relations				Capital Injection							
7634	0	128	0	0	CONF	0	0	0	126	50	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	25	180	43	0	0	55	0	105	0	0				ORE Rental Expense	Expired Blanket Bond Premium												
8033	0	0	106	53	CONF	146	0	0	85	74	0	0	0	0	0	0	0	0	0	0	0	false	41	0	0	0	38	0	0	115	39	0	0	71	47	0	0	0	ATM/CHECK CARD INCOME			TAXES - AD VALOREM	ATM/CHECK CARD EXPENSE												
8462	27	0	63	0	CONF	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	false	42	0	0	0	0	0	0	40	68	0	241	33	0	176	0	0				Comptroller of the Currency assessment													
8631	36	28	90	33	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	23	0	0	0	58	0	115	248	22	0	0	39	0	13	0	0																	
9357	152	0	73	248	CONF	365	312	101	113	90	261	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	47	0	72	0	130	86	103	0	62	0	Special Services Fee	Wire Fees	Safekeeping Fees	Correspondent Bank Charges	Insurance	Outside Vendor Services											
9553	0	0	73	33	CONF	99	35	0	33	28	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	65	0	0	85	33	0	30	0	0	28	0	0	Life Insurance Policy Payout was larger than book value	Pre-payment Fee		Nebraska Fund XV Investment	Investment Expense												
9807	596	1225	181	1027	CONF	282	152	383	13250	9345	1424	0	0	0	0	0	0	0	0	0	0	true	199	0	0	72	8288	94	490	2228	254	0	0	627	1179	0	320	0	LOAN MODIFICATION FEES	LATE CHARGES	PREPAYMENT PENALTIES	OREO EXPENSES	OREO WRITEDOWNS	CHANGE IN FAIR VALUE OF SWAPS								Schedule RI, line 6.a. includes a charge of $2,750 million for OTTI (other than temporarily impaired) assets. This charge is on HTM securities. Schedule RI-B, part I, line 1.c. (2) (a) has $740 thousand in charge offs recognized on reverse mortgage loans during the nine month period ended September 30, 2012 and were reclassified from the allowance for loan losses and recognized as losses against the self funded mortgage impairment reserve.			
9955	0	0	31	0	CONF	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	false	46	0	0	0	0	0	29	227	0	0	106	0	0	51	34	0				INTERNET BANKING													
10250	117	202	67	485	CONF	87	0	0	188	142	1310	0	0	0	0	0	0	2600	0	0	0	false	153	0	0	38	10	38	40	66	115	0	1287	45	34	347	98	0	Other Service Charges			Insurance Bond, D&O, Property, VSI, SBA	Technology Vendor Expense	OREO Expense				Downstream from Holding Company							
10849	0	601	0	217	CONF	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	31	0	128	389	93	0	0	117	0	0	194	0				Insurance and Bonds													
10858	280	0	0	0	CONF	209	0	0	518	178	454	0	0	0	0	0	0	0	0	0	0	true	195	0	0	67	0	40	388	1087	154	0	0	0	0	191	135	0	Miscellaneous Income			Administrative Services Expense - Affiliate	Loan Servicing Expense	Other Professional Services Expense								2.o State Deposit Tax Expense 144			
11145	75	53	102	8	CONF	24	62	0	165	447	0	0	0	0	0	0	0	0	0	0	0	false	83	0	0	63	0	18	483	368	82	0	0	150	22	215	74	0	4500300 Other Misc Inc.	4500400 Other Misc Assets Inc.		5503200 Credit/Collection Fees	5503400 Other Real Estate Expense/Loss												
11275	540	724	0	1036	CONF	180	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	false	538	0	0	0	972	0	106	2107	0	0	1116	381	584	786	359	0	Wire fee income			Assessment Fees													
11640	65	0	159	0	CONF	0	0	0	98	109	266	0	0	0	0	0	0	0	0	0	0	false	68	0	0	0	164	32	183	0	72	0	0	0	84	142	105	0				OCC SEMI ANNUAL ASSESSMENT	LOAN AND COLLECTION EXPENSE	STATE INCOME TAX											
11837	39	0	42	68	CONF	0	0	0	56	45	61	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	79	44	0	0	0	0	81	83	0	0				Computer Supplies	Item Processing	ORE Expense											
12030	0	38	0	161	CONF	99	34	20	1188	310	291	0	0	0	0	0	0	0	0	0	0	false	0	0	0	68	19	27	0	403	197	0	255	0	0	0	0	0	Closing Fees	Exchange Fees	Wire Fees	Collection and Repo Exoense	FDIC Assessment Expense	Buiulding and Repairs and Maintenance											
12142	68	0	72	64	CONF	31	26	0	169	52	0	0	0	0	0	0	0	0	0	0	0	false	69	0	0	10	0	36	93	0	100	0	147	69	44	19	90	0	miscellaneous income	wire transfer fees		contracted services	miscellaneous expense												
12179	25	0	66	33	CONF	0	0	0	75	40	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	74	0	0	123	0	0	0	49	0	0	0	0				Ohio state franchise taxes.	Debit card expenses.												
12245	53	0	66	0	CONF	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	false	46	0	0	7	0	17	27	202	62	0	142	47	0	75	39	0					laser forms maintenance												
12311	78028	0	0	57807	CONF	11632	37893	12827	0	0	0	0	0	0	0	0	0	19737	-16249	0	0	false	0	0	0	14954	54960	0	12444	153919	17236	0	74454	0	23943	0	19647	11218	Operating Lease Income	Commitments / Letter of Credit fees	Foreign Exchange Fees							FAS 123 Stock Option Expense	Return of Capital						
12647	0	0	32	85	CONF	0	0	0	130	48	0	0	0	0	0	0	0	0	0	0	0	false	42	0	0	7	0	9	60	176	31	0	0	55	0	0	78	0				Other Property Expense	Brokered CDs												
12656	3	0	36	4	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	10	0	0	1	0	3	9	8	10	0	14	11	0	9	11	0																	
12937	0	0	64	0	CONF	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	false	46	0	0	0	0	0	26	228	0	0	27	187	51	35	43	0				GENERAL INSURNACE													
12946	399	0	0	0	CONF	66	51	0	172	146	211	0	0	0	0	0	0	0	0	0	0	false	167	0	0	0	264	58	153	0	0	0	689	0	0	159	645	0	check order fees	deferred benefit plan income		ORE expense	state bank assessment	bus. development (107) travel (104)											
12955	64	0	30	109	CONF	39	28	0	46	126	61	0	0	0	0	0	0	0	0	0	0	false	95	0	0	0	0	0	139	81	154	0	0	78	0	0	115	0	other non operating income	misc income		business development	dues and subscriptions	insurance											
13103	863	0	547	0	CONF	34	34	25	0	533	438	0	0	0	0	0	0	0	0	0	0	false	357	0	0	101	0	100	155	1837	586	0	0	0	1064	568	0	0	Misc Income	Consumer Internet Banking Fee Income	Indirect Lending Fee Income		Misc Expense	Operating Expense OREO											
13251	7	0	13	52	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	59	0	0	10	19	25	0	0	0	0	0	0	0																	
13457	0	0	0	0	CONF	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	55	0	0	46	0	0	0	0	0	0	0	0				Life Insurance Expense													
14052	0	0	39	0	CONF	39	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	false	40	0	0	0	46	0	0	183	26	0	0	0	0	58	0	0	Miscellaneous Income - Refund from Harland in May for 38			OREO Expenses													
