"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																					67	4	840		168				601					0		0	0	0				
242																					186	0	452		15				251					0		0	0	0				
279																					2151	265	9065		145				751					0		5753	0	0				
354																					0	33	122		26				63					0		0	0	0				
457																					360	0	1523		27				455					0		681	0	0				
505																					3497	0	12572		2307				1699					0		5069	0	0				
1155																					353	0	7749		213				1514					0		5669	0	0				
1351																					191	0	1916		233				1492					0		0	0	0				
1454																					1211	0	14365		1975				3629					0		7550	0	0				
1669																					186	583	13847		148				1449					0		10609	0	872				
1856																					1445	0	2643		910				288					0		0	0	0				
2161																				0	398	0	5288	129	129	0	0	0	939	0	0	0	0	0	0	3822	0	0				
2376																				0	23007	32449	173135	310	4210	0	0	0	11979	884	0	0	0	0	0	81871	0	19619				
2732																					174	921	4329		1271				1963					0		0	0	0				
2750																					199	0	2962		138				1005					0		1620	0	0				
3252																					687	0	5512		986				3839					0		0	0	0				
3458																					250	0	1523		123				648					0		502	0	0				
3720																					270	596	11102	266	266				1063					0		6181	0	2726	JHA ATM settlement security deposit			
3971																					6338	1203	31752		7268				2811					0		14132	0	0				
4156																					505	0	7967		178				1206					0		5038	0	1040				
4231																					0	11	649		225				413					0		0	0	0				
5069																					0	422	7124		4369				2333					0		0	0	0				
5135																					1780	1309	17905		1030				7358					0		6428	0	0				
5210																					3905	2696	74148		12662				4512					0		44161	0	6212				
5461																					3006	0	16375		2419				2256					0		8694	0	0				
5751																					397	11	7032		157				1856					0		2794	347	1470				
6039																				0	296	257	2610	288	357	0	0	0	1700	0	0	0	0	0	0	0	0	0				
6329																				1027	686	3301	26698	3750	7878				3856		386			0		8252	0	2725				
