"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDFT33	RCFDFT34	RCFDFT35	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONFT33	RCONFT34	RCONFT35	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																						0	77	177	982	0	138	0	0	0	0	0	590	0	0	0	0	0	0	0	0	0				
242																						0	173	0	448	10	10	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0				
279																						0	2029	453	7957	133	136	0	0	0	0	0	757	0	0	0	0	0	0	4582	0	0				
354																						0	0	44	86	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0				
457																							338	0	1423		44				0	0	391							650	0	0				
505																						0	4340	0	15206	1140	4467	2618	0	0	0	0	1562	0	0	0	0	0	0	4837	0	0	Prepaid Retirement			
1155																							279	0	6943	92	155				0	0	1114							5395	0	0				
1351																						0	183	0	1620	132	157	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0				
1454																							1258	0	13001	1447	2493	757			0	0	3133							6117	0	0	PROCESSING DEPOSIT			
1557																							226	0	1140		5				0	0	909							0	0	0	ATM Processing			
1669																						5	177	759	13474	228	256				0	0	1475							9959	848	0				
1856																							1899	0	3083	809	882				0	0	302							0	0	0				
2040																						0	1093	999	7858	462	503	0	0	0	0	0	762	0	0	0	0	0	0	4188	0	313				
