"IDRSSD"	RCFD1773	RCFD3543	RCFD3547	RCFDF240	RCFDF241	RCFDF242	RCFDF252	RCFDF253	RCFDF254	RCFDF261	RCFDF262	RCFDF263	RCFDF585	RCFDF586	RCFDF587	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF601	RCFDF608	RCFDF609	RCFDF684	RCFDF686	RCFDF689	RCFDF692	RCFDF694	RCFDF697	RCFDG391	RCFDG392	RCFDG395	RCFDG396	RCFDG474	RCFDG475	RCFDG476	RCFDG477	RCFDG478	RCFDG479	RCFDG480	RCFDG481	RCFDG482	RCFDG483	RCFDG484	RCFDG485	RCFDG486	RCFDG487	RCFDG488	RCFDG489	RCFDG490	RCFDG491	RCFDG492	RCFDG493	RCFDG494	RCFDG495	RCFDG496	RCFDG497	RCFDG498	RCFDG499	RCFDG500	RCFDG501	RCFDG502	RCFDG503	RCFDG504	RCFDG505	RCFDG506	RCFDG507	RCFDG508	RCFDG509	RCFDG510	RCFDG511	RCFDG512	RCFDG513	RCFDG514	RCFDG515	RCFDG516	RCFDG517	RCFDG518	RCFDG519	RCFDG520	RCFDG521	RCFDG522	RCFDG523	RCFDG524	RCFDG525	RCFDG526	RCFDG527	RCFDG528	RCFDG529	RCFDG530	RCFDG531	RCFDG532	RCFDG533	RCFDG534	RCFDG535	RCFDG536	RCFDG537	RCFDG538	RCFDG539	RCFDG540	RCFDG541	RCFDG542	RCFDG543	RCFDG544	RCFDG545	RCFDG546	RCFDG547	RCFDG548	RCFDG549	RCFDG550	RCFDG551	RCFDG552	RCFDG553	RCFDG554	RCFDG555	RCFDG556	RCFDG557	RCFDG558	RCFDG559	RCFDG560	RCFDG561	RCFDG562	RCFDG563	RCFDG564	RCFDG565	RCFDG566	RCFDG567	RCFDG568	RCFDG569	RCFDG570	RCFDG571	RCFDG572	RCFDG573	RCFDG574	RCFDG575	RCFDG576	RCFDG577	RCFDG578	RCFDG579	RCFDG580	RCFDG581	RCFDG582	RCFDG583	RCFDG584	RCFDG585	RCFDG586	RCFDG587	RCFDG588	RCFDG589	RCFDG590	RCFDG804	RCFDG805	RCFDG806	RCFDG807	RCFDG808	RCFDG809	RCFDK195	RCFDK196	RCFDK208	RCFDK209	RCON1773	RCON3543	RCON3547	RCONF240	RCONF241	RCONF242	RCONF252	RCONF253	RCONF254	RCONF261	RCONF262	RCONF263	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF601	RCONF684	RCONF686	RCONF689	RCONF692	RCONF694	RCONF697	RCONG391	RCONG392	RCONG395	RCONG396	RCONG474	RCONG475	RCONG476	RCONG477	RCONG478	RCONG479	RCONG480	RCONG481	RCONG482	RCONG483	RCONG484	RCONG485	RCONG486	RCONG487	RCONG488	RCONG489	RCONG490	RCONG491	RCONG492	RCONG493	RCONG494	RCONG495	RCONG496	RCONG497	RCONG498	RCONG499	RCONG500	RCONG501	RCONG502	RCONG503	RCONG504	RCONG505	RCONG506	RCONG507	RCONG508	RCONG509	RCONG510	
1557																																																																																																																																																																12106																																																																																	
1669																																																																																																																																																																80344																																																																																	
1856																																																																																																																																																																25288																																																																																	
2040																																																																																																																																																																49403																																																																																	
2161																																																																																																																																																																15993									0	0	0																									0			0																																										
2376																																																																																																																																																																88791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6239	0	0	6239	0	0	88791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95030	0	0	95030	0	0	0	0	0	
2554																																																																																																																																																																3312																																																																																	
2732																																																																																																																																																																88181																																																																																	
2750																																																																																																																																																																9262																																																																																	
3252																																																																																																																																																																81310																																																																																	
3458																																																																																																																																																																6495																																																																																	
3720																																																																																																																																																																72245																																																																																	
3971																																																																																																																																																																60520																																																																																	
4156																																																																																																																																																																41026																																																																																	
4231																																																																																																																																																																45420																																																																																	
4839																																																																																																																																																																77318																																																																																	
5069																																																																																																																																																																24528																																																																																	
5135																																																																																																																																																																49517																																																																																	
5210																																																																																																																																																																157635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1042	156593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157635	0	1042	156593	0	0	0	0	0	
5461																																																																																																																																																																179216	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	7939	171277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179216	0	7939	171277	0	0	0	0	0	
5751																																																																																																																																																																36478																																																																																	
6039																																																																																																																																																																22395									0	0	0																									0			0																																										
6141																																																																																																																																																																0																																																																																	
6329																																																																																																																																																																30363	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0	30363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30363	0	0	30363	0	0	0	0	0	
7009																																																																																																																																																																294275																																																																																	
7045																																																																																																																																																																115571									0	0	0																									0			0																																										
7072																																																																																																																																																																15916																																																																																	
7456																																																																																																																																																																14466																																																																																	
7634																																																																																																																																																																12845																																																																																	
8033																																																																																																																																																																4818																																																																																	
8462																																																																																																																																																																84424																																																																																	
8631																																																																																																																																																																14350																																																																																	
9357																																																																																																																																																																75406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	983	74423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75406	0	983	74423	0	0	0	0	0	
9553																																																																																																																																																																26655																																																																																	
9807																																																																																																																																																																267490	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		117781	0	0	117781	0	0	267490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385271	0	0	385271	0	0	0	0	0	
9955																																																																																																																																																																49613																																																																																	
10250																																																																																																																																																																99918																																																																																	
10849																																																																																																																																																																68317																																																																																	
11145																																																																																																																																																																21580																																																																																	
11640																																																																																																																																																																97822																																																																																	
11837																																																																																																																																																																42509																																																																																	
12030																																																																																																																																																																17814																																																																																	
12142																																																																																																																																																																76330																																																																																	
12179																																																																																																																																																																841																																																																																	
12311	14853007	161258	56300	0	0	0	0	0	0				0	0	0	0	0	0	0	0	681488	669207	0	0		0	0		16759	42761	0	47767	0	16499	11854227	2982281	0	0	0	0	0	584829	0	0	584829	0	99191	0	0	58708	40483	111801	0	264634	8425	0	0	0	0	0	15715044	154562	16499	12810165	3042942	0	0	0	0	0	140904	0	192027	5177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59124	234526	0	288191	5459	11753				11753	5003	42764		47767																						2824	93622		96164	282																					11753	2824	93622	0	96164	282	1337	1178	1353	1560	14853006	161258	56300										12759	11853	0	656811	65	0	0	0	0	0	0	11637	11635	0	645872	63	0	0	0	0	0	0																																																
12647																																																																																																																																																																0									0	0	0																									0			0																																										
12656																																																																																																																																																																0																																																																																	
12937																																																																																																																																																																0																																																																																	
12946																																																																																																																																																																201068	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	2870	196679	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201068	0	2870	196679	1519	0	0	0	0	
13103																																																																																																																																																																326420	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	326420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326420	0	326420	0	0	0	0	0	0	
13251																																																																																																																																																																2071																																																																																	
13457																																																																																																																																																																7284																																																																																	
14052																																																																																																																																																																6506																																																																																	
14155																																																																																																																																																																13368																																																																																	
14650																																																																																																																																																																14																																																																																	
14753																																																																																																																																																																3921																																																																																	
14865																																																																																																																																																																16458																																																																																	
14977																																																																																																																																																																1782									0	0	0																									0			0																																										
16551																																																																																																																																																																34086																																																																																	
16748																																																																																																																																																																7619																																																																																	
17110																																																																																																																																																																37766									0	0	0																									0			0																																										
17147																																																																																																																																																																887539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7060	0	0	7060	0	0	884213	3326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894599	0	0	891273	3326	0	0	0	0	
17259																																																																																																																																																																11514																																																																																	
17950																																																																																																																																																																197758																																																																																	
17978																																																																																																																																																																0																																																																																	
18050																																																																																																																																																																163019																																																																																	
18135																																																																																																																																																																108189																																																																																	
18827																																																																																																																																																																116836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	0	323	0	260	116576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117159	0	260	116899	0	0	0	0	0	
18836																																																																																																																																																																11507																																																																																	
18854																																																																																																																																																																0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19356																																																																																																																																																																23936																																																																																	
19936																																																																																																																																																																31722																																																																																	
19972																																																																																																																																																																0																																																																																	
20053																																																																																																																																																																12483																																																																																	
20633																																																																																																																																																																63284																																																																																	
20857																																																																																																																																																																70648																																																																																	
21256																																																																																																																																																																2241																																																																																	
21359																																																																																																																																																																8307																																																																																	
21630																																																																																																																																																																24233									0	0	0																									0			0																																										
21658																																																																																																																																																																26482																																																																																	
22048																																																																																																																																																																41808																																																																																	
22543																																																																																																																																																																3937																																																																																	
22552																																																																																																																																																																1884																																																																																	
22730																																																																																																																																																																75040																																																																																	
22936																																																																																																																																																																31752																																																																																	
23456																																																																																																																																																																26550																																																																																	
23504																																																																																																																																																																792058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2447	0	0	2447	0	0	792058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794505	0	0	794505	0	0	0	0	0	
23643																																																																																																																																																																76018																																																																																	
23755																																																																																																																																																																55186																																																																																	
24006																																																																																																																																																																106579	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0	106579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106579	0	0	106579	0	0	0	0	0	
24378																																																																																																																																																																10965																																																																																	
24453																																																																																																																																																																9889																																																																																	
24659																																																																																																																																																																0																																																																																	
24668																																																																																																																																																																419362	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0	419362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419362	0	0	419362	0	0	0	0	0	
24949																																																																																																																																																																57141																																																																																	
25357																																																																																																																																																																21349																																																																																	
25647																																																																																																																																																																3075																																																																																	
