"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													210		118	0					45	47	0						
242													28		0	0					28	0	0						
279													1655		776	0					156	723	0						
354													54		0	0					1	53	0						
457													217		0	0					29	188	0						
505													5479		3077	545					188	1576	93						
1155													2151		1482	0					214	455	0						
1351													917		63	0					518	336	0						
1454													4807		4132	0					70	605	0						
1669													357		70	0					226	61	0						
1856													145		50	0					59	36	0						
2161													3152	0	1493	0	0	0	0	0	64	1595	0	1493	0				
2376													67971	0	31548	0	0	0	0	0	1304	35119	0	25965	3248				
2732													3292		500	0					850	1942	0						
2750													468		248	0					72	138	10						
3252													406		2	0					217	187	0						
3458													226		10	56					67	93	0						
3720													2193		1	0					91	2101	0						
3971													15519		7823	0					647	7009	40						
4156													794		395	16					242	141	0						
4231													551		0	0					159	392	0						
5069													9272		1619	0					1060	5691	902						
5135													3097		973	0					460	1664	0						
5210													13179		8274	0					2338	2486	81						
5461													6120		4408	0					4	1536	172						
5751													1855		1417	0					61	377	0						
6039													2363	0	356	0	0	0	0	0	656	1351	0	0	0				
6329													7564		3081	0	481				832	3651	0	2541					
7009													9719		240	105					685	8689	0						
7045													1007	0	0	181	0	0	0	0	96	730	0	0	0				
7072													4362		3036	0					50	1276	0						
7456													284		54	0					61	169	0						
7634													242		8	0					84	150	0						
8033													4311		3143	0					924	244	0						
8462													293		0	0					180	104	9						
8631													748		666	0					26	56	0						
9357													6662		5762	0					195	705	0						
9553													1449		4	0					170	1275	0						
9807													7982		809	0					3219	3204	750		649				
