"IDRSSD"	RCFD3353	RCFD3355	RCFD3365	RCFD3368	RCFD3381	RCFD3401	RCFD3484	RCFDB558	RCFDB559	RCFDB560	RCFN3360	RCFN3404	RCON3353	RCON3355	RCON3360	RCON3365	RCON3368	RCON3381	RCON3386	RCON3387	RCON3401	RCON3465	RCON3466	RCON3484	RCON3485	RCONA514	RCONA529	RCONB558	RCONB559	RCONB560	RCONB561	RCONB562	RCONB563	
	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTLY AVG OF TOTAL LOANS	QTLY AVG OF INT-BRG DEPS IN FGN OFFC	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF TOTAL LOANS	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF LNS TO FINC AGRCL PROD	QTLY AVG OF C & I LOANS	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVG OF LNS SECD BY 1-4 FAM	QUARTERLY AVG OF ALL OTH LNS SECD BY	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTLY AVG OF INT-BRG TRANSACTION ACCT	QTR AVG TIME DEPOSITS >= $100,000	QTR AVG TIME DEPOSITS < $100,000	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTR AVG: CREDIT CARD LOANS	QTR AVG: OTHER LOANS TO INDIVIDUALS	QTR AVG: NONTRANS - SAVING DEPOSITS	
37													0		37708	0	84556	5933		3072		18144	6560	0	8027	13985	28345	9519	9060	17774	0	5609	7234	
242													0		22191	2211	37346	1397	3057	1590		7654	7187	0	5030	1346	6282	1801	0	6831	0	2721	7327	
279													0	10741	77570	2217	143325	4477		2159	0	50891	17238	75	15388	28071	38032	1001	36853	14489	0	4707	22948	
354													15		3862	459	10257	266	648	510		1016	276	0	0	830	2580	4665	0	565	0	676	2770	
457													184		35869	513	39933	1245	7404	6520		8419	10084	0	2968	2390	9676	0	2	628	0	2895	13385	
505													0	45500	255093	0	426067	69486	0	17379	0	142844	57903	0	11299	15957	32875	0	33125	45313	0	24826	238133	
1155													8765	0	129800	0	209288	32831	5375	35931	0	26579	52535	0	81350	26630	46092	18321	99	8099	506	7076	8988	
1351													68	0	70043	116	162701	0	4061	15806	0	14934	25874	0	12023	41271	41593	42002	0	44809	0	9369	22656	
1454													0	0	236392	0	680311	133663	4941	26131	0	100025	76914	0	113095	55376	49995	185490	6499	89173	0	27063	216155	
1557													0		33806	7493	69919	5200	17865	3465		2687	8152	0	9866	6195	11415	2573	0	18134	0	1608	11120	
1669													0	0	81062	0	251916	30310		6158	0	46417	11265	0	53106	23274	43097	97986	2216	20329	0	11821	41843	
1829													4174	13959	232934	0	408716	58389	0	15094	0	113043	102840	21490	21265	38013	68502	13763	44126	18344	748	908	131645	
1856													0	30000	63729	0	111948	34877		36471	0	1133	28780	0	2236	104	47446	0	7909	0	0	497	2665	
2040													6104	0	118342	16067	199975	5367		14766	0	24273	73797	0	21975	9844	52375	6251	10696	31186	3	2124	68418	
2161													0	0	64668	8634	138152	5324	4565	16144	0	32830	2857	0	36888	23654	13295	0	23586	17334	311	8661	24734	
2376													22750	854878	2088685	0	2710275	5105	0	10335	0	163421	1909819	0	23009	191094	335383	19739	425769	0	0	5109	815287	
2554													54		5241	0	12667	3290	1491	1011		392	1827	0	2091	880	2956	0	0	2927	0	408	1978	
2732													0	0	323833	0	541195	98968	0	33351	0	35769	252776	5176	50651	144332	47539	16075	0	64610	0	2110	105690	
2750													87		38888	798	58144	1598	22301	2167		1876	10313	0	8529	9884	11945	3777	2483	7578	0	1323	11393	
3177													0	113622	684548	0	1037728	154918	0	5978	0	579907	97795	0	59340	139474	78001	40077	54581	15308	0	868	528707	
3252													953	3500	79723	226	163543	490	33543	9968	0	528	26288	71	42853	30075	16691	713	52165	18114	0	5710	27172	
3458													4312		14722	105	33869	3682	874	3040		2967	6484	0	6536	4971	7465	7086	384	2822	0	982	3529	
3720													2151	0	130633	0	198556	13595	6391	15198	0	33641	64032	0	53287	27243	27316	14632	11567	11280	0	6993	31572	
3971													0	20164	451071	2366	679558	79554	27342	32431	0	151622	174082	24816	16801	64831	144089	32846	43773	10495	0	40736	296327	
4156													2743	10000	122772	7771	198461	2743	8840	15433	0	34574	61448	752	39140	26060	31102	18735	2785	23360	0	1726	38146	
4231													0	0	65666	0	118162	0		5890	0	12596	41165	0	9325	28919	23922	3750	22728	9300	0	5459	22984	
4437													2243	2999	132568	0	256693	14759		8983	0	58074	56339	0	41856	40715	33512	48912	23267	21107	0	6114	83416	
