"IDRSSD"	RCFD0010	RCFD1395	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCFDF264	RCFDG591	RCFDG592	RCFDG593	RCFDG594	RCFDG595	RCFDG596	RCFDG597	RCFDG598	RCFDG599	RCFDG600	RCFDG601	RCFDG602	RCON0010	RCON1395	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	
1557																																																																																																																																																																																																	3951	0	0	14094	4445	61178	0	581	0	5757	60578	0	0	0	0	6223	0	0	61	1629	0	0	517	517	512	23214	4244	1668	33712	0	0	0.0942	0.1508	0.1383	0.0000	0.0000	0.0000	5706	517	51	0	0	0	0	0	0	0	0	
1669																																																																																																																																																																																																	20935	0	0	64712	60279	239398	0	3258	0	44071	245229	161	0	0	0	43221	0	0	0	0	0	0	1436	1436	23299	100074	42716	12287	73459	0	0	0.170872	0.382345	0.369641	0.000000	0.000000	0.000000	41785	1436	1597	0	0	0	0	0	0	0	0	
1829																																																																																																																																																																																																	56542	0	0	0	74803	407355	0	4059	0	43439	409028	0	0	0	0	35925	0	0	51	1944	0	0	3023	3023	47146	79079	100903	7088	172915	0	0	0.0821	0.1492	0.1366	0.0000	0.0000	0.0000	32902	3023	1620	0	0	0	0	0	0	0	0	
1856																																																																																																																																																																																																	53717	0	0	1033	34649	144714	0	809	0	21726	147076	0	0	0	0	22669	0	0	0	0	0	0	809	809	16506	74846	2919	1035	51386	0	0	0.1487	0.3343	0.3223	0.0000	0.0000	0.0000	21860	809	-232	0	0	0	0	0	0	0	0	
2040																																																																																																																																																																																																	8541	0	0	0	42403	192905	0	3800	0	20762	207222	0	0	0	0	22081	0	0	0	5659	0	0	1784	1784	3892	35774	47109	8739	109211	158	0	0.0979	0.1569	0.1442	0.0000	0.0000	0.0000	20297	1784	465	0	0	0	0	0	0	0	0	
2161																																																																																																																																																																																																	15987	0	0	1	43768	131855	0	596	0	14026	131909	0	0	0	0	13842	0	0	0	258	0	0	596	596	4801	58197	31512	6977	36763	0	0	0.1004	0.2157	0.2065	0.0000	0.0000	0.0000	13246	596	780	0	0	0	0	0	0	0	0	
2376																																																																																																																																																																																																	8793	0	0	34308	589041	2567121	0	28819	0	411524	2557887	0	0	0	0	430762	0	0	342	0	6302	0	24617	24617	7801	648654	166058	101262	1756441	0	0	0.1592	0.2192	0.2067	0.0000	0.0000	0.0000	406145	24617	-923	0	0	0	0	0	0	0	0	
2554																																																																																																																																																																																																	4149	0	0	0	1892	12109	0	100	0	1162	11691	0	0	0	0	980	0	0	0	0	0	0	97	97	0	4149	1641	249	6140	0	0	0.0774	0.1258	0.1134	0.0000	0.0000	0.0000	883	97	-10	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																																	71453	0	0	0	82849	523409	0	6173	0	77188	527785	0	0	0	0	79403	0	0	0	0	0	0	4489	4489	60463	93001	69479	10660	303604	0	0	0.142240	0.222134	0.209575	0.000000	0.000000	0.000000	74914	4489	1162	0	0	0	0	0	0	0	0	
2750																																																																																																																																																																																																	2045	0	0	0	15296	59593	0	595	0	5512	59767	0	0	0	0	6062	0	0	0	300	0	0	580	580	4746	8879	4195	2672	42338	0	0	0.0917	0.1308	0.1183	0	0	0	5482	580	30	0	0	0	0	0	0	0	0	
3252																																																																																																																																																																																																	5508	0	0	631	67136	152928	0	1558	0	20113	155979	0	0	0	0	20207	0	0	383	1722	0	0	1021	1021	21602	62065	3529	3561	66363	0	0	0.1230	0.2490	0.2364	0.0000	0.0000	0.0000	19186	1021	927	0	0	0	0	0	0	0	0	
3458																																																																																																																																																																																																	6194	0	0	2480	7374	33286	0	309	0	3330	33297	0	0	0	0	3575	0	0	0	0	0	0	309	309	0	7602	2776	1075	23121	0	0	0.098087	0.137347	0.125475	0.000000	0.000000	0.000000	3266	309	64	0	0	0	0	0	0	0	0	
3720																																																																																																																																																																																																	29645	0	0	3508	45614	205356	0	1475	0	28842	198159	0	0	0	0	29037	0	0	0	2905	0	0	1337	1337	31771	60934	28250	0	84184	471	122	0.139873	0.259317	0.247377	0	0	0	27700	1337	1020	0	0	0	0	0	0	0	0	
3953																																																																																																																																																																																																	6041	0	0	0	4	53095	0	2139	0	1603	53686	0	0	0	0	2119	0	0	201	0	0	0	516	516	6362	7962	2722	8234	38188	1639	0	0.029859	0.053484	0.040460	0	0	0	1603	516	0	0	0	0	0	0	0	0	0	
4156																																																																																																																																																																																																	4773	0	0	0	44590	203086	0	1908	0	20504	195193	0	0	0	0	19619	0	0	0	6354	0	0	1683	1683	8603	50145	45180	12359	98462	898	0	0.092736	0.145999	0.133474	0	0	0	17936	1683	785	0	0	0	0	0	0	0	0	
4231																																																																																																																																																																																																	13622	0	0	0	40220	128697	0	943	0	14767	117071	0	0	0	0	15593	0	0	0	0	0	0	943	943	0	46170	19998	4242	63296	0	0	0.1251	0.1879	0.1765	0.0000	0.0000	0.0000	14650	943	117	0	0	0	0	0	0	0	0	
4437																																																																																																																																																																																																	16194	0	0	380	92684	264812	0	3091	0	26922	260581	0	0	0	0	27422	0	0	0	3576	22	0	1997	1997	13121	84724	62386	12573	105214	0	0	0.0976	0.1726	0.1601	0	0	0	25425	1997	1475	0	0	0	0	0	0	0	0	
4839																																																																																																																																																																																																	6870	0	0	0	55605	322757	0	4687	0	31923	321959	39	0	0	0	34927	0	0	932	11704	0	0	3236	3236	14554	59526	27066	15725	226067	0	0	0.0984	0.1356	0.1231	0.0000	0.0000	0.0000	31691	3236	232	0	0	0	0	0	0	0	0	
5005																																																																																																																																																																																																	29047	0	0	0	71974	330830	173	1593	0	15615	331419	295	0	0	0	10564	0	0	0	0	0	0	1593	1766	29530	64835	111241	21164	121105	13081	1924	0.026964	0.055673	0.046366	0.000000	0.000000	0.000000	8798	1766	1686	0	0	0	0	0	0	0	0	
5069																																																																																																																																																																																																	39524	0	0	0	40404	441819	0	16750	0	124178	449169	1594	0	0	0	128176	0	0	246	0	0	0	5061	5061	38298	2366	25685	45378	391118	0	0	0.274095	0.326158	0.313280	0.000000	0.000000	0.000000	123115	5061	504	0	0	0	0	0	0	0	0	
5135																																																																																																																																																																																																	76662	0	0	0	27813	362765	0	3678	0	39625	363555	0	0	0	0	41537	0	0	0	12708	0	0	3081	3081	76430	27008	56227	14854	205531	0	0	0.1061	0.1689	0.1564	0.0000	0.0000	0.0000	38456	3081	127	0	0	0	0	0	0	0	0	
5210																																																																																																																																																																																																	22622	0	0	10032	208474	988859	17	15482	0	83274	998268	0	0	0	0	91307	0	0	6230	0	-5340	0	8587	8604	16588	166167	323991	64945	493997	337	0	0.0824	0.1332	0.1207	0.0000	0.0000	0.0000	82703	8604	5911	0	0	0	0	0	0	0	0	
