"IDRSSD"	RCFD3353	RCFD3355	RCFD3365	RCFD3368	RCFD3381	RCFD3401	RCFD3484	RCFDB558	RCFDB559	RCFDB560	RCFN3360	RCFN3404	RCON3353	RCON3355	RCON3360	RCON3365	RCON3368	RCON3381	RCON3386	RCON3387	RCON3401	RCON3465	RCON3466	RCON3484	RCON3485	RCONA514	RCONA529	RCONB558	RCONB559	RCONB560	RCONB561	RCONB562	RCONB563	
	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTLY AVG OF TOTAL LOANS	QTLY AVG OF INT-BRG DEPS IN FGN OFFC	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF TOTAL LOANS	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF LNS TO FINC AGRCL PROD	QTLY AVG OF C & I LOANS	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVG OF LNS SECD BY 1-4 FAM	QUARTERLY AVG OF ALL OTH LNS SECD BY	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTLY AVG OF INT-BRG TRANSACTION ACCT	QTR AVG TIME DEPOSITS >= $100,000	QTR AVG TIME DEPOSITS < $100,000	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTR AVG: CREDIT CARD LOANS	QTR AVG: OTHER LOANS TO INDIVIDUALS	QTR AVG: NONTRANS - SAVING DEPOSITS	
37													0		42000	0	83880	7539		2583		20420	8043	0	7049	14423	30819	8204	7275	15007	0	6647	8382	
242													0		21550	1057	35186	661	2444	1492		7552	6917	0	4484	2306	6747	4275	0	6001	0	2875	6530	
279													0	16619	73834	2026	141827	3633		2613	0	47475	18254	113	13772	26662	39106	7815	34171	13458	0	5106	19620	
354													2		4088	343	10298	99	620	387		1097	1189	0	0	1236	3057	5095	0	391	0	767	2446	
457													0		31413	1234	36684	1200	6933	5877		7778	8650	0	2716	3222	10340	0	2	173	0	1620	10696	
505													0	45500	242689	0	383903	49973	0	18671	0	131941	49287	0	9708	25843	41803	5344	35003	34214	0	24155	179804	
1155													11803	0	135340	0	210543	31892	8847	37029	0	25159	53146	0	62337	33062	54115	18143	120	5049	479	7609	10194	
1351													0	0	71906	3540	159743	0	4641	19562	0	12441	25331	0	10108	36093	42860	37844	0	39486	0	9932	25112	
1454													0	0	220106	0	587490	125557	1637	26863	0	90637	72117	0	101370	64705	52576	144172	10334	61496	0	26787	180253	
