"IDRSSD"	RCFD3353	RCFD3355	RCFD3365	RCFD3368	RCFD3381	RCFD3401	RCFD3484	RCFDB558	RCFDB559	RCFDB560	RCFN3360	RCFN3404	RCON3353	RCON3355	RCON3360	RCON3365	RCON3368	RCON3381	RCON3386	RCON3387	RCON3401	RCON3465	RCON3466	RCON3484	RCON3485	RCONA514	RCONA529	RCONB558	RCONB559	RCONB560	RCONB561	RCONB562	RCONB563	
	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTLY AVG OF TOTAL LOANS	QTLY AVG OF INT-BRG DEPS IN FGN OFFC	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF TOTAL LOANS	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF LNS TO FINC AGRCL PROD	QTLY AVG OF C & I LOANS	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVG OF LNS SECD BY 1-4 FAM	QUARTERLY AVG OF ALL OTH LNS SECD BY	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTLY AVG OF INT-BRG TRANSACTION ACCT	QTR AVG TIME DEPOSITS >= $100,000	QTR AVG TIME DEPOSITS < $100,000	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTR AVG: CREDIT CARD LOANS	QTR AVG: OTHER LOANS TO INDIVIDUALS	QTR AVG: NONTRANS - SAVING DEPOSITS	
37													0		36550	0	84513	8992		3056		18559	6984	0	7183	14817	29269	9215	8250	18189	0	6161	7534	
242													0		21455	1121	36752	2864	2490	1418		7505	7133	0	4950	1821	6457	2883	0	6232	0	2787	7230	
279													0	13287	76678	2794	145055	3877		3212	0	48904	19181	101	14903	29394	38919	1223	38829	14701	0	5049	21778	
354													70		3875	216	10305	100	613	417		1161	950	0	0	1049	2563	5090	0	823	0	716	2928	
457													11		33456	1006	38004	1324	7541	6065		7436	9188	0	2500	2626	9983	0	2	627	0	2701	12740	
505													0	45500	244234	0	392278	57573	0	16741	0	131522	57042	0	11342	19514	35813	0	29734	36750	0	23769	204428	
1155													11831	0	129399	0	221426	47599	6197	34940	0	26588	51545	0	80421	30908	51124	17804	107	6369	483	6993	8730	
1351													0	0	71691	2236	161502	0	4365	18567	0	13626	26028	0	11833	39162	41939	35219	0	42802	0	9104	24629	
1454													0	0	231068	0	642149	127752	4367	27057	0	96258	76420	0	108566	64059	50802	168073	7855	79316	0	26924	208224	
