"IDRSSD"	RCONH275	RCONH276	RCONH277	RCONH278	RCONH279	RCONH280	RCONH281	RCONH282	RCONH283	RCONH284	RCONH285	RCONH286	RCONH287	RCONH288	RCONH290	RCONH291	RCONH292	RCONH293	RCONH294	RCONH295	RCONH296	RCONH297	RCONH298	RCONH299	RCONH300	RCONH301	RCONH302	RCONH303	RCONH304	RCONH307	RCONH308	RCONH309	RCONH310	RCONHJ74	RCONHJ75	RCONHJ76	RCONHJ77	RCONHJ78	RCONHJ79	RCONHJ80	RCONHJ81	RCONHJ82	RCONHJ83	RCONHJ84	RCONHJ85	RCONHJ86	RCONHJ87	RCONHJ88	RCONHJ89	RCONHJ90	RCONHJ91	RCONHJ92	RCONHJ93	RCONHJ94	RCONHJ95	RCONHJ96	RCONHJ97	RCONHJ98	RCONHJ99	RCONHK00	RCONHK01	RCONJA21	RCONJJ30	RCONJJ31	RCONJJ32	RCONS396	RCONS397	RCONS398	RCONS399	RCONS400	RCONS402	RCONS403	RCONS405	RCONS406	RCONS410	RCONS411	RCONS413	RCONS414	RCONS415	RCONS416	RCONS417	RCONS419	RCONS420	RCONS421	RCONS423	RCONS424	RCONS425	RCONS426	RCONS427	RCONS428	RCONS429	RCONS431	RCONS432	RCONS433	RCONS434	RCONS435	RCONS436	RCONS437	RCONS439	RCONS440	RCONS441	RCONS442	RCONS443	RCONS445	RCONS446	RCONS447	RCONS449	RCONS450	RCONS451	RCONS452	RCONS453	RCONS454	RCONS455	RCONS457	RCONS458	RCONS459	RCONS460	RCONS461	RCONS462	RCONS463	RCONS466	RCONS467	RCONS469	RCONS470	RCONS471	RCONS475	RCONS476	RCONS477	RCONS478	RCONS479	RCONS480	RCONS481	RCONS482	RCONS483	RCONS484	RCONS485	RCONS486	RCONS487	RCONS488	RCONS489	RCONS490	RCONS491	RCONS492	RCONS493	RCONS494	RCONS495	RCONS496	RCONS497	RCONS498	RCONS499	RCONS500	RCONS503	RCONS504	RCONS505	RCONS506	RCONS507	RCONS510	RCONS511	RCONS512	RCONS513	RCONS514	RCONS515	RCONS516	RCONS517	RCONS518	RCONS519	RCONS520	RCONS521	RCONS522	RCONS523	RCONS524	RCONS525	RCONS526	RCONS527	RCONS528	RCONS529	RCONS530	RCONS531	RCONS539	RCONS540	RCONS541	RCONS542	RCONS543	RCONS544	RCONS545	RCONS546	RCONS547	RCONS548	RCONS549	RCONS550	RCONS551	RCONS552	RCONS554	RCONS555	RCONS556	RCONS557	RCONS558	RCONS559	RCONS560	RCONS561	RCONS562	RCONS563	RCONS564	RCONS565	RCONS566	RCONS567	RCONS568	RCONS569	RCONS570	RCONS571	RCONS572	RCONS573	RCONS574	RCONS575	RCONS576	RCONS577	RCONS578	RCONS579	RCONS580	RCONS581	RCONS582	RCONS583	RCONS584	RCONS585	RCONS586	RCONS587	RCONS588	RCONS589	RCONS590	RCONS591	RCONS592	RCONS593	RCONS594	RCONS595	RCONS596	RCONS597	RCONS598	RCONS599	RCONS600	RCONS601	
1669																																																																																																																																																																																																																																																	
1856																																																																																																																																																																																																																																																	
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22108				0	0	0	0	0	-145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56889	0	0	56371	518	0	0	0	249	0	0	0	0	249	0	73685	0	0	0	0	73685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3672	734	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																																																																																	
2750																																																																																																																																																																																																																											46542	0																					
3252																																																																																																																																																																																																																											129198	0																					
3458																																																																																																																																																																																																																											44232	0																					
3720																																																																																																																																																																																																																											174108	0																					
3971																																																																																																																																																																																																																											659386	0																					
4156																																																																																																																																																																																																																																																	
4231																																																																																																																																																																																																																																																	
5069																																																																																																																																																																																																																											371847	0																					
5135																																																																																																																																																																																																																																																	
5210																																																																																																																																																																																																																																																	
5461																																																																																																																																																																																																																																																	
5751																																																																																																																																																																																																																																																	
6039																																																																																																																																																																																																																																																	
6329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2746	2746	0	0	2746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43159				0	0	0	0	0	1125	0	0	0	0	0	2591	0	0	2591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145869	0	0	133723	12146	8373	0	8373	3256	0	0	0	0	0	3256	574109	0	8315	0	0	565794	0	0	0	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11398	11670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54315	10863	0	0	3489	7374	0	0	2704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11670	0	0	0	0	0	0	0	0	0	0	17505	0	0	0	0	0	0	0	748141	0	23507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																																																																																																																																																																																																																											380100	0																					
7045																																																																																																																																																																																																																																																	
7072																																																																																																																																																																																																																											225019	0																					
7456																																																																																																																																																																																																																											83782	0																					
7634																																																																																																																																																																																																																																																	
8033																																																																																																																																																																																																																																																	
8462																																																																																																																																																																																																																																																	
8631																																																																																																																																																																																																																																																	
9357																																																																																																																																																																																																																											516044	0																					
9553																																																																																																																																																																																																																																																	
9807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84076	157441	0	0	84076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384977				0	0	0	0	0	-177	0	1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1479416	0	0	350076	1129340	108698	0	108698	4427	0	0	0	2665	1761	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31676	108698	0	1282	0	0	0	0	0	0	0	25814	25814	25814	0	0	0	0	0	0	0	169919	33984	0	0	0	3823	30161	6041	0	0	200	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	144900	0	1282	0	0	0	0	0	0	0	0	217350	0	3846	0	0	0	0	0	1980056	0	0	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955																																																																																																																																																																																																																																																	
10250																																																																																																																																																																																																																											315930	0																					
10849																																																																																																																																																																																																																																																	
11145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2636	2636	0	0	2636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19917				0	0	0	0	0	-813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61877	0	0	59865	2012	0	0	0	893	0	0	0	0	0	893	154317	0	457	368	0	153489	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2815	893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7065	1413	0	0	0	1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	893	0	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	208215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11640																																																																																																																																																																																																																																																	
11837																																																																																																																																																																																																																											57158	0																					
12030																																																														29257																																					67423			65942	1481				235					10	225	234714		3908	20332	416	210058																																	225																				14443	2889				2889																							225											338								289068	0																					
12142																																																																																																																																																																																																																																																	
12311																																																																											0	0																																																																																																																																																																					
12647																																																																																																																																																																																																																											108671	0																					
12656																																																																																																																																																																																																																											9919	0																					
12946																																																																																																																																																																																																																											1385276	0																					
13103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332508				0	0	0	0	0	4735	0	130576	1804	0	0	2886	0	0	2886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745719	0	0	701391	44328	26365	0	26365	2917	0	0	0	0	0	2917	1051486	0	0	9161	0	1042325	0	0	0	22387	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9871	29282	0	130576	40	1804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50248	10050	0	0	1650	8400	0	0	0	0	3153	0	0	0	0	3153	0	0	0	0	0	0	0	0	0	0	0	0	29282	0	130576	40	1804	0	0	0	0	0	0	43923	0	391728	160	10824	0	0	0	2135461	0	0	0	31509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13251																																																																																																																																																																																																																											31516	0																					
13457																																																																																																																																																																																																																																																	
14155																																																																																																																																																																																																																											201950	0																					
14650																																																																																																																																																																																																																																																	
14753																																																																																																																																																																																																																											27530	0																					
14865																																																																																																																																																																																																																											485582	0																					
14977																																																																																																																																																																																																																																																	
16551																																																																																																																																																																																																																																																	
16748																																																																																																																																																																																																																																																	
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74494				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	0	0	794	0	0	0	0	0	0	0	0	0	0	0	64721	0	0	0	0	64721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3254	3254	0	0	0	0	0	0	0	0	2975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118867	35850	0	0	118867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1811999				0	0	0	0	0	83395	0	0	0	0	0	4773	0	0	4773	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	267	0	1373720	0	0	1369356	4364	179474	0	179474	11337	0	0	0	0	0	11337	7042318	0	0	0	0	7042318	0	0	0	567994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551935	190811	0	0	0	0	0	0	0	0	0	183317	183317	0	0	0	183317	0	0	0	0	1050349	210070	0	0	887	209183	0	0	980898	0	19408	0	0	9704	0	9704	0	0	0	0	0	0	0	0	0	0	0	0	190811	0	0	0	0	0	0	0	0	0	0	286217	0	0	0	0	0	0	0	10019543	0	68511	351157	1176845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17259																																																																																																																																																																																																																																																	
17950																																																																																																																																																																																																																											327189	0																					
17978																																																																																																																																																																																																																											112496	0																					
18050																																																																																																																																																																																																																											401480	0																					
18827																																																																																																																																																																																																																																																	
18836																																																																																																																																																																																																																																																	
