"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
37			996	0	2	0	997	3	0																				
242			186	0	3	0	188	5	0																				
279			1031	64	3	0	974	10	0																				
354			153	27	12	0	136	22	0																				
457			492	95	1	0	453	57	0																				
505			5961	360	41	0	5651	91	0																				
1155			3721	303	25	0	3413	20	0																				
1351			1084	160	47	0	1200	323	0																				
1454			3400	27	22	0	3384	33	0																				
1669			2904	127	26	0	2959	208	0																				
1856			576	0	1	0	575	0	0																				
2040			3047	175	42	0	2831	1	0																				
2161			1490	78	269	0	1465	322	0			0	0																
2376			28596	0	22	0	28639	65	0			0	0																
2732			5018	60	25	0	4933	0	0																				
2750			553	-70	7	0	867	251	0																				
3252			4781	550	244	0	4510	523	0																				
3458			356	30	1	0	366	41	0																				
3720			1725	48	4	0	1685	12	0				0																
3971			1729	1913	352	0	211	747	0																				
4156			1686	150	8	0	1850	322	0																				
4231			796	120	8	0	676	8	0																				
5069			8758	483	0	0	8275	0	0																				
5135			5115	475	46	0	4943	349	0																				
5210			14057	275	84	0	13964	266	0			0	0																
5461			6137	0	28	0	6141	32	0																				
5751			2069	0	1	0	2079	11	0																				
6039			3005	180	1	0	2949	125	0			0	0																
6329			12710	5500	887	0	11712	5389	0				0																
7009			0	0	0	0	0	0	0																				
7045			1350	120	14	0	1256	40	0			0	0																
7072			2092	270	50	0	1962	190	0																				
7456			842	25	1	0	816	0	0																				
7634			1147	60	24	0	1075	12	0																				
8033			1394	163	26	0	1417	212	0																				
8462			1102	10	7	0	1097	12	0																				
8631			426	0	3	0	428	5	0																				
9357			4397	454	104	0	4065	226	0																				
9553			1210	0	1	0	1209	0	0																				
9807			32881	0	755	0	32206	80	0				0																
9955			1809	0	0	0	1811	2	0																				
10250			3100	-410	173	0	3533	196	0																				
10849			1479	132	0	0	1347	0	0																				
11145			2499	191	39	0	2452	183	0				0																
11640			3541	37	94	0	3608	198	0																				
11837			833	0	3	0	833	3	0																				
12030			10309	0	4394	0	8140	2225	0																				
12142			1732	60	32	0	1686	46	0																				
12179			118	-3	0	0	121	0	0																				
12311			773186	121538	46460	0	771875	166687	0	0	4963		0																
12647			1072	0	2	0	1074	4	0			0	0																
12656			204	0	0	0	220	16	0																				
12946			19276	1820	468	0	18458	1470	0				0																
13103			16215	552	95	0	15677	109	0				0																
13251			508	30	17	0	462	1	0																				
13457			93	0	0	0	93	0	0																				
14155			3020	150	41	0	2855	26	0																				
14650			681	72	82	0	568	41	0																				
14753			512	10	0	0	502	0	0																				
14865			4092	870	268	0	3556	602	0																				
14977			621	45	0	0	576	0	0			0	0																
16551			3044	150	14	0	3008	128	0																				
16748			633	10	0	0	719	96	0																				
17110			279	0	0	0	279	0	0			0	0																
17147			81274	1700	2439	0	80552	3417	0			0	0																
17259			151	0	6	0	155	10	0																				
17950			4407	200	3	0	4249	45	0																				
17978			1445	2	0	0	1445	2	0																				
18050			5139	300	41	0	4912	114	0																				
18135			1173	0	10	0	1206	43	0																				
18827			8083	613	123	0	7404	57	0			0	0																
18836			1045	214	19	0	1297	485	0																				
18854			7835	0	18	0	7831	14	0				0																
19356			967	148	2	0	998	143	-38																				
19936			3556	90	20	0	3477	31	0																				
19972			400	0	0	0	400	0	0																				
20053			1280	60	3	0	1220	3	0																				
20633			3051	290	4	0	3036	279	0																				
20857			842	0	13	0	829	0	0																				
21256			72	0	2	0	78	8	0																				
21359			388	46	0	0	344	2	0																				
21658			1916	81	65	0	1833	63	0				0																
22048			1593	125	12	0	1475	19	0																				
22543			1092	51	6	0	1111	76	0																				
22552			1179	210	1	0	1413	445	0																				
22730			1168	245	84	0	899	60	0																				
23456			1722	180	2	0	1550	10	0																				
23504			31171	4100	123	3670	31418	800	0			0	0																
23643			999	60	44	0	1122	227	0																				
23755			1748	55	5	0	1711	23	0																				
24006			5663	744	10	0	4943	34	0				83																
24378			192	0	5	0	187	0	0																				
24453			3493	1165	160	0	3193	1025	0																				
24659			427	0	1	0	426	0	0																				
24668			13496	2620	15	0	13026	2165	0				0																
24949			4782	0	175	0	4628	21	0																				
25357			3572	680	26	0	3084	218	0																				
25647			1642	0	3	0	1639	0	0				0																
26176			2771	-348	190	0	2929	0	0																				
26457			213	2	1	0	210	0	0																				
26765			13374	3477	475	0	9619	197	0				0																
27070			1000	28	8	0	1000	36	0																				
27548			7749	450	73	0	7339	113	0				0																
27614			1322	0	7	0	1342	27	0																				
27847			4599	336	113	0	4849	699	0																				
28013			27832	550	109	0	27497	324	0				1011																
28152			1373	0	0	0	1373	0	0				0																
28675			629	0	0	0	629	0	0				0																
28732			963	30	1	0	940	8	0																				
29476			949	116	2	0	856	25	0																				
29636			3821	460	58	0	3372	69	0				0																
29878			12947	-427	2	0	13376	4	0				0																
30052			316	5	0	0	311	0	0																				
30502			7312	210	92	0	7134	124	0			0	0																
30650			1376	0	3	0	1373	0	0																				
30810			3200433	1595349	352249	0	3038993	1784745	-1413	0	228671		24035																
31134			1164	135	12	0	1050	33	0				0																
31255			6198	900	7	0	5700	409	0			0	0																
31657			938	5	38	0	918	23	0																				
31826			2841	50	71	0	3023	303	0				0																
31835			2185	180	309	0	1808	112	0																				
32234			45	16	2	0	31	4	0																				
32766			213	18	0	0	196	1	0																				
32971			1742	105	44	0	1807	214	0																				
33147			3606	50	8	0	3811	263	0																				
33259			7295	300	21	0	6976	2	0																				
33268			1184	0	14	0	1183	13	0				0																
33370			116	0	0	0	116	0	0																				
33839			103	0	0	0	103	0	0																				
33857			7558	1171	18	0	7704	1335	0				0																
34425			7479	376	178	0	7902	977	0			0	0																
34434			2155	75	22	0	2111	53	0																				
34537			33505	3948	1319	0	32423	4185	0				0																
34555			2682	60	27	0	2634	39	0			0	0																
34742			3633	91	35	0	3566	59	0																				
35057			1471	0	10	0	1466	5	0			0	0																
35301			72000	5000	0	0	67000	0	0			0	0																
35570			231937	0	3745	0	235817	7625	0			0	0																
35646			234	34	0	0	209	9	0																				
35879			895	0	2	0	918	25	0																				
36456			1580	180	100	0	1409	109	0																				
36933			1305	120	3	0	1196	14	0																				
37051			198	45	1	0	729	1	-576																				
37341			639	45	7	0	590	3	0																				
37435			11766	-287	503	0	11766	216	0				0																
37640			16239	925	289	0	15823	798	0			0	362																
37659			448	0	4	0	451	7	0			0	0																
37949			2195	120	22	0	2053	0	0																				
38740			1884	60	8	0	1829	13	0																				
39327			709	150	12	0	619	72	0																				
39756			6107	420	26	0	6220	559	0				0																
40033			402	0	0	0	444	42	0																				
40499			22261	2607	369	0	20655	1370	0				0																
40855			1053	48	1	0	1004	0	0																				
41245			492	0	24	0	472	4	0																				
41553			751	0	25	0	729	3	0																				
41629			2275	137	127	0	2148	137	0																				
41825			3824	342	6	0	3593	117	0				0																
41937			277	40	0	0	237	0	0																				
41955			277	0	0	0	277	0	0																				
42037			443	5	0	0	439	1	0																				
42354			1238	36	1	0	1207	6	0																				
42372			1992	-47	77	0	2031	69	0																				
42420			51061	6930	824	0	47764	4457	0				0																
42448			20196	3255	669	0	17120	848	0			0	262																
42457			616	47	0	0	577	8	0																				
43052			904	60	14	0	840	10	0																				
43351			260	229	142	0	3162	141	-3132																				
43856			243	0	0	0	243	0	0																				
43959			710	30	1	0	750	71	0																				
44040			4766	150	27	0	4607	18	0																				
44433			5200	295	4	0	4918	17	0				0																
44741			5079	90	205	0	4932	148	0																				
44750			1327	65	28	0	1241	7	0																				
44929			1054	0	4	0	1062	12	0				0																
45038			1884	15	0	0	1869	0	0			0	0																
45047			2101	149	64	0	2006	118	0																				
45056			472	25	0	0	449	2	0																				
45430			476	4	10	0	519	57	0																				
45458			1415	206	2	0	1212	5	0																				
45551			9312	390	85	0	9083	246	0																				
45560			12551	975	64	0	11719	207	0				0																
45775			807	0	0	0	807	0	0																				
46053			2377	65	82	0	2319	89	0																				
46941			1532	50	11	0	1502	31	0																				
47247			3725	2	46	0	3717	40	0				0																
47256			383	11	0	0	372	0	0																				
47452			1208	0	3	0	1205	0	0																				
47500			3924	263	23	0	3705	67	0																				
48057			739	80	9	0	686	36	0																				
48150			152	6	0	0	168	22	0																				
48374			10631	975	64	0	10486	894	0			0	0																
48440			1012	0	22	0	995	5	0																				
49054			2841	875	218	0	2842	1094	0																				
49148			646	30	2	0	617	3	0																				
49241			6377	240	82	0	6897	607	-235																				
49652			2419	30	40	0	2349	0	0																				
49858			843	59	0	0	911	127	0																				
49951			853	100	1	0	1003	251	0																				
50144			509	30	26	0	472	19	0																				
50461			4188	0	0	0	4188	0	0				0																
50872			1105	-3	3	0	1105	0	0																				
51253			6174	0	154	0	6371	351	0			0	0																
51356			246	60	1	0	204	19	0				0																
51459			1940	27	10	0	1908	5	0																				
51842			15563	600	101	0	14934	72	0				0																
52719			0	0	0	0	0	0	0			0	0																
52951			3546	417	116	0	3160	147	0																				
53051			369	0	2	0	375	8	0																				
53752			124	30	0	0	108	14	0																				
54058			7514	750	36	0	7182	454	0				0																
54656			2657	48	20	0	2637	48	0			0	0																
54973			58425	14558	3563	0	52119	11815	0				0																
55336			2717	150	66	0	2588	87	0																				
55635			1342	34	26	0	1445	163	0																				
55653			674	0	8	0	693	27	0																				
55970			5615	219	35	0	5453	92	0																				
56258			2407	120	1	0	2322	36	0																				
56351			15639	2100	339	0	13888	688	0				0																
56548			5451	0	21	0	5431	1	0																				
56717			8411	350	407	0	8125	471	0																				
57040			1504	405	23	0	1225	149	0			0	0																
57451			4852	0	6	0	4848	2	0																				
58225			2488	30	76	0	2546	164	0																				
58243			65060	0	1878	0	64293	1111	0				0																
58355			311	18	0	0	293	0	0																				
58551			2014	150	23	0	2034	193	0																				
58636			3283	150	85	0	3308	260	0																				
58757			1064	50	10	0	1058	54	0																				
58971			94349	1200	4205	0	90749	1805	0				0																
59316			8228	750	85	0	8452	1059	0				0																
59352			4074	90	1	0	4008	25	0				0																
59370			2405	50	47	0	2370	62	0																				
59754			108	12	1	0	102	7	0																				
60143			657000	30000	20000	0	671000	64000	0				0																
60330			10808	440	939	0	9815	386	0			0	0																
60545			2218	0	6	0	2216	4	0																				
60554			963	30	6	0	927	0	0																				
60648			4059	75	9	0	4006	31	0																				
61122			11976	682	503	0	11047	256	0				0																
61355			10967	3022	179	0	10713	2947	0																				
61476			144	140	0	0	1319	0	-1315																				
61757			4010	120	6	0	3886	2	0				0																
61832			2631	0	1	0	2679	49	0																				
61953			474	40	0	0	435	1	0																				
62044			180	0	0	0	180	0	0																				
62110			0	0	0	0	0	0	0																				
62147			756	1	24	0	733	2	0																				
62772			5354	425	30	0	5332	433	0																				
63050			2346	50	18	0	2292	14	0																				
63069			406289	37444	7152	0	382042	19700	-649			0	4479																
63201			385	0	0	0	392	7	0																				
63573			6015	60	40	0	5915	0	0																				
63733			8058	540	330	0	7855	667	0				0																
63742			4131	169	13	0	3944	84	89																				
63751			107	0	1	0	107	1	0				0																
64150			1669	0	2	0	1727	60	0																				
64552			1564	157	0	0	1428	21	0				0																
64730			2069	0	1	0	2068	0	0																				
65205			4663	225	0	0	4511	73	0																				
65513			47	0	0	0	47	0	0				0																
65559			3533	182	36	0	3364	49	0				0																
65746			7025	240	32	0	6849	96	0			0	0																
65858			15624	1500	192	0	14655	723	0				0																
66154			732	135	13	0	625	41	0																				
66275			2961	120	70	0	2771	0	0																				
66677			1404	0	0	0	1404	0	0				0																
67142			316	2	2	0	337	25	0																				
67151			11990	588	26	0	11382	6	0																				
67209			7506	709	39	0	6788	30	0																				
67254			11	0	3	0	9	1	0																				
67656			40256	14532	1413	0	39813	15502	0				0																
67870			3142	-100	64	0	3185	7	0																				
68448			737	137	6	0	603	9	0																				
68671			476	0	1	0	499	24	0																				
68756			4722	331	45	0	4421	75	0			0	0																
68831			1066	72	9	0	1065	80	0																				
69333			12707	770	93	0	12148	304	0			0	0																
69678			6272	8	62	0	6260	58	0																				
70058			187	22	20	0	235	90	0																				
70218			1027	0	0	0	1027	0	0			0	0																
70414			3266	127	1	0	3163	25	0																				
70638			3071	699	273	0	3053	954	0																				
70955			148	0	0	0	148	0	0																				
71073			398	0	0	0	398	0	0																				
71318			6672	300	39	0	6675	342	0				0																
71457			4696	160	124	0	4874	462	0																				
71859			49	0	0	0	49	0	0																				
