"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													88	0	23	0	0	0	0	0	40	25	0	0	0				
242													29	0	0	0	0	0	0	0	29	0	0	0	0				
279													1136	0	763	0	50	39	43	246	158	215	0	187	0	I PAY Bill Pay	Elan Incentive Plan	ATM Settlement Account	
354													99	0	0	0	0	0	0	0	10	89	0	0	0				
457													171	0	0	0	0	0	0	0	38	133	0	0	0				
505													6356	0	3156	616	0	1550	1016	0	149	2342	93	0	0	Deferred  Ser Fee	Lease Liability		
1155													2469	0	1473	0	0	0	0	0	234	762	0	1428	0				
1351													571	0	56	0	0	0	0	0	451	64	0	0	0				
1454													3661	0	2695	0	0	689	0	0	74	892	0	1527	0	DEBIT CARD SETTLEMENT			
1669													267	0	49	0	0	0	0	0	218	0	0	49	0				
1856													132	0	54	0	0	0	0	0	62	16	0	0	0				
2161													2604	0	1500	0	0	0	0	0	57	1047	0	1500	0				
2732													1434	0	188	0	0	0	0	0	842	404	0	0	0	Accrued Vacation			
2750													467	111	261	0	0	0	0	0	71	125	10	150	0	PYMT DUE TO LOAN PARTICIPATION BANK			
3252													407	0	1	0	0	0	0	0	180	226	0	0	0				
3458													225	0	30	73	0	0	0	0	60	62	0	0	0				
3720													2511	0	2	0	0	0	0	0	85	2424	0	0	0				
3971													8471	0	4536	0	0	1775	0	0	679	3216	40	2101	0	Unearned revenues			
4156													607	0	357	13	0	131	0	0	206	31	0	0	0	Executive Deferred Incentive			
4231													566	0	0	0	0	0	0	0	184	382	0	0	0				
5069													5227	0	1907	0	1239	0	0	0	956	1607	757	0	0				
5135													2539	0	1083	0	0	102	0	0	454	1002	0	978	0	Fhlb accrued interest			
5210													13507	0	8542	0	0	2704	0	0	2602	2282	81	3196	0	Deferred Director Fees			
5461													5970	0	5000	0	0	0	0	0	4	784	182	4493	0				
5751													1539	0	1419	0	0	673	0	0	60	60	0	730	0	Post Retirement Benefits Payable			
6039													2000	0	148	0	0	0	0	0	537	1315	0	0	0				
6329													4037		3058	0	412				530	449	0	2614					
7009													7230	0	56	93	56	0	0	0	494	6587	0	0	0				
7045													975	0	0	202	0	0	0	0	99	674	0	0	0				
7072													4173	0	3108	0	0	0	0	0	25	1040	0	2773	0				
7456													183	0	60	0	0	0	0	0	58	65	0	0	0				
7634													221	0	18	0	0	0	0	0	89	114	0	0	0				
8033													4029	0	2773	0	21	5	22	0	1172	84	0	2725	0	Deferred Management	All Other Liabilities		
8462													173	0	0	0	0	0	0	0	165	0	8	0	0				
8631													750	0	676	0	0	0	0	0	28	46	0	676	0				
9357													8154	0	6978	0	0	2143	2162	0	125	1051	0	0	0	Deferred Compensation	Suspense		
9553													1302	0	0	0	0	0	0	0	209	1093	0	0	0				
9807													14196		688	0					1800	10958	750		525				
9955													327	0	0	61	0	0	0	0	50	216	0	0	0				
10250													1075	0	347	0	0	0	0	0	207	521	0	336	0				
10849													568	0	45	0	8	0	0	0	114	409	0	0	0				
