"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													112		14	0					36	62	0						
242													18		0	0					18	0	0						
279													1081		766	0					95	220	0						
354													2		0	0					2	0	0						
457													60		0	0					11	49	0						
505													4392		1642	523					34	2100	93						
1155													2038		1536	0					148	354	0						
1351													381		63	0					198	120	0						
1454													2646		2334	0		702			44	268	0	1298		DEBIT CARD SETTLEMENT			
1669													311	0	71	0	0				60	180	0	71					
1856													195		115	0					61	19	0						
2040													798		405	0					118	275	0						
2161													1676	0	1270	0	0	0	0	0	34	372	0	1270	0				
2376													70996	0	32578	0	0	0	0	0	988	37430	0	22783	0				
2554													22		1	0					21	0	0						
2732													2019	300	748	0		360			322	949	0			accrued vacation & salaries			
2750													319		157	0					22	130	10						
3252													229		5	0					129	95	0						
3458													210		62	20					51	77	0						
3720													2527		0	0					27	2500	0						
3971													8297		3810	0					375	4097	15						
4156													657		467	0					121	69	0						
4231													205		0	0					89	116	0						
4839													1427		81	0					189	1157	0						
5069													7428		2091	0					695	4185	457						
5135													4069		3300	0					189	580	0						
5210													9735	0	7349	0	0	0	0	2234	1197	1108	81	2830	0			Deferred Directors Fees	
5461													4834		3990	0					7	655	182						
5751													1596		1374	0					59	163	0						
6039													1363	0	0	0	0	0	0	0	168	1195	0	0	0				
6329													4407		2414	0	239				300	1693	0	2138					
7009													7003		27	149					429	6398	0						
7045													618	0	0	0	0	0	0	0	51	567	0	0	0				
7072													3722		2766	0					17	939	0						
7456													111		21	0					28	62	0						
7634													79		0	0					40	39	0						
8033													3198		2370	0	1	110	21		373	455	0	2237		Deferred Management	All Other Liabilities		
8462													188		0	0					146	35	7						
8631													686		594	0					14	78	0						
9357													2216	0	1869	0	0	0	0	0	7	340	0	1710	0				
9553													1049		18	0					49	982	0						
9807													4635		334	0		145			1683	1868	750		82	REVERSE MORTGAGE MIP			
9955													123		0	0					27	96	0						
10250													1476		282	0					105	1089	0						
10849													577		18	0					109	450	0						
11145													2029	0	345	0	0	345	0	0	49	1635	0	0	0	Great Lakes Capital Fund			
11640													2502		1156	0					390	956	0						
11837													123		22	0					11	90	0						
12030													2586		2233	0					106	247	0						
12142													3450		3276	0					74	100	0						
12179													528		487	0					1	40	0						
12311													1309877		849106	95727	361452				10902	269677	84465						
12647													202	0	29	0	0	0	0	0	43	130	0	0	0				
12656													34		0	0					10	24	0						
