"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																			0	79	0	775	36	68	0	0	0	0	0	628	0	0	0	0	0	0				
242																			0	275	0	526	0	5	0	0	0	0	0	246	0	0	0	0	0	0				
279																			0	1669	233	6991	77	92	0	0	0	0	0	678	0	0	0	4319	0	0				
354																			0	5	60	127	0	0	0	0	0	0	0	62	0	0	0	0	0	0				
457																			0	227	0	1321	0	35	0	0	0	0	0	448	0	0	0	611	0	0				
505																			0	2714	0	12119	0	3690	2297	0	0	0	0	1180	0	0	0	4535	0	0	Prepaid pension			
1155																			1	232	0	5532	130	203	0	0	0	0	0	1009	0	0	0	4088	0	0				
1351																			41	0	0	1304	113	204	50	0	0	0	0	1100	0	0	0	0	0	0	computer software			
1454																			0	1087	0	11123	969	1054	0	0	0	0	0	3445	0	0	0	5537	0	0				
1557																			0	254	0	1262	12	13	0	0	0	0	0	995	0	0	0	0	0	0				
1669																			13	166	566	11767	204	250	0	0	0	0	0	940	0	0	0	9035	810	0				
1829																			0	3657	60	13791	0	2652	1554	0	0	0	0	1099	0	0	0	6323	0	0	Receivable for mortgage loans sold			
1856																			0	1440	0	1915	112	156	0	0	0	0	0	319	0	0	0	0	0	0				
2040																			0	1546	1215	8269	513	694	0	0	0	0	0	716	0	0	0	3798	0	300				
2161																			0	323	0	4267	122	145	0	0	0	0	0	793	0	0	23	3006	0	0				
2376																			0	37302	43155	188908	447	7822	5214	0	0	0	0	9324	0	0	0	73307	0	17998	DEFERRRED EXPENSE - FHLB PENALTY			
2554																			0	34	0	218	30	71	0	0	0	0	0	113	0	0	0	0	0	0				
2732																			0	174	1263	3520	58	136	0	0	0	0	0	1947	0	0	0	0	0	0				
2750																			0	358	0	2428	165	165	0	0	0	0	0	801	0	0	0	1104	0	0				
3177																			0	6089	3442	37266	662	945	0	0	0	0	0	2493	0	0	0	12866	0	11431				
3252																			0	765	0	4402	248	664	405	0	0	0	0	2973	0	0	0	0	0	0	NP DDA Debits			
3458																			0	192	0	720	54	143	73	0	0	0	0	385	0	0	0	0	0	0	COMPUTER SOFTWARE			
3720																			0	225	672	8042	35	35	0	0	0	0	0	910	0	0	0	3638	0	2562				
3971																			0	1799	2818	23812	1512	3444	0	0	0	0	0	3114	0	0	0	12637	0	0				
4156																			0	697	0	6021	0	155	0	0	0	0	0	1266	0	0	0	2946	0	957				
4231																			0	0	255	1049	144	204	0	0	0	0	0	590	0	0	0	0	0	0				
4437																			0	342	1178	8726	190	236	0	0	0	0	0	718	0	0	0	6252	0	0				
4839																			0	1134	0	2890	0	390	56	0	0	0	0	1366	0	0	0	0	0	0	Prepaid Deposit - FiServ			
5069																			0	0	549	4294	796	2167	1364	0	0	0	0	1578	0	0	0	0	0	0	Accounts Receivable			
5135																			5	1369	1236	14192	501	595	88	0	0	0	0	5806	0	0	0	5186	0	0	Credit Card Clearing			
