"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														280	0	122	121	0	0	0	0	37	0	0	0	0	0				
242														28	0	0	0	0	0	0	0	28	0	0	0	0	0				
279														1476	0	812	0	50	296	0	0	130	534	0	329	0	0	ATM Settlement			
354														95	0	5	0	0	5	0	0	10	80	0	0	0	0	DEFERRED INCOME			
457														193	0	0	0	0	0	0	0	34	159	0	0	0	0				
505														7498	0	4300	814	0	1642	1699	0	135	2156	93	0	0	0	Deferred Service Fees	Interest Rate Swap Liability		
1155														2108	0	1457	0	0	0	0	0	237	414	0	1415	0	0				
1351														687	0	62	0	0	0	0	0	393	232	0	0	0	0				
1454														3467	0	3215	0	0	0	0	0	57	195	0	1683	0	0				
1669														250	0	53	0	0	0	0	0	179	18	0	53	0	0				
1856														122	0	50	0	0	0	0	0	39	33	0	0	0	0				
2161														3794	0	1951	0	0	0	0	0	46	1797	0	1951	0	0				
2732														2505	300	496	0	0	0	0	0	662	1347	0	0	0	0				
2750														476	145	319	0	0	0	0	0	48	99	10	174	0	0	PYMT DUE TO LOAN PARTICIPATION BANK			
3252														302	0	0	0	0	0	0	0	143	159	0	0	0	0				
3458														254	0	21	83	0	0	0	0	53	97	0	0	0	0				
