"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	74	339	1091	0	66	0	0	0	612	0	0	0	0	0	0	0	0	0				
242																				0	165	0	430	0	7	0	0	0	258	0	0	0	0	0	0	0	0	0				
279																				0	2067	535	7984	78	79	1	0	0	672	0	0	0	0	0	0	4631	0	0	Bankruptcy Receivable			
354																				0	0	75	159	19	19	0	0	0	65	0	0	0	0	0	0	0	0	0				
457																					382	0	1519		58				420					0		659	0	0				
505																				0	3992	0	14274	0	3883	2493	0	0	1496	0	0	0	0	0	0	4903	0	0	Prepaid Retirement			
1155																				18	281	0	7136	222	298				1084					0		5473	0	0				
1351																				0	183	0	1814	0	130	0	0	0	1501	0	0	0	0	0	0	0	0	0				
1454																					1121	0	13086	1540	2602	757			3167					0		6196	0	0	PROCESSING DEPOSIT			
1669																				3	183	900	13929	267	289				1455					0		10248	854	0				
1856																					1442	0	2820	726	1032				346					0		0	0	0				
2040																				0	1086	1159	7940	376	415	0	0	0	728	0	0	0	0	0	0	4235	0	317				
2161																				0	352	0	5225	145	145	0	0	0	1035	0	0	0	0	0	0	3693	0	0				
2376																				0	30365	26170	196929	623	30695	0	0	0	11261	16789	0	0	0	0	0	79307	0	19131				
2554																					43	0	290	54	54				193					0		0	0	0				
2732																					174	1067	3961		1003	788			1717					0		0	0	0	Current FIT			
2750																					203	0	2681	191	191				726					0		1561	0	0				
3252																				419	770	0	4198	373	971	167	0	0	2457	0	0	0	0	0	0	0	0	0	NP DDA Debits			
3458																					244	0	892		136				512					0		0	0	0				
3720																					268	1123	9244	156	164				942					0		1865	0	4882				
3971																					5298	1347	28600		5647	3197			2663					0		13645	0	0	Due from Parent and Affiliates - net			
4156																					386	39	7755		265				1187					0		4863	0	1015				
4231																				0	0	506	1115	0	160	0	0	0	449	0	0	0	0	0	0	0	0	0				
5069																					0	709	6609	2212	3740				2160			1478		0		0	0	0				
5135																				9	1870	1492	15392	499	624	0	0	0	5729	0	0	0	0	0	0	5677	0	0				
5210																				0	4563	3675	77530	0	18951	5000	11300	0	4368	0	0	0	0	0	0	39895	0	6078	Security sold not yet settled	Prepaid Pension		
5461																					3006	0	16213		2377	917			2432			603		0		8398	0	0	QZAB			
5751																					352	50	6792		149				1749					0		2709	340	1443	Income Taxes Payable			
6039																				0	290	132	2913	433	792	0	0	0	1699	0	0	0	0	0	0	0	0	0				
6329																				487	634	2689	21742	3490	6682				3027		382			0		5780	0	2930				
7009																				0	0	211	10041	3714	7848	0	0	0	1982	0	0	3502	0	0	0	0	0	0				
7045																				18	759	1117	3468	211	411	0	0	0	1181	0	0	0	0	0	0	0	0	0				
7072																					2742	2687	13698	245	3735	2524			957					0		3577	0	0	Deferred Compensation			
7456																				0	407	0	3263	0	189	101	0	0	1088	0	0	0	0	0	0	1579	0	0	Prepaid Health Insurance			
7634																					98	0	767	129	240				429					0		0	0	0				
8033																					1721	456	4996	103	178	35			1240		40			0		1401	0	0	All Other Assets			
8462																				0	21	0	937	0	27	0	0	0	889	0	0	0	0	0	0	0	0	0				
8631																					337	198	3124	62	62				180					0		2347	0	0				
9357																					3208	0	4660	129	166				1286					0		0	0	0				
9553																				0	2006	0	6809	214	449	235	0	0	1756	0	0	0	0	0	0	1690	0	908	NEBRASKA FUND XV INVESTMENT			
9807																					5688	0	131486		852				6747	629				0		34333	83866	0				
9955																					1037	51	2249	71	79				1082					0		0	0	0				
10250																					1020	1418	4869	557	726				1389		163			0		316	0	0				
10849																				0	552	1411	4579	381	480	0	0	0	921	0	0	0	0	0	0	1215	0	0				
11145																				10	864	464	8884	769	1870	0	1091	0	707	0	0	0	0	0	0	2434	0	2545	Brownfield	Great Lakes Capital Fund		
11640																				0	4689	1473	21784	559	1965	0	0	0	3310	0	0	0	0	0	0	10347	0	0				
11837																					197	951	1538		63				327					0		0	0	0				
12030																				0	6403	2193	13318	184	1954	970	0	0	2156	0	0	0	0	0	0	612	0	0	Reclassified NSFs			
12142																					676	1191	8883	200	535				1310					0		5171	0	0				
12179																					729	0	2963	107	107				97					0		1358	0	672				
12311																					576494	35314	4663111		1297617	540588			327789					0		562691	839050	1024156	Income Tax Receivable			
12647																				0	142	0	1165	286	335	0	0	0	688	0	0	0	0	0	0	0	0	0				
12656																				0	29	0	140	37	37	0	0	0	74	0	0	0	0	0	0	0	0	0				
12937																					231	0	958	219	223				504					0		0	0	0				
12946																					6007	5959	33985	1136	1646				6371					0		2692	11310	0				
13103																					7093	4382	34945	2165	7632	1900			4735					0		11103	0	0	Investment in Bristol Wealth Group			
13251																					415	0	1137	50	50				239					0		433	0	0				
13457																					0	50	1550		0				265					0		1235	0	0				
14052																				0	63	94	2026	0	48	0	0	0	178	0	0	0	0	0	0	1260	383	0				
14155																				0	720	0	7653	481	485	0	0	0	1895	0	0	0	0	0	0	4553	0	0				
14650																				15	46	210	1999	107	122				137					0		1484	0	0				
14753																					9	0	710		45				656					0		0	0	0				
14865																					688	911	11498	500	939				4009					0		3242	0	1709				
14977																				15	122	137	1840	30	55	0	0	0	510	0	0	0	0	0	0	1016	0	0				
16551																					1314	0	8029	219	568				1562		294			0		4585	0	0				
16748																				0	209	189	2762	0	103	0	0	0	432	0	0	0	0	0	0	1829	0	0				
17110																				0	219	0	2744	0	2346	1185	0	0	179	0	0	0	0	0	0	0	0	0	INVESTMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																				0	24592	24383	351524	14132	41947	0	0	0	38511	13308	0	0	0	0	0	105548	97697	18846				
17259																					513	0	2857	125	138				325					0		1881	0	0		0		
17950																				0	1281	1752	7307	159	184	0	0	0	3310	0	5	0	0	0	0	0	0	780				
17978																					3355	1304	6009	75	220	55	88	1	1130			1		0		0	0	0	Accrued Late Charges Receivable	Prepaid Federal Income Tax	Other Items Receivable	
