"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	68	0	716	0	139	0	0	0	509	0	0	0	0	0	0	0	0	0				
242																				0	195	0	451	0	11	0	0	0	245	0	0	0	0	0	0	0	0	0				
279																				0	2015	143	8946	102	102	0	0	0	840	0	0	0	0	0	0	5846	0	0				
354																				0	0	25	187	25	81	0	0	0	81	0	0	56	0	0	0	0	0	0				
457																				0	482	0	1681	0	112	0	0	0	393	0	0	0	0	0	0	694	0	0				
505																				0	4555	0	14961	840	3290	951	0	0	1947	0	0	0	0	0	0	5169	0	0	Lease Right of Use Asset			
1155																				0	358	0	7883	282	346	0	0	0	1394	0	0	0	0	0	0	5785	0	0				
1351																				233	207	0	2259	146	410	0	0	0	1642	0	0	0	0	0	0	0	0	0				
1454																				0	1211	0	14781	1369	2948	757	0	0	2919	0	0	0	0	0	0	7703	0	0	PROCESSING DEPOSIT			
1669																				15	188	264	14033	156	182	0	0	0	1395	0	0	0	0	0	0	11122	0	882				
1856																				0	1637	0	2771	376	856	370	0	0	278	0	0	0	0	0	0	0	0	0	Acct Recv Pridex			
2161																				0	583	560	6688	241	241	0	0	0	1404	0	0	0	0	0	0	3900	0	0				
2732																				0	174	821	4088	0	1623	1005	0	0	1470	0	0	0	0	0	0	0	0	0	SBA PPP Loan Fee Receivable			
2750																				0	202	0	2790	179	179	0	0	0	756	0	0	0	0	0	0	1653	0	0				
3252																				463	679	0	4607	382	924	0	0	0	3004	0	0	0	0	0	0	0	0	0				
3458																				0	430	0	1796	0	163	0	0	0	689	0	0	0	0	0	0	514	0	0				
3720																				0	276	225	10940	233	248	0	0	0	1058	0	0	0	0	0	0	6366	0	2767				
3971																				0	6309	544	28222	0	4286	0	0	0	2672	0	0	3001	0	0	0	14411	0	0				
4156																				0	578	0	8609	0	285	0	0	0	1550	0	0	0	0	0	0	5140	0	1056				
4231																				0	0	5	676	116	212	0	0	0	459	0	32	0	0	0	0	0	0	0				
5069																				0	0	625	6671	1976	5045	0	0	0	1001	0	0	3059	0	0	0	0	0	0				
5135																				0	1798	1115	16213	672	912	0	0	0	5818	0	0	0	0	0	0	6570	0	0				
5210																				0	3582	4496	92398	0	14226	10216	0	0	7409	0	0	0	0	0	0	56395	0	6290	Prepaid Pension			
5461																				0	3006	0	16589	708	1888	561	0	0	2806	0	0	0	0	0	0	8889	0	0	QZAB			
5751																				0	259	6	6303	0	138	0	0	0	1229	0	0	0	0	0	0	2838	351	1482				
6039																				443	309	401	3947	387	1437	564	0	0	1800	0	0	0	0	0	0	0	0	0	ANNUITY ASSET			
6329																				244	1001	3351	23344	769	2409				5343		250			0		8483	0	2757				
7009																				0	0	86	9373	3122	7416	0	0	0	1871	0	0	4074	0	0	0	0	0	0				
7045																				0	759	0	2577	3	658	0	0	0	1160	0	0	0	0	0	0	0	0	0				
