"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDFT33	RCFDFT34	RCFDFT35	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONFT33	RCONFT34	RCONFT35	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																							77	272	1243		275				0	0	619							0	0	0				
242																							171	0	425		15				0	0	239							0	0	0				
279																						28	2011	491	7726	126	164	9	0	0	0	0	562	0	0	0	0	0	0	4498	0	0	Bankruptcy Receivable			
354																							5	66	163		43				0	0	49							0	0	0				
457																							335	0	1343		43				0	0	328							637	0	0				
505																							2044	0	12224		4081				0	0	1362							4737	0	0				
1155																							230	0	7141		443				0	0	1192							5276	0	0				
1351																							183	0	1586		172				0	0	1231							0	0	0				
1454																							1258	0	11000		246				0	0	3507							5989	0	0				
1557																							281	0	1269		32				0	0	956							0	0	0				
1669																							176	900	12888		235				0	0	999							9743	835	0				
1829																						0	4732	883	14536	667	1322	0	0	0	0	0	1113	0	0	0	0	0	0	6486	0	0				
1856																							1898	0	3074		930				0	0	246							0	0	0				
2040																							1174	1252	8078		541				0	0	750							4052	0	309				
2161																						0	363	0	5065	270	275	0	0	0	0	0	863	0	0	0	0	0	5	3564	0	0				
2376																						0	38464	40659	193611	606	8332	909	0	0	0	0	10849	5793	0	0	0	0	0	76677	0	18630	DEFERRED FHLB PREPYAMENT PENALTY			
2554																							19	0	128		30				0	0	79							0	0	0				
2732																						0	174	1159	3685	182	263	0	0	0	0	0	2089	0	0	0	0	0	0	0	0	0				
2750																						0	203	0	1262	220	220	0	0	0	0	0	839	0	0	0	0	0	0	0	0	0				
3252																							743	0	3525		816				0	0	1966							0	0	0				
3458																							201	0	755		164				0	0	390							0	0	0				
3720																						0	261	1290	8985	130	130	0	0	0	0	0	791	0	0	0	0	0	0	1819	0	4694				
3971																							3308	1445	25997		5382				0	0	2666							13196	0	0				
4156																							269	9	7507		326				0	0	1228							4685	0	990				
4231																							0	589	1309		178				0	0	542							0	0	0				
4839																							1191	0	2987		464				0	0	1332							0	0	0				
5069																							0	697	4101		1927				0	0	1477							0	0	0				
5135																							972	1786	12518		478				0	0	3803							5479	0	0				
5210																						0	4653	3472	65276	0	12875	10226	0	0	0	0	3278	0	0	0	0	0	0	35060	0	5938	Prepaid Pension			
5461																							2381	0	16621		4165	1090	2000		0	0	2024							8051	0	0	QZAB	PREFERRED STOCK		
5751																							345	0	6240		210				0	0	1310							2626	331	1418				
6039																						0	304	354	3380	281	1184	321	0	0	0	0	1538	0	0	0	0	0	0	0	0	0	Due From SBA			
6141																							0	60	499		105				0	0	334							0	0	0				
6329																						625	554	1442	15020	1054	3687	259	0	0	0	0	2476	0	0	571	0	0	0	4017	0	2844	Unposted Debits			
7009																							0	157	7933		6224				0	0	1552							0	0	0				
7045																						22	751	609	2995	237	675	0	0	0	0	0	960	0	0	0	0	0	0	0	0	0				
7072																							1862	2495	11375		2969				0	0	585							3464	0	0				
7157																						0	23	6	368	0	81	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0				
7456																							390	0	2927		210				0	0	813							1514	0	0				
7634																							97	0	756		330				0	0	329							0	0	0				
8033																							1447	492	4653		225				0	0	1170							1319	0	0				
8462																							21	0	606		15				0	0	570							0	0	0				
8631																							68	310	2907		83				0	0	171							2275	0	0				
9357																						0	597	0	1597	0	57	0	0	0	0	0	943	0	0	0	0	0	0	0	0	0				
