"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
37			973	0	3	0	981	11	0																				
242			156	0	1	0	187	32	0																				
279			1102	4	3	0	1104	9	0																				
354			151	3	4	0	144	0	0																				
457			565	0	74	0	497	6	0																				
505			6346	141	2	0	6205	2	0																				
1155			3853	151	13	0	3696	7	0																				
1351			1160	110	12	0	1100	62	0																				
1454			3704	600	4	0	3501	401	0																				
1669			3053	84	11	0	3070	112	0																				
1856			250	15	0	0	235	0	0																				
2161			1604	168	4	0	1440	8	0			0	0																
2732			5033	0	5	0	5028	0	0																				
2750			371	110	0	0	553	292	0																				
3252			4006	300	72	0	3987	353	0																				
3458			606	53	10	0	552	9	0																				
3720			1725	3	8	0	1715	1	0																				
3971			3525	412	49	0	3094	30	0																				
4156			2401	425	22	0	1954	0	0																				
4231			751	0	4	0	768	21	0																				
5069			7158	0	0	0	7158	0	0																				
5135			4814	140	7	0	4911	244	0																				
5210			15852	4000	85	0	13835	2068	0																				
5461			6093	0	106	0	5989	2	0																				
5751			2325	0	1	0	2324	0	0																				
6039			3173	90	3	0	3162	82	0			0	0																
6329			13514	2600	374	0	13369	2829	0				0																
7009			0	0	0	0	0	0	0																				
7045			1522	80	312	0	1211	81	0			0	0																
7072			2515	450	23	0	2327	285	0																				
7456			883	10	0	0	873	0	0																				
7634			1193	15	8	0	1204	34	0																				
8033			1462	50	6	0	1409	3	0																				
8462			1530	320	1	0	1216	7	0																				
8631			410	0	5	0	417	12	0																				
9357			4582	450	13	0	4169	50	0																				
9553			1211	0	0	0	1211	0	0																				
9807			31528	0	170	0	31358	0	0				0																
9955			1730	0	0	0	1732	2	0																				
10250			3473	300	39	0	3184	50	0																				
10849			1561	117	0	0	1612	168	0																				
11145			2452	123	37	0	2362	70	0				0																
11640			3006	6	6	0	3006	12	0																				
11837			823	0	8	0	816	1	0																				
12030			9491	0	2052	0	7995	556	0																				
12142			1572	30	15	0	1635	108	0																				
12311	0		1503757	446285	18627	0	782852	135767	391760	0	6112			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12647			1078	0	1	0	1077	0	0																				
12656			188	0	0	0	196	8	0																				
12946			19077	800	184	0	18666	573	0																				
13103			17251	840	16	0	16517	122	0				0																
13251			536	15	38	0	483	0	0																				
13457			93	0	0	0	93	0	0																				
14155			3170	75	15	0	3090	10	0																				
14650			747	38	12	0	697	0	0																				
14753			530	0	0	0	530	0	0																				
14865			4462	150	13	0	4299	0	0																				
14977			405	65	1	0	374	35	0			0	0																
16551			3053	25	4	0	3026	2	0																				
16748			653	0	0	0	653	0	0																				
17110			279	0	0	0	279	0	0			0	0																
17147			99454	19752	673	0	80284	1255	0			0	0																
17259			155	0	2	0	153	0	0																				
17950			4851	180	3	0	4707	39	0																				
17978			1444	0	0	0	1444	0	0																				
18050			5428	180	16	0	5358	126	0																				
18827			9707	1400	65	0	8304	62	0																				
18836			1193	107	25	0	1123	62	0																				
18854			8513	650	17	0	7846	0	0				0																
19356			801	48	2	0	874	123	0																				
19936			3444	75	9	0	3523	163	0																				
19972			400	0	0	0	400	0	0																				
20053			1327	30	1	0	1338	42	0																				
20633			3288	55	2	0	3270	39	0																				
20857			933	10	0	0	923	0	0																				
21256			64	19	11	0	67	33	0																				
21359			449	37	0	0	412	0	0																				
21658			1993	30	6	0	1958	1	0				0																
22048			1895	125	19	0	1782	31	0																				
22543			1290	0	3	0	1293	6	0																				
22552			1196	30	0	0	1170	4	0																				
22730			1194	95	49	0	1171	121	0																				
23456			1972	90	1	0	1881	0	0																				
23504		0	39215	5000	20	0	32786	216	1625			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23643			1025	30	3	0	1057	65	0																				
23755			1526	100	4	0	1544	122	0																				
24006			8346	2008	130	0	6216	8	0																				
24378			211	0	14	0	197	0	0																				
24453			3335	1000	94	0	2832	591	0																				
24659			596	157	1	0	438	0	0																				
24668			16423	3240	16	0	13431	264	0																				
