"IDRSSD"	RCFD0010	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCFDF264	RCFDG591	RCFDG592	RCFDG593	RCFDG594	RCFDG595	RCFDG596	RCFDG597	RCFDG598	RCFDG599	RCFDG600	RCFDG601	RCFDG602	RCFDL136	RCFDL137	RCFDL138	RCON0010	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	
1557																																																																																																																																																																																																7635	0	0	24995	74594	0	22	0	9134	0	0	0	0	9441	0	0	161	1183	0	0	22	22	2287	27341	2984	1605	42289	0	0	0.1270	0.1891	0.1887	0.0000	0.0000	0.0000	9419	22	-747	0	0	0	0	0	0	0	0	0	0	0	
1669																																																																																																																																																																																																35274	0	48827	73430	253403	0	2916	0	44834	15	0	0	0	45489	0	0	0	0	0	0	1454	1454	36432	98821	47109	13228	72966	0	0	0.172498	0.396156	0.383493	0.000000	0.000000	0.000000	44035	1454	374	0	0	0	0	0	0	0	0	0	0	0	
1829																																																																																																																																																																																																48718	0	0	83156	406152	72	3626	0	42686	0	0	0	0	37767	0	0	315	7098	0	0	3132	3204	38626	91270	97802	7333	174110	0	0	0.0868	0.1510	0.1382	0.0000	0.0000	0.0000	34563	3204	-156	0	0	0	0	0	0	0	0	0	0	0	
1856																																																																																																																																																																																																28864	0	0	22757	122385	0	1078	0	14224	0	0	0	0	16075	0	0	0	142	0	0	932	932	11401	47544	991	1013	64447	0	0	0.1331	0.2161	0.2036	0.0000	0.0000	0.0000	15143	932	-1017	0	0	0	0	0	0	0	0	0	0	0	
2040																																																																																																																																																																																																9353	0	0	60749	193521	0	4151	0	19732	0	0	0	0	21382	0	0	0	4025	0	0	1578	1578	16855	58684	27066	7771	98654	302	1111	0.1007	0.1729	0.1601	0.0000	0.0000	0.0000	19804	1578	-1183	0	0	0	0	0	0	0	0	0	0	0	
2161																																																																																																																																																																																																22151	0	1	27674	135783	0	588	0	13781	0	0	0	0	15157	0	0	0	694	0	0	588	588	3163	56829	37792	6984	39375	0	0	0.1062	0.2166	0.2082	0.0000	0.0000	0.0000	14569	588	-788	0	0	0	0	0	0	0	0	0	0	0	
2376																																																																																																																																																																																																11994	0	41873	316516	2798638	0	31151	0	439071	0	0	0	0	465301	0	0	52	0	943	0	30326	30326	14035	393764	137462	136165	2278232	0	0	0.1555	0.1919	0.1793	0.0000	0.0000	0.0000	434975	30326	3153	0	0	50000	0	0	0	0	0	0	0	0	
2554																																																																																																																																																																																																5607	0	0	2704	13552	0	142	0	1248	0	0	0	0	1011	0	0	0	0	0	0	98	98	0	5607	2142	279	5611	0	0	0.0744	0.1303	0.1177	0.0000	0.0000	0.0000	913	98	46	0	0	0	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																																123783	0	0	91164	536189	0	5553	0	79297	0	0	0	0	81819	0	0	0	0	0	0	4022	4022	110397	102825	55261	10150	271498	0	0	0.1443	0.2555	0.2430	0	0	0	77797	4022	388	0	0	0	0	0	0	0	0	0	0	0	
2750																																																																																																																																																																																																2970	0	0	16314	58312	0	826	0	5357	0	0	0	0	6126	0	0	0	288	0	0	536	536	4294	13566	3020	2077	38491	0	0	0.0969	0.1439	0.1313	0	0	0	5590	536	-290	0	0	0	0	0	0	0	0	0	0	0	
3177																																																																																																																																																																																																117654	0	8517	121974	1024771	7	3719	0	104350	0	0	0	0	104406	0	0	1097	0	-186	0	3719	3726	182414	65808	556034	43848	221324	0	0	0.098756	0.203248	0.195995	0	0	0	100680	3726	-1431	0	0	0	0	0	0	0	0	0	0	0	
3252																																																																																																																																																																																																6814	0	712	67416	165302	0	1966	0	20520	0	0	0	0	21757	0	0	369	1103	0	0	1194	1194	23544	57722	6381	3322	79665	0	0	0.1236	0.2297	0.2171	0.0000	0.0000	0.0000	20563	1194	-43	0	0	0	0	0	0	0	0	0	0	0	
3458																																																																																																																																																																																																7663	0	3026	12896	38612	0	374	0	3274	0	0	0	0	3792	0	0	0	0	0	0	341	341	270	12722	3030	836	23232	0	0	0.087153	0.139115	0.126605	0.000000	0.000000	0.000000	3451	341	-177	0	0	0	0	0	0	0	0	0	0	0	
3720																																																																																																																																																																																																24032	0	435	40684	210835	0	1593	0	29799	0	0	0	0	31365	988	0	0	2007	0	0	1593	1593	28275	42460	32925	8991	108051	440	0	0.141067	0.233306	0.221457	0.000000	0.000000	0.000000	29772	1593	27	0	0	0	0	0	0	0	0	0	0	0	
3971																																																																																																																																																																																																86962	0	0	78176	675262	1	13870	0	103486	0	0	0	0	93576	0	0	0	43764	0	0	6492	6493	71834	83854	92748	39800	424456	8658	5363	0.132172	0.184593	0.171784	0	0	0	87083	6493	-248	0	0	0	0	0	0	0	0	0	0	0	
4156																																																																																																																																																																																																8708	0	0	49069	203302	0	1727	0	20802	0	0	0	0	20599	0	0	0	6626	0	0	1727	1727	7356	46796	48124	12620	100817	155	0	0.094112	0.148708	0.136240	0	0	0	18872	1727	147	0	0	0	0	0	0	0	0	0	0	0	
4231																																																																																																																																																																																																10615	0	0	44837	115614	0	750	0	13077	0	0	0	0	15511	0	0	0	0	0	0	750	750	9516	44142	12930	4482	52329	0	0	0.1243	0.2282	0.2171	0.0000	0.0000	0.0000	14761	750	-1684	0	0	0	0	0	0	0	0	0	0	0	
4437																																																																																																																																																																																																24556	0	0	88866	255215	0	2632	0	26126	0	0	0	0	26525	0	0	0	2796	29	0	1845	1845	21706	83432	52415	12438	100254	0	1393	0.0988	0.1807	0.1681	0	0	0	24680	1845	24	0	0	0	0	0	0	0	0	0	0	0	
4839																																																																																																																																																																																																7443	0	0	72184	332786	0	5622	0	32523	39	0	0	0	37140	0	0	210	3260	0	0	3225	3225	11719	68632	36012	11467	223437	0	0	0.102036	0.145292	0.132676	0	0	0	33915	3225	-1392	0	0	0	0	0	0	0	0	0	0	0	
5005																																																																																																																																																																																																8610	0	38528	57281	321527	0	353	0	32688	110	0	0	0	26353	0	0	0	0	0	0	353	353	9047	101188	100450	24825	110931	0	5815	0.0818	0.1453	0.1433	0.0000	0.0000	0.0000	26000	353	-914	0	0	0	0	0	0	0	0	0	0	0	
5069																																																																																																																																																																																																73778	0	0	34028	382824	150	15000	0	144210	575	0	0	0	146108	0	0	256	1610	0	0	3884	4034	73570	1385	22754	40075	298052	0	0	0.387066	0.487941	0.474469	0.000000	0.000000	0.000000	142074	4034	2136	0	0	0	0	0	0	0	0	0	0	0	
5135																																																																																																																																																																																																40588	0	0	23498	360037	0	3904	0	44297	0	0	0	0	47084	0	0	0	25838	0	0	3684	3684	38856	23440	53499	14996	247339	0	0	0.1185	0.1599	0.1474	0.0000	0.0000	0.0000	43400	3684	-145	0	0	0	0	0	0	0	0	0	0	0	
