"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																			0	79	0	917	53	207	0	0	0	0	0	631	0	0	0	0	0	0				
242																			0	275	0	533	0	5	0	0	0	0	0	253	0	0	0	0	0	0				
279																			5	1935	366	7600	90	102	0	0	0	0	0	844	0	0	0	4353	0	0				
354																			0	5	68	145	0	0	0	0	0	0	0	72	0	0	0	0	0	0				
457																			0	265	0	1290	0	22	0	0	0	0	0	387	0	0	0	616	0	0				
505																			0	2692	0	12167	0	3706	2414	0	0	0	0	1201	0	0	0	4568	0	0	Prepaid pension			
1155																			7	232	0	5541	81	158	0	0	0	0	0	1032	0	0	0	4119	0	0				
1351																			32	0	0	1492	152	238	54	0	0	0	0	1254	0	0	0	0	0	0	computer software			
1454																			0	1087	0	10043	843	843	0	0	0	0	0	2843	0	0	0	5270	0	0				
1557																			0	605	0	1408	0	4	0	0	0	0	0	799	0	0	0	0	0	0				
1669																			3	166	882	12395	185	221	0	0	0	0	0	1210	0	0	0	9102	814	0				
1829																			0	4020	77	12959	815	1435	0	0	0	0	0	1157	0	0	0	6270	0	0				
1856																			0	1760	0	2177	96	96	0	0	0	0	0	321	0	0	0	0	0	0				
2040																			0	1546	1574	8706	592	703	0	0	0	0	0	748	39	0	0	3833	0	302				
2161																			0	349	0	4504	144	160	0	0	0	0	0	966	0	0	16	3029	0	0				
2376																			0	39762	41736	189324	649	6200	2206	0	0	0	0	9643	1593	0	0	73873	0	18110	FHLB PREPAYMENT PENALTY			
2554																			31	44	0	187	38	69	0	0	0	0	0	74	0	0	0	0	0	0				
2732																			0	174	1307	3473	131	500	0	0	0	0	0	1492	0	0	0	0	0	0				
2750																			0	412	0	1560	271	271	0	0	0	0	0	877	0	0	0	0	0	0				
3177																			0	5864	3369	38041	864	2002	0	0	0	0	0	2349	0	0	0	12959	0	11498				
3252																			0	765	0	3898	562	934	369	0	0	0	0	2199	0	0	0	0	0	0	NP DDA Debits			
3458																			0	192	0	733	47	186	125	0	0	0	0	355	0	0	0	0	0	0	COMPUTER SOFTWARE			
3720																			0	225	835	8385	98	100	0	0	0	0	0	969	0	0	0	3740	0	2516				
