"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																			0	103	498	1211	66	80	0	0	0	0	0	530	0	0	0	0	0	0				
242																			0	275	0	503	10	21	0	0	0	0	0	207	0	0	0	0	0	0				
279																			9	1564	71	6749	99	453	345	0	0	0	0	539	0	0	0	4122	0	0	Accrued Income Tax Payable			
354																			0	4	107	176	0	0	0	0	0	0	0	65	0	0	0	0	0	0				
457																			0	139	0	1069	0	43	0	0	0	0	0	301	0	0	0	586	0	0				
505																			0	3909	0	16391	0	6921	5394	0	0	0	0	1226	0	0	0	4335	0	0	Prepaid pension			
1155																			0	1030	0	6727	273	348	0	0	0	0	0	1038	0	0	0	4311	0	0				
1351																			24	0	0	1279	86	130	20	0	0	0	0	1149	0	0	0	0	0	0	Computer Software			
1454																			0	1034	0	10519	1025	1095	0	0	0	0	0	3332	0	0	0	5058	0	0				
1557																			0	423	0	1290	50	54	0	0	0	0	0	813	0	0	0	0	0	0				
1669																			7	915	617	12072	89	131	0	0	0	0	0	989	0	0	0	8638	782	0				
1829																			0	2310	683	12479	904	2358	0	0	0	0	0	1137	0	0	0	5991	0	0				
1856																			0	1624	0	2086	145	145	0	0	0	0	0	317	0	0	0	0	0	0				
2040																			0	1546	1634	8382	279	465	148	0	0	0	0	852	0	0	0	3595	0	290	Software			
2161																			0	823	0	4519	154	186	0	0	0	0	0	639	0	0	32	2871	0	0				
2376																			0	45116	33316	167628	592	12725	6140	0	0	0	0	8925	2360	0	0	50222	0	17324	DEFERRED EXPENSE - FHLB PENALTY			
2554																			0	17	0	137	19	20	0	0	0	0	0	100	0	0	0	0	0	0				
2732																			0	174	2056	4801	120	840	633	0	0	0	0	1731	0	0	0	0	0	0	current fit receivable			
2750																			0	565	0	2514	211	211	0	0	0	0	0	696	0	0	0	1042	0	0				
3177																			0	6320	3384	36728	962	1086	0	0	0	0	0	2587	0	0	0	12322	0	11029				
3252																			0	325	0	2887	443	723	254	0	0	0	0	1839	0	0	0	0	0	0	NP DDA Debits			
3458																			0	192	60	540	44	78	3	0	0	0	0	210	0	0	0	0	0	0	pre-paid state assessment			
3720																			0	221	946	6164	220	220	0	0	0	0	0	754	0	0	0	1584	0	2439				
3971																			0	1994	5252	24773	1392	3010	812	0	0	0	0	2441	0	0	0	12076	0	0	Investment in Rabbi Trust			
4156																			0	1442	0	6591	0	283	195	0	0	0	0	1128	0	0	0	2816	0	922	NOTES RECEIVABLE			
4231																			0	0	888	1679	117	145	0	0	0	0	0	646	0	0	0	0	0	0				
4437																			0	739	1681	8102	327	450	0	0	0	0	0	789	0	0	0	4443	0	0				
4839																			0	1082	0	2741	224	279	55	0	0	0	0	1380	0	0	0	0	0	0	Accounts receivable			
5069																			0	0	866	4476	874	2121	1234	0	0	0	0	1489	0	0	0	0	0	0	Account Receivable			
5135																			0	1289	1530	11159	255	490	211	0	0	0	0	3416	0	0	0	4434	0	0	fifth third clearing			
5210																			0	5703	1132	61221	0	14344	12540	0	0	0	0	3105	0	0	0	31382	0	5555	Prepaid Pension			
5461																			0	1988	0	8887	604	4300	1588	2000	0	0	0	1833	0	0	0	766	0	0	QZAB	PFRD STOCK-SR HOUSING CRIME PREV		
5751																			0	627	0	5913	126	144	0	0	0	0	0	1083	0	0	0	2412	307	1340				
6039																			0	79	364	2256	0	1107	385	524	0	0	0	479	0	0	0	0	227	0	Due from holding company	Due from USDA		
6141																			0	0	38	459	107	107	0	0	0	0	0	314	0	0	0	0	0	0				
6329																			734	519	1282	12211	938	2559	209	0	0	0	0	2138	0	0	0	3029	0	2684	Deposit on Assets			
7009																			0	0	397	6531	0	3840	3155	0	0	0	0	2294	0	0	0	0	0	0	Rreceivables			
7045																			0	725	399	2531	197	479	0	0	0	0	0	928	0	0	0	0	0	0				
7072																			0	1347	2761	7969	260	3326	2190	284	0	0	0	535	0	0	0	0	0	0	Deferred Compensation	Covenant Not to Compete		
7157																			0	23	15	432	30	84	54	0	0	0	0	310	0	0	0	0	0	0	Lease Contracts Receivable			
7456																			0	341	0	1048	0	143	118	0	0	0	0	564	0	0	0	0	0	0	Prepaid Health Insurance			
7634																			0	55	0	573	163	245	59	0	0	0	0	273	0	0	0	0	0	0	BL Late Fees Receivable			
8033																			34	1247	228	3940	112	265	22	97	0	0	0	1084	0	0	0	1116	0	0	ATM/CHECK CARD SUSPENSE	OTHER ASSETS		
8462																			0	21	0	538	0	20	0	0	0	0	0	497	0	0	0	0	0	0				
8631																			0	125	302	2770	75	95	0	0	0	0	0	149	0	0	0	2099	0	0				
9357																			0	484	0	1528	72	134	0	0	0	0	0	910	0	43	0	0	0	0				
9553																			0	2189	0	6497	241	619	378	0	0	0	0	1389	0	0	0	1494	0	806	Nebraska Fund XV Investment			
9807																			0	18005	0	131440	0	4828	1970	1500	0	0	0	7102	413	0	0	0	101505	0	SETTLEMENT CLAIM	MADISON CROSSING PERFORMANCE BOND		
9955																			0	845	22	1790	29	55	0	0	0	0	0	868	0	0	0	0	0	0				
10250																			47	866	8448	11074	253	482	173	0	0	0	0	998	0	0	0	280	0	0	Computer Software			
10849																			0	549	1980	5001	199	490	0	0	0	0	0	903	226	0	0	1079	0	0				
11145																			102	1011	483	6186	202	734	23	407	0	0	0	463	0	0	0	1189	0	2306	Brownsfield	Great Lakes Capital Fund		
11275																			0	6267	9362	58429	0	6598	2481	0	0	0	0	2999	0	0	0	20179	13024	0	Accounts receivable			
11640																			0	2803	1333	16123	448	640	0	0	0	0	0	2707	0	0	0	8640	0	0				
11837																			0	411	2528	3615	0	131	66	44	0	0	0	545	0	0	0	0	0	0	Prepaid Federal Income Taxes	IBAA Mastercard Clearing		
12030																			0	7384	2370	12909	102	841	673	0	0	0	0	1771	0	0	0	543	0	0	reclassified NSF's			
12142																			0	648	1265	8530	472	860	0	0	0	0	0	1166	0	0	0	0	0	4591				
12179																			0	710	145	3522	47	71	0	0	0	0	0	106	0	0	0	1874	0	616	Prepaid D&O Insurance			
12245																			0	461	305	1505	217	250	0	0	0	0	0	489	0	0	0	0	0	0				
12311	0	323152	91724	2984119	0	765808	0	0	0	0	0	172220	0	0	0	316960	504777	809478		323152																				
12647																			0	310	0	1041	158	193	0	0	0	0	0	538	0	0	0	0	0	0				
12656																			0	29	37	208	47	49	0	0	0	0	0	93	0	0	0	0	0	0				
12937																			0	690	0	1509	258	265	0	0	0	0	0	554	0	0	0	0	0	0				
12946																			0	2079	0	19180	264	1375	0	0	0	0	0	3759	0	0	0	1250	10717	0				
12955																			0	459	0	933	181	181	0	0	0	0	0	293	0	0	0	0	0	0				
13103																			0	11182	0	23494	1314	3037	863	0	0	0	0	3008	0	0	0	6267	0	0	Deferred director fees			
13251																			0	308	0	912	67	67	0	0	0	0	0	183	0	0	0	354	0	0				
13457																			0	0	0	1591	0	0	0	0	0	0	0	270	0	0	0	1321	0	0				
14052																			0	152	85	2032	76	125	0	0	0	0	0	208	0	0	0	1106	356	0				
14155																			7	745	1	4319	266	306	0	0	0	0	0	1176	0	0	0	2091	0	0				
14650																			0	68	172	1738	38	38	0	0	0	0	0	115	0	0	0	1345	0	0				
14753																			0	9	0	467	0	44	0	0	0	0	0	414	0	0	0	0	0	0				
14865																			0	526	1154	9668	365	625	0	0	0	0	0	2898	0	0	0	1375	1552	1538				
14977																			0	82	26	650	35	41	0	0	0	0	0	323	0	0	0	0	178	0				
16458																			0	775	19	2189	145	173	0	0	0	0	0	1222	0	0	0	0	0	0				
16551																			0	1598	286	5606	0	295	161	71	0	0	0	1098	0	0	0	2329	0	0	Software	Servicing Claim Receivable		
16748																			0	289	159	2495	0	114	0	0	0	0	0	362	0	0	0	1571	0	0				
16944																			0	0	133	455	68	81	0	0	0	0	0	241	0	0	0	0	0	0				
16953																			0	0	0	277	18	18	0	0	0	0	0	259	0	0	0	0	0	0				
17110																			0	219	0	2893	519	2604	1524	0	0	0	0	70	0	0	0	0	0	0	ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																			0	38990	50224	291095	13241	19570	0	0	0	0	0	17996	2759	0	0	59565	99217	5533				
17259																			0	547	0	2622	94	98	0	0	0	0	0	300	0	0	0	1677	0	0		0		
17464																			0	9820	47593	104406	1609	7449	0	0	0	0	0	2982	0	0	0	8568	27994	0				
17950																			0	998	160	4214	149	170	0	0	0	0	0	2371	0	0	0	0	0	515				
17978																			0	3355	2112	6475	7	106	86	13	0	0	0	902	0	0	0	0	0	0	Accrued Late Charges Receivable	Accounts Receivable	Prepaid Federal Income Tax	
18050																			0	475	0	7800	1260	1740	0	0	0	0	0	1371	0	0	0	4214	0	0				
18135																			0	1126	0	7241	153	248	0	0	0	0	0	1064	0	0	0	4803	0	0				
18377																			0	77	60	576	47	353	120	186	0	0	0	86	0	0	0	0	0	0	Delayed Principal	Prepaid Income Taxes		
18827																			0	819	1737	9683	388	662	0	0	0	0	0	1100	0	0	0	0	0	5365				
18836																			0	596	1003	6149	0	777	263	270	0	0	0	474	0	0	0	3299	0	0	PREPAID EFT	DEFERRED DIRECTOR FEES		
18854																			0	740	0	6143	222	2687	1962	372	85	0	0	2716	0	0	0	0	0	0	Core Deposits	Mortgage Service Fees	Deferred Fees / Costs	
19356																			0	164	0	1618	153	153	0	0	0	0	0	390	0	0	0	911	0	0				
