"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDFT33	RCFDFT34	RCFDFT35	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONFT33	RCONFT34	RCONFT35	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																						0	77	23	950	0	211	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0				
242																						0	171	0	408	0	13	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0				
279																						29	2016	448	7858	120	157	0	0	0	0	0	712	0	0	0	0	0	0	4525	0	0				
354																						33	5	52	160	17	50	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0				
457																							415	0	1503		53				0	0	393							642	0	0				
505																						0	4129	0	13961	0	3688	2153	0	0	0	0	1374	0	0	0	0	0	0	4770	0	0	Prepaid Pension			
1155																							230	0	7018	265	324				0	0	1149							5315	0	0				
1351																						0	183	0	1620	101	131	0	0	0	0	0	1306	0	0	0	0	0	0	0	0	0				
1454																							1258	0	12692	2242	2302				0	0	3098							6034	0	0				
1557																							265	0	1384		40				0	0	1079							0	0	0	ATM Processing			
1669																						23	176	848	13196	221	266				0	0	1252							9815	839	0				
1856																							1883	0	3089	889	889				0	0	317							0	0	0				
2040																						0	1106	1176	8010	0	542	0	0	0	0	0	794	0	0	0	0	0	0	4081	0	311				
2161																						0	363	0	5198	224	224	0	0	0	0	0	1021	0	0	0	0	0	0	3590	0	0				
2376																						0	32504	38080	186712	440	9562	0	0	0	0	0	10620	6437	0	0	0	0	0	77215	0	18731				
2554																							41	0	197	37	37				0	0	119							0	0	0				
2732																						0	174	1127	3919	154	808	315	257	0	0	0	1810	0	0	0	0	0	0	0	0	0	Claim Pending	Fed Inc Tax Rec - current		
2750																						0	225	0	2554	157	157	0	0	0	0	0	661	0	0	0	0	0	0	1511	0	0				
3252																						494	922	0	4210	380	921	0	0	0	0	0	2367	0	0	0	0	0	0	0	0	0				
3458																							231	0	834		158				0	0	445			64				0	0	0				
3720																							261	1130	8973	134	134				0	0	879							1837	0	4732				
3971																							3270	1609	25455		4375	1781			0	0	2913							13288	0	0	Due from Parent and Affiliates - net			
4156																							264	0	7433		275				0	0	1178							4721	0	995				
4231																						0	0	353	948	0	165	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0				
4839																							1188	0	2853	253	410	60			0	0	1255	97						0	0	0	Prepaid Deposit - FiServ			
5069																							0	698	4562	912	2122				0	0	1742				1209			0	0	0				
5135																						0	1825	1652	14666	388	485	0	0	0	0	0	5177	0	0	0	0	0	0	5527	0	0				
5210																						0	4463	3358	65239	0	12884	10362	0	0	0	0	3261	0	0	0	0	0	0	35305	0	5968	Prepaid Pension			
5461																							2712	0	15070		1962	1090			0	0	2265							8131	0	0	QZAB			
5751																							346	0	6475		264	102			0	0	1466							2643	333	1423	Income Taxes Payable			
6039																						1	304	375	3377	207	1184	0	0	0	0	0	1514	0	0	0	24	0	0	0	0	0				
6141																						0	0	61	483	0	95	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0				
6329																						473	597	2042	18422	3520	6330	681	535	0	0	0	2559	0	0	533	0	0	0	4050	0	2844	Unposted Debits	Reserve for ACH Settlement		
7009																						0	0	139	5924	0	4162	0	0	0	0	0	1623	0	0	0	3405	0	0	0	0	0				
7045																						12	751	72	2293	202	426	0	0	0	0	0	1044	0	0	0	0	0	0	0	0	0				
7072																							1921	2438	11336	219	2903	2368	38	196	0	0	587							3487	0	0	Deferred Compensation	Covenant Not to Compete	Deferred Commissions	
7157																							23	0	416		117				0	0	276							0	0	0				
7456																						0	466	0	3196	0	185	0	0	0	0	0	1018	0	0	0	0	0	0	1527	0	0				
7634																							98	0	724	178	306				0	0	320							0	0	0				
8033																							1449	494	4859	105	163	23			0	0	1422			35				1331	0	0	ALL OTHER ASSETS			
8462																						0	21	0	849	0	8	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0				
8631																							69	314	2921	67	72				0	0	176							2290	0	0				
9357																						0	597	0	1827	138	160	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0				
9553																						0	2169	0	6903	211	475	264	0	0	0	0	1729	0	0	0	0	0	0	1646	0	884	Nebraska Fund XV Investment			
9807																							15836	0	140135		1329	1049			0	0	7285							33438	82247	0	SECURITY PRINCIPAL RECEIVABLE			
9955																							934	27	1981		38				0	0	982							0	0	0				
10250																							999	770	4120	589	816				0	0	1228			226				307	0	0				
10849																						0	551	1506	4346	211	315	0	0	0	0	0	785	0	0	0	0	0	0	1189	0	0				
11145																						20	703	602	8484	503	1740	5	1211	0	0	0	588	0	0	0	0	0	0	2358	0	2493	Brownfield	Great Lakes Capital Fund		
11640																						0	4588	1276	20389	498	1138	0	0	0	0	0	3327	0	0	0	0	0	0	10060	0	0				
