"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	67	63	876	0	200	0	0	0	546	0	0	0	0	0	0	0	0	0				
242																				0	150	0	398	0	17	0	0	0	231	0	0	0	0	0	0	0	0	0				
279																				0	2138	265	8008	71	71	0	0	0	806	0	0	0	0	0	0	4728	0	0				
354																				0	0	69	177	23	31	0	0	0	77	0	0	0	8	0	0	0	0	0				
457																				0	323	0	1472	0	21	0	0	0	439	0	0	0	0	0	0	689	0	0				
505																				0	4752	0	14062	746	2602	1080	0	0	1673	0	0	0	0	0	0	5035	0	0	Lease Right of Use Asset			
1155																				0	353	0	7776	249	306	0	0	0	1487	0	0	0	0	0	0	5630	0	0				
1351																				0	191	0	1998	150	258	0	0	0	1549	0	0	0	0	0	0	0	0	0				
1454																				0	1398	0	14648	1275	2596	757	0	0	3152	0	0	0	0	0	0	7502	0	0	PROCESSING DEPOSIT			
1669																				0	185	608	14044	291	310	0	0	0	1537	0	0	0	0	0	0	10536	0	868				
1856																				0	1430	0	2662	541	954	268	0	0	278	0	0	0	0	0	0	0	0	0	Acct Recv - Pridex			
2040																				0	798	686	7530	191	634	0	0	0	693	0	0	394	0	0	0	4396	0	323				
2161																				0	398	0	5387	168	168	0	0	0	1024	0	0	0	0	0	0	3797	0	0				
2376																				0	25925	31266	173522	486	3525	0	0	0	11934	1624	0	0	0	0	0	81350	0	19522				
2732																				0	174	930	4193	0	1355	1148	0	0	1734	0	0	0	0	0	0	0	0	0	Current FIT			
2750																				0	199	0	2707	199	199	0	0	0	701	0	0	0	0	0	0	1608	0	0				
3252																				380	769	0	4571	343	944	0	0	0	2858	0	0	0	0	0	0	0	0	0				
3458																				0	250	0	1043	0	103	0	0	0	690	0	0	0	0	0	0	0	0	0				
3720																					270	581	11255	241	522	280			1020					0		6149	0	2713	JHA ATM settlement security deposit			
3971																				0	5858	1592	30120	1379	5478	0	0	0	3154	0	0	3330	0	0	0	14038	0	0				
4156																				0	391	0	8074	0	224	0	0	0	1421	0	0	0	0	0	0	5003	0	1035				
4231																				0	0	11	688	136	232	0	0	0	445	0	0	0	0	0	0	0	0	0				
5069																				0	0	665	6733	2262	4212	0	0	0	1856	0	0	1914	0	0	0	0	0	0				
5135																				2	1780	1350	15829	671	719	0	0	0	6125	0	0	0	0	0	0	5855	0	0				
5210																				0	4202	2841	74248	0	12289	9662	0	0	4840	0	0	0	0	0	0	43891	0	6185	Prepaid Pension			
5461																				0	3006	0	16761	0	2514	741	0	0	2597	0	0	0	0	0	0	8644	0	0	QZAB			
5751																				0	394	8	6921	106	182	0	0	0	1752	0	0	0	0	0	0	2776	346	1463	Income Taxes Payable			
6039																				0	296	259	2909	391	454	0	0	0	1900	0	0	0	0	0	0	0	0	0				
6329																				848	686	3261	23799	1728	5197				3743		436			0		8199	0	2713				
7009																				0	0	413	9789	3189	6929	0	0	0	2447	0	0	3433	0	0	0	0	0	0				
