"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																			0	103	542	1336	34	72	0	0	0	0	0	619	0	0	0	0	0	0				
242																			0	267	0	518	16	16	0	0	0	0	0	235	0	0	0	0	0	0				
279																			0	1060	420	2161	61	61	0	0	0	0	0	540	0	0	0	80	0	0				
354																			0	4	194	265	0	0	0	0	0	0	0	67	0	0	0	0	0	0				
457																			0	168	0	1235	0	23	0	0	0	0	0	466	0	0	0	578	0	0				
505																			0	4189	0	13916	0	4182	2545	0	0	0	0	1276	0	0	0	4269	0	0	Prepaid pension			
1155																			0	1157	0	6618	113	187	0	0	0	0	0	1032	0	0	0	4242	0	0				
1351																			21	0	0	1365	102	129	6	0	0	0	0	1236	0	0	0	0	0	0	computer software			
1454																			0	1054	0	10231	851	941	0	0	0	0	0	3257	0	0	0	4979	0	0				
1557																			0	418	16	1388	0	33	0	0	0	0	0	921	0	0	0	0	0	0				
1669																			0	915	479	11633	117	152	0	0	0	0	0	961	0	0	0	8354	0	772				
1829																			0	1596	993	5192	461	1553	0	0	0	0	0	1050	0	0	0	0	0	0				
1856																			0	1525	0	2167	180	181	0	0	0	0	0	461	0	0	0	0	0	0				
2040																			0	1546	1031	7665	343	525	0	0	0	0	0	767	0	0	0	3510	0	286				
2161																			0	823	0	4408	0	161	0	0	0	0	0	599	0	0	0	2825	0	0				
2376																			0	41927	31517	165790	413	16677	7039	0	0	0	0	9132	2660	0	0	49444	0	17093	DEFERRED EXPENSE - FHLB PENALTY			
2554																			0	48	0	184	23	27	0	0	0	0	0	109	0	0	0	0	0	0				
2732																			0	174	2531	4798	70	361	213	0	0	0	0	1732	0	0	0	0	0	0	Current Fed Inc Tax			
2750																			0	559	0	2455	141	141	0	0	0	0	0	771	0	0	0	984	0	0				
3177																			0	6320	4948	37819	778	1028	0	0	0	0	0	2491	0	0	0	12142	0	10890				
3252																			0	324	0	3673	270	584	294	0	0	0	0	2765	0	0	0	0	0	0	NP DDA Debits			
3458																			0	188	80	525	11	29	3	0	0	0	0	228	0	0	0	0	0	0	Pre-paid State Assessment			
3720																			0	270	934	6313	229	238	0	0	0	0	0	929	0	0	0	1544	0	2398				
3971																			0	1994	6364	26798	1396	3480	931	0	0	0	0	3066	0	0	0	11894	0	0	Miscellaneous noninterest bearing receivables			
4156																			0	2052	0	7330	0	302	208	0	0	0	0	1294	0	0	0	2772	0	910	Notes Receivable			
4231																			0	0	1204	2003	60	174	0	0	0	0	0	625	0	0	0	0	0	0				
4437																			0	744	1641	7966	223	338	0	0	0	0	0	879	0	0	0	4364	0	0				
4839																			0	1082	0	2973	359	423	0	0	0	0	0	1468	0	0	0	0	0	0				
5005																			0	4167	6389	20836	119	279	148	0	0	0	0	966	0	0	0	9035	0	0	SOFTWARE			
5069																			0	0	884	5061	1142	2505	1275	0	0	0	0	1672	0	0	0	0	0	0	Accounts Receivable			
5135																			0	1289	1498	12812	224	342	88	0	0	0	0	5332	0	0	0	4351	0	0	fifth third/atm clearing			
5210																			0	3903	3192	49435	0	7201	5337	0	0	0	0	3136	0	0	0	26514	0	5489	Prepaid Pension			
5461																			0	1988	0	9047	0	4496	1748	2000	0	0	0	1812	0	0	0	751	0	0	QZAB	PFRD STOCK-R HOUSING CRIME PREV FDTN		
5751																			0	626	0	5984	133	172	0	0	0	0	0	1171	0	0	0	2372	307	1336				
6039																			0	101	317	2361	0	1237	519	483	0	0	0	479	0	0	0	0	227	0	`DUE FROM USDA	DUE FROM HOLDING COMPANY		
6141																			0	0	23	500	86	86	0	0	0	0	0	391	0	0	0	0	0	0				
6329																			631	519	2977	13044	525	2176	0	0	0	0	0	2337	0	0	0	2379	0	2656				
7009																			0	0	460	9815	0	7081	6231	0	0	0	0	2274	0	0	0	0	0	0	Receivables			
7045																			11	725	535	2670	229	528	0	0	0	0	0	882	0	0	0	0	0	0				
7072																			0	1276	3344	8239	324	3094	2291	0	0	0	0	525	0	0	0	0	0	0	Deferred Compensation			
7157																			0	23	11	518	0	110	87	0	0	0	0	374	0	0	0	0	0	0	LEASE CONTRACTS RECEIVABLE			
7456																			0	359	0	1207	0	56	36	0	0	0	0	792	0	0	0	0	0	0	Prepaid Health Insurance			
7634																			0	71	0	516	141	206	0	0	0	0	0	239	0	0	0	0	0	0				
8033																			0	1393	162	3975	74	184	38	72	0	0	0	1135	0	0	0	1101	0	0	ATM/CHECK CARD SUSPENSE	OTHER ASSETS		
8462																			0	21	0	649	0	26	0	0	0	0	0	602	0	0	0	0	0	0				
8631																			8	125	129	2559	63	71	0	0	0	0	0	165	0	0	0	2069	0	0				
9357																			0	628	0	1709	0	199	0	0	0	0	0	882	0	0	0	0	0	0				
9553																			0	2159	0	7138	123	519	396	0	0	0	0	2198	0	0	0	1469	0	793	Nebraska Fund XV Investment			
9807																			0	18005	0	130248	0	9518	2248	1500	4300	0	0	7383	332	0	0	0	95342	0	SETTLEMENT CLAIM	MADISON CROSSING PERFORMANCE BOND	ESCROW AFFORDABLE HOUSING CONSTRUCTION	
9955																			0	841	32	1943	60	85	0	0	0	0	0	985	0	0	0	0	0	0				
10250																			47	876	9201	11939	413	682	207	0	0	0	0	904	0	0	0	276	0	0	Computer Software			
10849																			0	549	2077	5248	136	568	0	0	0	0	0	991	349	0	0	1063	0	0				
10858																			0	1453	650	4695	299	470	0	0	0	0	0	2122	0	0	0	0	0	0				
11145																			73	1456	360	6029	209	309	27	0	0	0	0	459	0	0	0	1171	0	2274	Brownsfield			
11275																			0	4812	10507	58238	0	7065	2204	0	0	0	0	3107	0	0	0	19789	12958	0	Accounts receivable			
