"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37													289		180	0					35	74	0						
242													25		0	0					25	0	0						
279													1453		732	0					112	609	0						
354													4		0	0					4	0	0						
457													207		0	0					17	190	0						
505													4211		1802	378					72	1866	93						
1155													2049		1514	0					118	417	0						
1351													695		49	0					311	335	0						
1454													3256		2648	0					53	555	0						
1669													275		84	0					64	127	0						
1856													198		93	0					67	38	0						
2040													830		340	0					137	353	0						
2161													2285	0	1351	0	0	0	0	0	37	897	0	1351	0				
2376													69337	0	35105	0	0	0	0	0	1053	33179	0	23575	0				
2554													23		0	0					23	0	0						
2732													3120		827	0					378	1915	0						
2750													469		231	0					40	188	10						
3252													348		5	0					170	173	0						
3458													217		44	13					59	101	0						
3720													2147		12	0					42	2093	0						
3971													10633		3913	0					471	6234	15						
4156													751		453	0					148	150	0						
4231													307		0	0					94	213	0						
5069													9342		2202	0					758	6055	327						
5135													3121		1121	0					324	1676	0						
5210													10827	0	7547	0	0	0	0	2330	1254	1945	81	2819	0			Deferred Director's Fees	
5461													5582		4297	0					17	1086	182						
5751													1862		1454	0					61	347	0						
6039													2274	0	142	0	0	0	0	0	221	1911	0	0	0				
6329													7409		3013	0	697				447	3949	0	2248					
7009													10284		27	110					398	9749	0						
7045													654	0	0	0	0	0	0	0	58	596	0	0	0				
7072													5014		3926	0					29	1059	0						
7456													226		32	0					38	156	0						
7634													176		0	0					52	124	0						
8033													3329		2742	0					434	153	0						
8462													269		0	0					164	100	5						
8631													694		620	0					15	59	0						
9357													2601		1902	0					12	687	0	1710					
9553													1233		4	0					60	1169	0						
9807													5688		438	0		168	146		2551	1949	750		18	REVERSE MORTGAGE MIP	FEES COLLECTED COMMERCIAL MORTGAGE		
9955													218		0	0					34	184	0						
10250													1440		242	0					134	1064	0						
10849													515		17	0					124	374	0						
11145													1910		194	0		194			72	1644	0			Great Lakes Capital Fund			
11640													2906		1262	0					459	1185	0						
11837													232		15	0					17	200	0						
12030													3608		3096	0					124	388	0						
12142													3637		3497	0					101	39	0						
12179													588		569	12					1	6	0						
12311	1463212	0	868321	165719	393448	0	0	0	307570	97243	0	0									24359								
12647													306	0	0	0	0	0	0	0	50	256	0	0	0				
12656													34		0	1					11	22	0						
12937													2303		211	1696					193	203	0						
12946													14780		10999	0					646	3135	0	8520					
13103													36654		30017	0					549	6069	19			Defined Benefit Retirement Plan Liability			
13251													213		204	0					9	0	0						
13457													146		129	0					3	14	0						
14052													53		3	0					10	40	0						
14155													1363		807	26					97	433	0						
14650													456		302	0					2	152	0						
14753													112		0	48					60	4	0						
14865													2792		1909	0					69	789	25						
14977													147	0	12	0	12	0	0	0	40	95	0	0	0				
16551													622		3	0					154	465	0						
16748													654		484	0					31	124	15						
17110													5725	0	732	0	107	228	363	0	226	4717	50	0	0	DEFERRED TENANT IMPROVEMENT LIABILITY	DEFERRED RENT LIABILITY		
17147													52172	0	15891	0	0	0	0	0	2673	33608	0	0	13763				
17259													1755		1385	0					32	338	0						
17950													2108		1578	0					207	187	136						
17978													257		250	0					5	2	0						
18050													4043		2132	0					202	1709	0						
18135													801		0	5					61	735	0						
18827													7570	0	2430	0	0	1548	804	0	336	4796	8	0	0	PENSION LIABILITY	NET DERIVATIVE LIABILITY		
18836													2002		977	0					96	929	0						
18854													3567		2314	0		838			560	693	0			Cashier's Checks Outstanding			
19356													232		114	0					40	78	0						
19936													1362		1275	0					72	15	0						
19972													1252		1154	0					2	96	0						
20053													359		0	0					71	288	0						
20633													2862		0	0					119	2743	0						
20857													199		0	0					40	159	0						
21256													8		0	0					8	0	0						
21359													117		71	0					8	38	0						
21658													1622		1224	0					127	271	0	1224					
22048													1594		999	0					188	407	0						
22543													316		101	78					14	123	0			Accrued Salaries Payable			
22552													669		479	0					102	88	0						
22730													682		269	0					12	384	17						
22936													573		292	0					61	220	0						
23456													628		0	0					263	365	0						
23504													42374	0	22746	0	0	9620	0	0	264	19088	276	6091	0	DUE TO BANKS			
23643													304		126	0					124	54	0						
23755													1438		561	0					41	836	0						
24006													7655		3992	0					148	3515	0			Suspense Payable			
24378													137		0	0					1	136	0						
24453													997		30	0					73	894	0						
24659													340		219	0					13	108	0						
24668													7846		4897	0		3992			1509	1440	0			Escrow Mtg Loans			
24949													3437		2566	0					164	707	0						
25357													907		0	0					256	651	0						
25647													922		51	0					158	713	0						
26176													1822		562	0					215	996	49						
26242													1196		0	0					183	961	52						
26457													53		0	0					10	43	0						
26765													2112		227	0					88	1163	634						
27070													1558		363	0					424	771	0						
27548													5577		2809	0		1548			293	2475	0	1240		Securities purchased not yet settled			
27614													2441		1670	0					155	616	0						
27847													2722		1335	0					254	1133	0						
28013													33837		27252	0					1039	5062	484	17403					
28152													1024		980	0	126				13	31	0	696	144				
28255													2365		1777	0					250	316	22						
28406													41621		6566	0		2698			1158	33897	0			DUE TO PARENT			
28675													654		1	261					48	344	0						
28732													1529		1319	0					55	155	0						
29476													640		311	0					107	222	0						
29636													10367		8924	0					246	1197	0	8924					
29878													25375		25117	0		15	5277		39	219	0	19825		Abandoned Property	Minimum Liability Pension		
30052													174		105	30					16	23	0						
30502													4834	0	2673	0	0	0	0	0	176	1856	129	0	2086				
30650													370		23	0					86	261	0						
30810	3771827	0	1236714	0	0	1181839	0	0	2416950	0	0	0									118163					Merchant Settlement			
31134													1825		1470	0	38	666	479		109	246	0			Index Liability Plan	Split Dollar Ins Liability		
31255													7528	0	1609	0	0	258	267	974	273	5646	0	0	0	92410188473547	92410188473545	Factored loans collected reserves	
31657													316		204	0					36	76	0						
31826													2787		2355	0					180	252	0	1560					
31835													5305		2845	0					72	2388	0						
32234													1466		1197	0					168	101	0						
32766													80		0	0					2	78	0						
32971													2350		1945	0					184	221	0						
33147													899		26	0					197	676	0						
33259													6637		4403	0					644	1590	0						
33268													449	0	301	0	295	0	0	0	27	121	0	6	0				
33370													143		143	0					0	0	0						
33839													80		12	60					8	0	0						
33857													2125		3	0					388	1734	0						
34425													6074	0	3048	0	0	1039	943	0	179	2727	120	0	0	Pension Plan Liability	VCDC Liability		
34434													5028		4718	0					199	111	0						
34452													353		4	0					64	285	0						
34537													33449		21370	0	9210				744	11269	66	10122					
34555													2788	0	2547	0	0	0	0	0	241	0	0	2389	0				
34742													4087		2437	0					463	1187	0						
35057													355	0	32	20	0	0	0	0	84	219	0	0	0				
35301	23380065	0	20907307	297797	0	8504860	8064810	0	2157377	14553	0	0									3031					Obligation to return Non cash collateral received	Collateral deposits		
35570													130862	0	62633	0	0	47900	0	0	9833	57421	975	0	0	Pension Liabilities			
35646													512		345	0					46	121	0						
35879													1275		490	0					176	609	0						
36456													430		0	0					76	354	0						
36933													1000		662	0					112	226	0						
37051													180		77	15					83	5	0						
37341													327		221	0					70	36	0						
37435													6105		862	0		470	392		386	4857	0			Deferred Income	Mortage Escrow Payable		
37640													19381	0	4616	763	0	0	0	0	933	13069	0	1720	0				
37659													711	0	690	0	0	0	0	0	12	9	0	690	0				
37949													295		0	0					103	192	0						
38740													920		136	0					128	656	0						
39327													715		491	0					20	204	0						
39756													4241		2198	0					329	1714	0						
40033													1525		1426	0					15	84	0						
40499													51151		33683	0					159	17309	0	16893					
40855													454		0	0					185	269	0						
41245													345		276	0					69	0	0						
41553													404		0	0					12	392	0						
41629													1203		0	0					150	1053	0						
41825													4177	67	642	0	2				121	2913	501	573					
41937													38		0	5					23	10	0						
41955													37		0	0					10	27	0						
42037													210		3	0					18	189	0						
42354													472		112	0					16	344	0						
42372													1952		1819	0					18	115	0						
42420													46607	4464	15830	0					676	24878	5223		9411				
42448													5912	0	2338	0	0	1458	0	0	2072	1176	326	0	0	ATM SETTLEMENT			
42457													279		0	50					31	198	0						
43052													189		4	0					41	144	0						
43351													1696		71	41					592	992	0						
43856													617		582	0					4	31	0						
43959													335		0	0					37	269	29						
44040													1739		7	0					61	1671	0						
44433													950		246	0	172				148	350	206						
44741													1463		190	0					34	1239	0						
44750													328		12	0					136	180	0						
44929													838		4	540					61	233	0						
45038													319	0	39	0	0	0	0	0	58	222	0	0	0				
45047													414		11	0					84	319	0						
45056													399		0	161					13	225	0						
45430													3057		2746	0					41	270	0						
45458													1025		632	0					36	357	0						
45551													3940		2708	142					410	680	0	2114					
45560													16438		8033	0					304	8101	0	7347					
45775													2764		2747	0					17	0	0						
46053													1685		1195	0					109	381	0						
46941													877		267	50					72	488	0						
47247													3440		798	42					141	2459	0	784					
47256													84		0	0					35	49	0						
47452													523		437	0					25	61	0						
47500													1567		177	303					13	916	158						
48057													1797		1639	0					76	82	0						
48150													74		0	6					59	9	0						
48374													4393	0	770	0	387	0	0	0	359	3264	0	0	0				
48440													1416		1154	0					62	200	0						
49054													875		237	0					154	484	0						
49148													1625		1397	0					22	206	0						
49241													5729		4756	0					426	467	80						
49652													183		56	0					49	78	0						
49858													1306		565	0					125	616	0						
49951													384		184	17					60	123	0			Unfunded pension plan benefits			
50144													1424		0	0					159	1265	0						
50461													701		71	0		67			30	500	100			OREO Security deposit			
50872													255		107	0					15	133	0						
51253													3258	0	2192	0	0	1681	0	0	425	641	0	0	0	Deferred Gain on Sale of ORE			
51356													51		0	0					36	15	0						
51459													1038		411	3					170	454	0						
51842													3809		984	0					911	1914	0	843					
52719													3035597	0	3033981	0	0	1767803	1248724	0	0	1616	0	0	0	Participant Fund Cash	Payable to Participants		
52951													806		103	0					211	492	0						
53051													38		0	0					24	14	0						
53752													71		47	0					24	0	0						
54049													227		5	0					87	135	0						
54058													1219		639	0		189			580	0	0			Accrued Bonus/FICA Payable			
54441													2018		1554	0					193	271	0	1554					
54656													4217	0	1307	0	0	0	0	0	2123	787	0	1088	0				
54973													71699		7834	0		3956	2818		906	61218	1741			Pension Liability	Deferred Income		
55336													1526		907	138					41	440	0						
55635													842		266	0					77	499	0						
55653													422		363	0					15	44	0						
55970													1721		70	0					5	1596	50						
56258													425		0	0					44	381	0						
56351													13205		4436	0		3221			278	8017	474			Management incentive accruals			
56548													4452		25	0					1323	3104	0						
56557													34801		11950	0					129	22640	82		6525				
56717													9694		6410	0					199	3085	0						
57040													178	0	0	0	0	0	0	0	116	62	0	0	0				
57451													2141		0	0					632	1509	0						
58225													801		21	0					148	632	0						
58243													46711		13387	0	2855				2466	30558	300	3063	5956				
58355													63		28	0					35	0	0						
58551													1141		1058	23					60	0	0						
58636													5470		1884	0					132	3454	0						
58757													3239		2817	0					121	301	0						
58971													49020		23724	0					1468	22828	1000	19312					
59316													11060	1379	4092	0					1659	5309	0	2553					
59352													901		0	0					172	729	0						
59370													310		223	0					1	86	0						
59754													44		36	0					5	3	0						
60143	873998	0	400827	0	0	309712	0	0	439352	32311	0	0									1508					Pension plan liability			
60330													4354	0	3242	0	0	0	0	0	154	958	0	2115	0				
60545													595		0	0					326	269	0						
60554													88		0	0					8	80	0						
60648													2011		1241	0					65	705	0						
61122													16696		13817	0					143	2670	66	7760					
61355													12026		61	0					860	10858	247						
61476													1115		170	0					12	924	9						
61757													397		130	0					102	165	0	114					
61832													2721		2232	0					50	439	0			Contracts Payable			
61953													269		91	0					8	170	0						
62044													347		326	0					14	7	0						
62110													1671		340	0					0	1331	0						
62147													215		63	0					8	144	0						
62772													4398		1137	0					429	2832	0						
63050													4028		3374	0					18	636	0						
63069	1036753	0	508923	0	0	199408	0	0	494537	32787	177124	0									506					Affordable Housing Unfunded Commitment			
63201													2594		2508	0					18	22	46						
63573													2726		1576	0					35	1115	0						
63733													4197	0	1454	0	0	610	0	0	484	2244	15	758	0	Carholder Settlement for Debit Cards			
63742													4678		612	0					153	3528	385		565				
63751													4		0	0					4	0	0			ORE CONTRACT PAYMENTS			
64150													683		647	0					36	0	0						
64552													2627		1690	477	131				88	372	0	46		CDFI Award - DPA			
64730													993		585	0					31	377	0						
65205													3394		461	107					36	2790	0						
65513	3116	0	638	0	628	10	0	0	2290	0	0	0									188					Other lLiabilities			
65559													5160		4506	0					151	503	0	4429					
65746													5839	0	3154	0	0	794	0	0	628	2057	0	2305	0	Escrow Payable			
65858													10063		650	0	418				246	9167	0						
66154													1989		35	0					103	1851	0						
66275													997		754	0					128	115	0						
66677													1388		588	456					1	343	0	475					
67142													352		45	0					100	207	0						
67151													6433		4802	0					199	1432	0						
67209													10114		7328	0					0	2375	411						
67254													120		0	0					0	120	0						
67656													15054		8690	0		7319			156	4544	1664			NET DEFERRED ANNUAL FEE			
67870													5440		5012	0					28	400	0						
68448													961		146	150					75	590	0						
68671													7806		7509	0					178	119	0						
68756													3262	0	1927	0	0	0	0	0	197	1138	0	1871	0				
68831													564		0	0					20	544	0						
68840													2044		1022	0					80	942	0						
69333													3857	0	0	0	0	0	0	0	683	3174	0	0	0				
69678													763		221	0					13	529	0						
70058													1430		1158	0					48	224	0						
70218													620	0	3	0	0	0	0	0	70	466	81	0	0				
70414													3533		200	0					123	3210	0						
70638													1001		228	0					135	638	0						
70955													225		0	73					6	146	0						
71073													135		14	0					20	101	0						
71318													7454		2237	0		1899			272	4559	386			Prepaid Pension			
71457													1325		513	0					174	638	0						
71859													1045		0	31					2	1012	0						
72258													1417		0	0					316	1101	0						
72351													306		0	0					32	274	0						
72454													530		0	6					183	341	0						
72678													473		30	0					5	438	0						
73116													9514		292	0					19	9203	0						
73152													1009		918	0					51	0	40						
73554													943		130	0					93	720	0						
73956													198		178	0					20	0	0						
74056													1859	0	1115	358	0	873	0	0	64	322	0	242	0	NE MHEG FUND LIABILITY			
74140													4512		1611	0		748	537		496	2405	0			Unearned Contract Income	Low Income Housing Investment Obligation		
74403													5071		3391	0	954		355	1175	119	1354	207	906			ATM Settlement	SERP	
74449													20		0	0					10	10	0						
75053													1314		1114	0		511			169	31	0			Accrued income taxes			
75259													1665		1155	0	125				319	191	0	486		Escrow Payable			
75446													1371		0	0					368	1003	0						
75455													73		3	0					25	45	0						
75558													2040		1464	0					102	424	50						
75633	1621483	0	799719	0	509387	0	0	0	650605	98503	0	0									72656								
75651													164		0	22					49	93	0						
76153													293	0	68	163	68	0	0	0	11	51	0	0	0				
76443													515		0	0					8	507	0						
76854													1085		249	0					329	507	0						
77150													319	0	81	0	0	0	0	0	69	169	0	0	0				
77253													1272		786	0					53	329	104						
77422													2475		2276	0					40	159	0						
77851													22647	0	14198	0	0	0	0	0	1727	6722	0	12404	0				
78157													112		0	0					2	110	0						
78241													47		0	0					33	14	0						
78559													206		59	114					15	0	18						
79042													1288		553	0	385				379	356	0						
79127													492		297	0					16	158	21	295					
79145													1070		389	0					166	515	0						
79257													32		0	0					12	20	0						
79855													498		0	0					54	444	0						
80150													1717		79	0					108	1530	0						
80374													622		49	0					0	573	0						
80431													424		1	0					95	328	0						
80552													43		1	0					11	31	0						
80936													1092	0	822	0	0	0	0	0	7	263	0	646	0				
81175													4189		3319	0					126	744	0						
81429													1387		1132	0					25	153	77						
82033													564		192	0		129			52	320	0			Accrued Retirement plan			
82257													685		496	0					30	109	50						
82350													602		442	0					29	131	0						
82659													194	0	0	0	0	0	0	0	137	57	0	0	0				
83151													1347		761	0					282	304	0						
83236													24		15	0					6	3	0						
83375													7627		4416	0					193	3018	0						
83638													58188		16883	0					4058	35337	1910						
83834													2714	0	2362	0	0	755	0	0	23	329	0	1486	0	Investor Remittance - CLA Participation			
83852													130		30	0					26	74	0						
83955													192		0	0					67	125	0						
84046													39		7	0					29	3	0						
84541													7078		4842	0		120			311	1925	0	4722		Trotter Earn-Out			
84804													271		158	0					4	109	0						
85052													533		50	0					335	148	0						
85258													428		98	10					232	88	0						
85454													141		0	0					55	86	0						
85472													42075		11034	0		3081			455	29579	1007			Federal Taxes Payable			
85931													2126		1769	0					106	251	0						
86349													3631		2505	0					75	1051	0						
86358													164	0	0	143	0	0	0	0	20	1	0	0	0				
86554													150		0	0					25	125	0						
86675													2879		878	0					15	1835	151						
87047													705		410	0					67	228	0						
87159													284		182	0					95	7	0						
87234													3642		1661	0					809	1157	15						
87476													728		150	0					3	487	88						
87579													3691		2025	0					30	1636	0	1999					
88231													9508	0	6043	0	535	2902	0	0	107	3358	0	0	322	Allowance for loan repurchases			
88240													77		0	0					46	31	0						
88259													572		490	0					77	5	0						
88352													643	0	323	0	323	0	0	0	76	244	0	0	0				
88455													1866		365	0					215	1286	0						
88950													90		14	0					48	28	0						
89032													917	0	0	0	0	0	0	0	163	754	0	0	0				
89135													1873		1644	0					13	216	0						
89854													1251		1123	0					99	29	0						
89957													259		0	0					46	195	18						
90047													62		3	3					20	36	0						
90177													1413		320	172					0	921	0						
90328													2914		1984	0					184	716	30						
90337													3925	0	2827	0	0	0	0	0	521	577	0	2786	0				
90579													3602		2589	0					50	963	0						
91615													331	55	55	0					31	245	0						
91754													4070	0	2228	0	70	0	0	0	1294	548	0	2150	0				
91950													1037		947	0					24	66	0						
92144													40		0	0					40	0	0						
92676													2838		1920	0		1519			37	834	47			Liability for Pension & Postretirement benefits			
92706													4995		4812	0					36	87	60						
92902													36		10	5					1	20	0						
93244													398		0	0					125	273	0						
93543													3375		1297	0					540	1538	0						
93619													213	0	0	84	0	0	0	0	0	129	0	0	0				
93758													244	0	0	0	0	0	0	0	91	153	0	0	0				
94139													9563		7972	0					189	1319	83						
94522													2784		2271	0					228	285	0						
94755													273		209	0					64	0	0						
94858													612	0	291	0	0	0	0	0	88	233	0	0	0				
95051													1468	0	1088	0	0	821	0	0	43	337	0	0	0	Participation Program Net Deferred Annual Fees			
95677													404		360	0					0	0	44						
96553													266		1	0					54	211	0						
97055													844		197	0					184	463	0						
97279													95		0	13					16	66	0						
97457													150		0	0					52	98	0						
97804													12027		2071	0					473	9180	303						
97943													1673		523	0					171	979	0						
98351													768		0	509					22	237	0						
98463													7412		1328	0		699			3	5779	302			LIHTC			
98717													1463	0	141	0	0	0	0	0	797	520	5	0	0				
99143													3132		2321	0					80	731	0						
99255													1474	0	1424	0	0	0	0	0	25	25	0	1424	0				
99376													15933		1795	0	625	816	300	4	279	13307	552		50	Deferred Revenue	Reps and Warranty Reserves	Miscellaneous Liabilities	
99442													2400		1355	0					865	180	0						
99536													7909		6169	0					714	1026	0						
99853													198		189	0					9	0	0						
100236													3780		2963	0					152	665	0						
100357													7110		6530	0					210	370	0						
100562													83224	0	63492	0	0	37789	0	0	1063	16369	2300	0	0	SERP & Minimum Pension Liability			
100777													4441		3217	0					724	500	0						
100843													3765		2970	0					77	643	75						
101019	101818	0	38972	0	0	15352	11820	0	53008	441	9861	0									9397					Pension & Post Retirement Medical	Acceptances Outstanding		
101037													2260		766	0		470	271		456	1038	0			401 K Funding Liability	Unearned Network Fee Income		
101439													649		196	0		196			86	367	0			ATM SETTLEMENT PAYABLE			
101671													6077		5373	0					220	479	5	2105					
101738													558		89	0					91	378	0						
101952													348		0	0					22	326	0						
102155													432		366	0					23	43	0						
102333													160		36	0					29	95	0						
102342													1176		122	0					625	429	0						
102539													65		49	0					16	0	0						
102557													278		30	0					63	185	0						
102874													1026		540	0	307	218			94	392	0			Suspense Account			
103134													161	0	0	36	0	0	0	0	21	104	0	0	0				
103255													23379	0	1090	0	0	0	0	0	1763	19992	534	0	0				
103563													19		0	0					11	8	0						
104234													631		262	0					10	359	0						
104542													334		234	3					97	0	0						
104971													57		6	0					2	49	0						
105026													2607		1295	0					225	1069	18						
105222													823		213	0					68	542	0	197					
105473													16082	0	8491	0	0	0	0	0	82	7256	253	5400	0				
105530													2539		2132	0					35	372	0						
106359													8134		756	0					331	6097	950	740					
106452													1919		846	0					24	923	126						
