"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJJ26	RIADJJ27	RIADJJ28	RIADKW17	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	DISCONTINUED OPERATIONS AND APPLICAB	DISCONTINUED OPERATIONS AND APPLICAB	DISCONTINUED OPERATIONS AND APPLICAB	DISCONTINUED OPERATIONS AND APPLICAB	Adoption of Current Expected Credit 	Initial allowances for credit losses	Effect of adoption of current expect	Effect of adoption of lease accounti	INCOME AND FEES FROM WIRE TRANSFERS	OTHER REAL ESTATE OWNED EXPENSES	INSURANCE EXPENSES (NOT INCLUDED IN 	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	DISCONTINUED OPERATIONS AND APPLICAB	DISCONTINUED OPERATIONS AND APPLICAB	
37	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	114	150	0	0	0	0	0	0	0	0	0	0					0	0	0																
242	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
279	58	0	258	75	CONF	11	0	0	520	0	0	0	0	0	0	false	76	0	0	35	103	23	579	715	90	0	95	0	21	20	0	0	0	0					77	0	61	Penalties on CD WD			Outside Services												
354	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0					0	0	0																
457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0					0	0	0																
505	300	0	0	0	CONF	0	0	0	0	907	0	0	0	0	0	false	0	0	0	0	133	0	0	895	0	692	0	0	353	0	0	0	0	0					0	0	0					Liability Insurance											
1155	591	0	156	0	CONF	50	274	0	487	175	121	0	0	0	0	false	0	0	0	0	156	0	48	418	95	751	0	0	59	0	0	0	0	0					0	0	0	Exchnage	ICS Fee Income		Debit Card Expense	Internet Banking, Bill Pay, Mobile Banking	Travel & Meeting										
1351	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
1454	919	0	437	0	CONF	404	0	0	605	0	0	0	0	0	0	false	426	0	0	0	0	0	0	446	0	2280	0	0	828	0	0	0	0	0					0	0	0	MORTGAGE LOAN SERVICE FEES			ONLINE BANKING EXPENSE												
1669	51	0	67	5	CONF	0	0	0	0	0	0	0	0	0	0	false	72	0	0	23	300	37	0	780	88	799	68	0	201	63	0	0	0	0					0	0	0																
1856	34	0	75	21	CONF	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	0	2	23	14	20	0	13	26	0	20	0	0	0	0					0	0	0																
2161	0	0	0	0	CONF	0	0	0	0	0	0	2430	2323	0	0	false	0	0	0	0	104	0	0	509	0	476	0	0	376	0	0	0	0	0					0	0	0							Previous Qtr Stock Changes	Current Qtr Stock Changes								
2732	426	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	908	0	0	224	0	0	0	0	0	0	0					0	0	0																
2750	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0					0	0	0																
3252	0	0	0	0	CONF	0	0	0	354	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	165	0	133	0	0	0	0	0					0	0	0				Computer Exp- In House												
3458	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0					0	0	0																
3720	221	31	211	0	CONF	482	0	0	0	0	0	0	0	0	0	false	0	0	0	0	215	0	97	1016	0	0	155	157	109	98	0	0	0	0					0	0	0	Check Card Income															
3971	0	0	0	0	CONF	1878	0	0	1271	0	0	0	0	0	0	false	0	0	0	0	476	0	0	917	0	1394	0	0	886	1658	3378	881	0	0					0	0	0	Third party IT and other outsourced services income			Computer software expenses										Exited and wound down the operations of the Bank's Consumer Banking Division.		
4156	0	0	0	0	CONF	0	0	0	206	170	0	0	0	0	0	false	0	0	0	0	160	0	0	281	0	435	0	0	243	226	0	0	0	0					0	0	0	Mortgage Banking			Internet Banking	Information Technology - BankOnIT											
4231	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	377	0	150	0	0	153	0	0	0	0	0					0	0	0																
5069	117	0	700	0	CONF	0	0	0	489	0	0	0	0	0	0	false	0	0	0	0	0	0	0	217	0	0	253	0	0	0	0	0	0	0					0	0	0				Provision for off-balance sheet loss												
5135	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	169	0	524	0	205	0	0	0	217	263	0	0	0	0					0	0	0																
5210	0	0	748	0	CONF	0	0	0	1121	0	0	0	0	0	0	false	0	0	0	0	1160	0	0	676	0	2444	0	1104	1023	639	0	0	0	0					0	0	0				PA Shares Tax												
5461	0	0	0	0	CONF	253	0	0	935	0	0	0	0	0	0	false	0	0	0	0	242	0	0	1280	0	578	0	0	0	0	0	0	0	0					0	0	0	Cash Management			Transportation												
5751	0	0	0	0	CONF	0	0	0	212	0	0	0	0	0	0	false	0	0	0	0	0	0	0	542	0	189	0	0	0	293	0	0	0	0					0	0	0				Trust Accounting & Software Expense												
