"IDRSSD"	RCONH275	RCONH276	RCONH277	RCONH278	RCONH279	RCONH280	RCONH281	RCONH282	RCONH283	RCONH284	RCONH285	RCONH286	RCONH287	RCONH288	RCONH290	RCONH291	RCONH292	RCONH293	RCONH294	RCONH295	RCONH296	RCONH297	RCONH298	RCONH299	RCONH300	RCONH301	RCONH302	RCONH303	RCONH304	RCONH307	RCONH308	RCONH309	RCONH310	RCONHJ74	RCONHJ75	RCONHJ76	RCONHJ77	RCONHJ78	RCONHJ79	RCONHJ80	RCONHJ81	RCONHJ82	RCONHJ83	RCONHJ84	RCONHJ85	RCONHJ86	RCONHJ87	RCONHJ88	RCONHJ89	RCONHJ90	RCONHJ91	RCONHJ92	RCONHJ93	RCONHJ94	RCONHJ95	RCONHJ96	RCONHJ97	RCONHJ98	RCONHJ99	RCONHK00	RCONHK01	RCONJA21	RCONJJ30	RCONJJ31	RCONJJ32	RCONS396	RCONS397	RCONS398	RCONS399	RCONS400	RCONS402	RCONS403	RCONS405	RCONS406	RCONS410	RCONS411	RCONS413	RCONS414	RCONS415	RCONS416	RCONS417	RCONS419	RCONS420	RCONS421	RCONS423	RCONS424	RCONS425	RCONS426	RCONS427	RCONS428	RCONS429	RCONS431	RCONS432	RCONS433	RCONS434	RCONS435	RCONS436	RCONS437	RCONS439	RCONS440	RCONS441	RCONS442	RCONS443	RCONS445	RCONS446	RCONS447	RCONS449	RCONS450	RCONS451	RCONS452	RCONS453	RCONS454	RCONS455	RCONS457	RCONS458	RCONS459	RCONS460	RCONS461	RCONS462	RCONS463	RCONS466	RCONS467	RCONS469	RCONS470	RCONS471	RCONS475	RCONS476	RCONS477	RCONS478	RCONS479	RCONS480	RCONS481	RCONS482	RCONS483	RCONS484	RCONS485	RCONS486	RCONS487	RCONS488	RCONS489	RCONS490	RCONS491	RCONS492	RCONS493	RCONS494	RCONS495	RCONS496	RCONS497	RCONS498	RCONS499	RCONS500	RCONS503	RCONS504	RCONS505	RCONS506	RCONS507	RCONS510	RCONS511	RCONS512	RCONS513	RCONS514	RCONS515	RCONS516	RCONS517	RCONS518	RCONS519	RCONS520	RCONS521	RCONS522	RCONS523	RCONS524	RCONS525	RCONS526	RCONS527	RCONS528	RCONS529	RCONS530	RCONS531	RCONS539	RCONS540	RCONS541	RCONS542	RCONS543	RCONS544	RCONS545	RCONS546	RCONS547	RCONS548	RCONS549	RCONS550	RCONS551	RCONS552	RCONS554	RCONS555	RCONS556	RCONS557	RCONS558	RCONS559	RCONS560	RCONS561	RCONS562	RCONS563	RCONS564	RCONS565	RCONS566	RCONS567	RCONS568	RCONS569	RCONS570	RCONS571	RCONS572	RCONS573	RCONS574	RCONS575	RCONS576	RCONS577	RCONS578	RCONS579	RCONS580	RCONS581	RCONS582	RCONS583	RCONS584	RCONS585	RCONS586	RCONS587	RCONS588	RCONS589	RCONS590	RCONS591	RCONS592	RCONS593	RCONS594	RCONS595	RCONS596	RCONS597	RCONS598	RCONS599	RCONS600	RCONS601	
1669																																																																																																																																																																																																																																																	
1856																																																																																																																																																																																																																																																	
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8764				0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54305	0	0	53760	545	0	0	0	0	0	0	0	0	0	0	113256	0	0	0	0	113256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5915	1183	1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																																																																																	
2750																																																																																																																																																																																																																											48212	0																					
3252																																																																																																																																																																																																																											130193	0																					
3458																																																																																																																																																																																																																											46613	0																					
3720																																																																																																																																																																																																																																																	
3971																																																																																																																																																																																																																											683847	0																					
4156																																																																																																																																																																																																																																																	
4231																																																																																																																																																																																																																																																	
5069																																																																																																																																																																																																																											331882	0																					
5135																																																																																																																																																																																																																																																	
5210																																																																																																																																																																																																																											1701480	0																					
5461																																																																																																																																																																																																																																																	
5751																																																																																																																																																																																																																																																	
6039																																																																																																																																																																																																																																																	
6329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2767	2767	0	0	2767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55248				0	0	0	0	0	836	0	0	0	0	0	6765	0	0	6765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157256	0	0	146073	11183	7459	0	7459	3261	0	0	0	0	0	3261	707926	0	101775	0	0	606151	0	0	0	1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13932	10746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52026	10405	0	0	3298	7107	0	0	2557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10746	0	0	0	0	0	0	0	0	0	0	16119	0	0	0	0	0	0	0	796050	0	22639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																																																																																																																																																																																																																											425831	0																					
7045																																																																																																																																																																																																																																																	
7072																																																																																																																																																																																																																											237795	0																					
7456																																																																																																																																																																																																																											77963	0																					
7634																																																																																																																																																																																																																																																	
8033																																																																																																																																																																																																																																																	
8462																																																																																																																																																																																																																																																	
8631																																																																																																																																																																																																																																																	
9357																																																																																																																																																																																																																																																	
9553																																																																																																																																																																																																																																																	
9807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97349	180542	0	0	97349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365415				0	0	0	0	0	5193	0	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1469965	0	0	221292	1248673	107616	0	107616	11517	0	0	0	4279	7238	0	100475	0	100475	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-26363	107616	0	1293	0	0	0	0	0	0	0	35232	35232	35232	0	0	0	0	0	0	0	156695	31339	0	0	0	31339	0	0	0	0	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	107616	0	1293	0	0	0	0	0	0	0	0	161424	0	3879	0	0	0	0	0	2029310	0	20000	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955																																																																																																																																																																																																																																																	
10250																																																																																																																																																																																																																											308628	0																					
10849																																																																																																																																																																																																																																																	
11145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2659	2659	0	0	2659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25724				0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57754	0	0	55651	2103	0	0	0	577	0	0	0	0	0	577	171151	0	20492	1512	0	149147	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1957	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7196	1439	0	0	0	1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	0	0	0	866	0	0	0	0	0	0	0	205546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11640																																																																																																																																																																																																																																																	
11837																																																																																																																																																																																																																											60823	0																					
12030																																																														32916									125																												68510			66972	1538				138					103	35	271167		3615	46380	1367	219805																																125	35																				14588	2918				2918																																										303981	0																					
12142																																																																																																																																																																																																																																																	
12311																																																																											0	0																																																																																																																																																																					
12647																																																																																																																																																																																																																											118360	0																					
12656																																																																																																																																																																																																																											11023	0																					
12946																																																																																																																																																																																																																											1369982	0																					
13103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415653				0	0	0	0	0	6432	0	152662	2712	0	0	1114	0	0	1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806287	0	0	762488	43799	22658	0	22658	1843	0	0	0	0	0	1843	1273650	0	202981	16312	0	1054357	0	0	0	30678	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18912	24501	0	152662	40	2712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63303	12661	0	0	251	12410	0	0	0	0	4962	0	0	0	0	4962	0	0	0	0	0	0	0	0	0	0	0	0	24501	0	152662	40	2712	0	0	0	0	0	0	36752	0	457986	160	16272	0	0	0	2313703	0	0	516	78650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13251																																																																																																																																																																																																																											38816	0																					
13457																																																																																																																																																																																																																																																	
14155																																																																																																																																																																																																																																																	
14650																																																																																																																																																																																																																																																	
14753																																																																																																																																																																																																																																																	
14865																																																																																																																																																																																																																																																	
14977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8162	0	0	7975	187	0	0	0	0	0	0	0	0	0	0	31847	0	0	0	0	31847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7955	1591	0	0	0	1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16551																																																																																																																																																																																																																																																	
16748																																																																																																																																																																																																																																																	
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78826				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760	0	0	760	0	0	0	0	0	0	0	0	0	0	0	63396	0	0	0	0	63396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2293	2293	0	0	0	0	0	0	0	0	2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118990	35887	0	0	118990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1820809				0	0	0	0	0	97890	0	0	0	0	0	1090	0	0	1090	0	0	0	0	0	0	0	0	0	0	0	2093	0	0	0	0	2093	0	1414551	0	0	1409576	4975	107790	0	107790	52524	0	0	0	0	0	52524	7668968	0	901384	0	0	6767584	0	0	0	565624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536788	160314	0	0	0	0	0	0	0	0	0	187732	187732	0	0	0	187732	0	0	0	0	1450341	290068	0	0	546	289522	0	0	1050502	0	22190	0	0	11096	0	11094	0	0	0	0	0	0	0	0	0	0	0	0	160314	0	0	0	0	0	0	0	0	0	0	240471	0	0	0	0	0	0	0	10034206	0	84038	356835	1360308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17259																																																																																																																																																																																																																																																	
