"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADJ447	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	GAINS ON BARGAIN PURCHASE	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	7	0	26	7	CONF	9	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	false	14	0	0	4	0	8	53	74	22	0	0	41	0	26	6	0	MISC INCOME			CLEARING HOUSE FEES	BANK SECURITY AND IT												
242	0	0	38	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
279	22	0	104	2	CONF	19	0	0	15	21	178	0	0	0	0	0	0	0	0	0	0	false	29	0	0	15	59	5	185	221	44	0	0	40	0	12	13	0	Miscellaneous Income			Seminars and Training Expenses	Dues and Subscriptions	Outside Services											
354	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0																	
457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0																	
505	138	0	86	51	CONF	0	0	0	53	62	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	66	0	29	297	0	0	265	70	0	148	0	0				Online banking expense	OCC assessment												
1155	266	25	66	28	CONF	24	0	0	36	120	55	0	0	0	0	0	0	0	0	0	0	false	37	0	0	8	536	11	30	207	35	0	192	37	6	38	17	0	Exchange			OREO Expense	Debit Card Expense	Internet Banking, Bill Pay, Mobile Banking											
1351	16	0	17	15	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	27	0	0	0	0	5	110	0	21	0	0	21	0	0	47	0																	
1454	248	0	143	0	CONF	432	106	82	130	97	92	0	0	0	0	0	0	0	0	0	0	false	165	0	0	0	84	0	0	193	94	0	902	0	0	427	90	0	LETTER OF CREDIT FEE INCOME	MERCHANT DISCOUNT INCOME	HUMAN RESOURCES FEE INCOME	LOAN EXPENSE	ONLINE BANKING EXPENSE	OCC FEES											
1557	13	0	18	0	CONF	0	0	0	19	20	11	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	5	0	24	12	0	11	15	0	2	3	0				Recording & Expense	Management Fees	Insurance and Surety											
1669	23	0	24	12	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	44	0	0	11	186	25	104	302	40	0	186	41	0	49	41	0																	
1829	110	0	104	0	CONF	183	0	0	142	139	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	85	0	0	336	0	0	225	0	0	201	107	0	Mortgage Fees			Professional Fees	PA Shares TAx												
1856	10	0	24	6	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	5	0	0	0	0	1	10	13	13	0	0	3	45	0	7	0																	
