"IDRSSD"	RCFD0010	RCFD1395	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCFDF264	RCFDG591	RCFDG592	RCFDG593	RCFDG594	RCFDG595	RCFDG596	RCFDG597	RCFDG598	RCFDG599	RCFDG600	RCFDG601	RCFDG602	RCON0010	RCON1395	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	
1557																																																																																																																																																																																																	2665	0	0	12019	4655	57174	0	481	0	5585	58288	0	0	0	0	6009	0	0	67	979	0	0	481	481	328	20503	3397	1525	33341	0	0	0.0948	0.1515	0.1394	0.0000	0.0000	0.0000	5528	481	57	0	0	0	0	0	0	0	0	
1669																																																																																																																																																																																																	26745	0	0	68055	56531	243103	0	2984	0	44334	246213	151	0	0	0	43527	0	0	0	0	0	0	1388	1388	29937	101020	42768	10390	69436	0	0	0.171690	0.397659	0.384979	0.000000	0.000000	0.000000	42139	1388	1418	0	0	0	0	0	0	0	0	
1829																																																																																																																																																																																																	62069	0	0	0	74709	407934	0	3913	0	42272	411296	0	0	0	0	35275	0	0	59	1311	0	0	2967	2967	52790	79933	98404	8253	170215	0	0	0.0802	0.1492	0.1367	0.0000	0.0000	0.0000	32308	2967	1052	0	0	0	0	0	0	0	0	
1856																																																																																																																																																																																																	45737	0	0	9814	62507	157012	0	661	0	23129	161276	0	0	0	0	21997	0	0	0	5000	0	0	661	661	44619	73641	3344	1099	34276	0	0	0.1324	0.4137	0.4012	0.0000	0.0000	0.0000	21336	661	1695	0	0	0	0	0	0	0	0	
2040																																																																																																																																																																																																	5744	0	0	0	44714	200708	0	3153	0	20661	206060	0	0	0	0	22162	0	0	0	0	0	0	1897	1897	3647	40695	33135	9524	125781	480	0	0.0983	0.1478	0.1352	0.0000	0.0000	0.0000	20265	1897	396	0	0	0	0	0	0	0	0	
2161																																																																																																																																																																																																	15786	0	0	1	38966	128218	0	587	0	13822	129976	0	0	0	0	13746	0	0	0	35	0	0	587	587	1655	59838	29290	6947	37022	0	0	0.1012	0.2160	0.2068	0.0000	0.0000	0.0000	13159	587	663	0	0	0	0	0	0	0	0	
2376																																																																																																																																																																																																	133168	0	0	37610	595837	2550741	0	26514	0	417887	2531571	0	0	0	0	438588	0	0	609	0	-1043	0	23072	23072	21794	763863	186229	115489	1599567	0	0	0.1641	0.2381	0.2255	0.0000	0.0000	0.0000	415516	23072	3414	0	0	0	0	0	0	0	0	
2554																																																																																																																																																																																																	4365	0	0	732	314	11383	0	106	0	1140	10984	0	0	0	0	933	0	0	0	0	0	0	83	83	0	4964	1186	265	5049	0	0	0.0795	0.1411	0.1286	0.0000	0.0000	0.0000	850	83	1	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																																	58183	0	0	0	79879	514309	0	6016	0	75115	514595	0	0	0	0	77520	0	0	0	0	0	0	4613	4613	43056	94413	65082	9840	314866	0	0	0.141985	0.210876	0.198328	0.000000	0.000000	0.000000	72907	4613	1096	0	0	0	0	0	0	0	0	
2750																																																																																																																																																																																																	1297	0	0	0	17460	58919	0	668	0	5426	57813	0	0	0	0	5860	0	0	0	122	0	0	529	529	4683	12945	4432	2328	37432	0	0	0.0922	0.1390	0.1265	0	0	0	5331	529	95	0	0	0	0	0	0	0	0	
3252																																																																																																																																																																																																	5674	0	0	653	54843	152403	0	1506	0	19653	149420	0	0	0	0	19633	0	0	384	629	0	0	1060	1060	23246	54781	3104	3996	71698	0	0	0.1243	0.2327	0.2202	0.0000	0.0000	0.0000	18573	1060	1080	0	0	0	0	0	0	0	0	
3458																																																																																																																																																																																																	5994	0	0	2606	8789	32397	0	322	0	3290	33131	0	0	0	0	3513	0	0	0	0	0	0	307	307	0	8210	2860	1132	21522	0	0	0.096767	0.142927	0.130437	0.000000	0.000000	0.000000	3206	307	84	0	0	0	0	0	0	0	0	
3720																																																																																																																																																																																																	18651	0	0	3937	44830	190957	0	1517	0	28392	192302	0	0	0	0	28719	0	0	0	2595	0	0	1381	1381	22266	56012	28983	0	83704	0	208	0.142316	0.259162	0.246699	0	0	0	27338	1381	846	0	0	0	0	0	0	0	0	
3953																																																																																																																																																																																																	5974	0	0	0	4	115411	0	2763	0	8623	116909	0	0	0	0	9832	0	0	1149	0	0	0	1209	1209	6402	13267	10070	7806	88435	7747	0	0.073758	0.103338	0.090631	0	0	0	8623	1209	0	0	0	0	0	0	0	0	0	
4156																																																																																																																																																																																																	3047	0	0	0	32637	193039	0	2153	0	20271	191854	0	0	0	0	19333	0	0	0	9583	0	0	1655	1655	4036	49485	43436	12408	95605	132	0	0.093007	0.146598	0.134048	0	0	0	17678	1655	810	0	0	0	0	0	0	0	0	
4231																																																																																																																																																																																																	9228	0	0	0	33873	124691	0	855	0	14620	120190	0	0	0	0	15496	0	0	0	0	0	0	855	855	0	33460	22900	5397	69175	0	0	0.1218	0.1765	0.1668	0.0000	0.0000	0.0000	14641	855	-21	0	0	0	0	0	0	0	0	
4437																																																																																																																																																																																																	21153	0	0	380	79112	264797	0	3424	0	26583	261266	0	0	0	0	27454	0	0	0	4843	69	0	2064	2064	20054	69579	63733	12979	112981	0	0	0.0972	0.1677	0.1551	0	0	0	25390	2064	1124	0	0	0	0	0	0	0	0	
4839																																																																																																																																																																																																	5741	0	0	0	44050	314669	0	4642	0	31054	315885	39	0	0	0	33862	0	0	867	7633	0	0	3293	3293	14279	38874	30455	16049	235218	0	0	0.0968	0.1291	0.1165	0.0000	0.0000	0.0000	30569	3293	485	0	0	0	0	0	0	0	0	
5005																																																																																																																																																																																																	46723	0	0	272	50629	352359	125	2085	0	19885	360075	195	0	0	0	15873	0	0	0	0	0	0	2085	2210	46830	45991	116175	24843	140674	0	1924	0.038500	0.076313	0.065688	0.000000	0.000000	0.000000	13663	2210	1029	0	0	0	0	0	0	0	0	
5069																																																																																																																																																																																																	95431	0	0	0	33510	488278	53	20468	0	132041	480932	1072	0	0	0	136041	0	0	200	21	0	0	4982	5035	94994	1566	26517	33148	384650	0	0	0.272400	0.355327	0.342176	0.000000	0.000000	0.000000	131006	5035	1035	0	0	0	0	0	0	0	0	
5135																																																																																																																																																																																																	28586	0	0	0	24489	328769	0	3542	0	38231	324472	0	0	0	0	40289	0	0	0	7402	0	0	3217	3217	28298	27859	55792	14391	219132	0	0	0.1146	0.1568	0.1443	0.0000	0.0000	0.0000	37072	3217	117	0	0	0	0	0	0	0	0	
5210																																																																																																																																																																																																	41892	0	0	10038	206995	982544	5	14700	0	83631	976224	0	0	0	0	89747	0	0	6089	0	-2678	0	8355	8360	38176	176589	294322	62062	483375	825	0	0.0831	0.1355	0.1229	0.0000	0.0000	0.0000	81387	8360	4922	0	0	0	0	0	0	0	0	
