"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														123		30	48					45	0	0							
242														28		0	0					28	0	0							
279														1131		707	0					142	282	0							
354														44		34	0					10	0	0							
457														359		0	0					28	331	0							
505														5422		2812	721					199	1597	93							
1155														2050		1465	0					228	357	0							
1351														655		41	0					497	117	0							
1454														2806		2588	0					67	151	0							
1669														460		37	0					227	196	0							
1856														128		52	0					54	22	0							
2161														2551	0	1402	0	0	0	0	0	54	1095	0	1402	0	0				
2732														2024		504	0					776	744	0							
2750														573		430	0					54	79	10							
3252														282		1	0					196	85	0							
3458														221		11	77					61	72	0							
3720														2234		0	0					72	2162	0							
3971														10802		4129	0					584	6049	40							
4156														765		459	33					204	69	0							
4231														306		0	0					161	145	0							
5069														6806		2100	0					1189	2756	761							
5135														2596		984	0					424	1188	0							
5210														17382		8972	0					2567	5762	81							
5461														6161		4922	0					2	1055	182							
5751														1707		1427	0					56	224	0							
6039														2077	0	152	0	0	0	0	0	472	1453	0	0	0	0				
6329														5605		3190	0	450				558	1857	0	2681						
7009														6963		102	0					159	6702	0							
7045														705	0	0	0	0	0	0	0	97	608	0	0	0	0				
7072														4222		3126	0					38	1058	0							
7456														194		66	0					64	64	0							
7634														167		5	0					79	83	0							
8033														4493		2853	0					1031	609	0							
8462														250		0	0					209	35	6							
8631														788		686	0					27	75	0							
9357														5706		2963	0					19	2724	0							
9553														1172		0	0					104	1068	0							
9807														19785		8530	0					1974	8531	750		1286	7124				
9955														358		0	52					67	239	0							
10250														893		447	0					194	252	0							
10849														599		49	0					118	432	0							
11145														2672		195	0		75	120		129	2348	0				Great Lakes Capital Fund	Differed Revenue		
11640														2116		1402	0					627	87	0							
11837														194		71	0					24	99	0							
12030														3395		2612	0					243	540	0							
12142														4228		4007	0					157	64	0							
12311	1804289	0	1204416	281761	430984	0	0	0	205133	99664	0	0	0									13315									
12647														244		85	0					72	87	0							
12656														23		0	0					16	7	0							
12946														14906		10568	0					654	3684	0							
13103														42350		36657	0		29392			1159	4512	22				Defined Benefit Retirement Plan Liability			
13251														174		158	0					16	0	0							
13457														212		183	0					6	23	0							
14155														1235		840	26					161	208	0							
14650														379		263	0					14	102	0							
14753														182		0	99					60	23	0							
14865														2722		2265	0					68	364	25							
14977														131	0	37	0	37	0	0	0	44	50	0	0	0	0				
16551														538		36	0	36				176	326	0							
16748														833		594	0					42	197	0							
17110														8263	0	906	0	0	248	429	0	247	7051	59	0	0	0	DEFERRED TENANT IMPROVMENT LIABILITY	DEFERRED RENT LIABILITY		
17147														191963	0	98917	0	0	0	0	0	3316	89730	0	0	79651	0				
17259														1786		1542	0					42	202	0							
17950														2438		740	0					374	1188	136							
17978														444		207	0					5	232	0							
18050														3644		2233	0					354	1057	0							
18827														16534		10910	0					369	5240	15							
18836														2530		1134	0					186	1210	0							
18854														5518		2991	0		926	1384		465	2062	0				Dividends Payable	Cashier's Checks		
19356														400		0	0					79	126	195							
19936														1445		1335	0					94	16	0							
19972														1157		1101	0					1	55	0							
20053														514		0	0					143	371	0							
20633														3269		1394	0					155	1655	65							
20857														171		0	0					87	84	0							
21256														8		0	0					8	0	0							
21359														143		103	0					17	23	0							
21658														1653		1279	0					152	222	0	1279						
22048														1548		1126	0					224	198	0							
22543														1968		918	609					29	412	0							
22552														564		320	0					136	108	0							
22730														555		212	0					7	319	17							
23456														542		0	0					352	190	0							
23504														141452	0	124795	0	0	0	0	0	204	15720	733	0	68839	44571				
23643														315		51	0					223	41	0							
23755														1192		579	84					40	489	0							
24006														21673		16051	0					99	5523	0							
24378														121		4	0					1	116	0							
24453														1132		33	0					45	1054	0							
24659														712		450	0					35	227	0							
24668														5465		2407	0					1498	1560	0							
24949														3188		2148	0					245	795	0							
25357														494		0	0					291	203	0							
25647														1347		393	0					352	602	0							
26176														2073		1051	0					257	692	73							
26457														57		1	4					16	36	0							
26765														5584		81	458					980	3001	1064							
27070														3906		752	710					614	1830	0							
27548														6149		911	1622					308	3308	0	883		28				
27614														3722		1546	537					246	1393	0							
27847														2476		1163	0					371	942	0							
28013														27729		20690	0		5176			1879	4146	1014	14507			federal taxed			
28152														2066		2018	0	42				23	25	0	722	1178					
28675														347		1	0					81	265	0							
28732														1356		1068	0					127	161	0							
29476														671		284	0					132	255	0							
29636														12115		9533	0					722	1860	0							
29878														26999		25054	0		27	5346		21	1924	0	19681			Abandoned Property	Minimum Liability Pension		
30052														163		21	30					16	96	0							
30502														17880		13459	2070					91	2115	145							
30650														651		1	176					186	288	0							
30810	3127566	0	547495	0	0	397339	0	0	2455167	11200	0	0	0									113704						Merchant Settlement			
31134														1619		1315	0	132	592	393		167	137	0				Index Liability Plan	Split Dollar Ins Liability		
31255														8137	0	3182	0	0	854	2153	0	276	4679	0	0	0	0	3 Muni bonds purchased settles on April	Factored loans collected reserves		
31657														234		131	0					52	51	0							
31826														2678		2188	0					208	282	0	1441						
31835														5487		2826	0					114	2547	0							
32234														1943		948	0					135	860	0							
32766														969		0	895					4	70	0							
32971														3135		2135	0					217	783	0							
33147														995		113	0					324	558	0							
33259														5330		2116	0					1927	1287	0							
33268														347		191	0					62	94	0							
33370														128		128	0					0	0	0							
33839														173		24	82					18	49	0							
33857														2088		0	0					708	1380	0							
34425														3624		1376	0					379	1758	111							
34434														1003		622	0					259	122	0							
34537														72664		62083	0	10596				1118	7440	2023		13501	31087				
34555														2854	0	2541	0	0	0	0	0	313	0	0	2452	0	0				
34742														4154		2601	0					571	982	0							
35057														443	0	50	63	0	14	14	0	116	214	0	0	0	0	Accrued Tax Current-State	USDA Loss Reserve		
35301	21807000	0	19078000	587000	0	5540000	5424000	0	2111000	22000	0	0	0									9000						Contractual Buy Fail	Collateral deposits		
35570														295242	0	223729	0	0	0	0	0	8018	46353	17142	0	0	181917				
35646														687		347	135					68	137	0							
35879														1097		398	0					260	439	0							
36456														408		0	331					77	0	0							
36933														1074		492	0					172	410	0							
37051														169		36	0					122	11	0							
37341														372		261	0					93	18	0							
37435														4264		674	0					363	3227	0							
37640														42862	0	17131	8713	0	0	0	0	1896	15122	0	0	0	9289				
37659														755	0	718	0	0	0	0	0	19	18	0	717	0	0				
37949														443		246	0					194	3	0							
38740														969		38	69					149	713	0							
39327														2287		1091	645					25	526	0							
39756														4141		2355	0					478	1308	0	2280						
40033														1517		1454	0					21	42	0							
40499														80171		64112	0					591	15468	0	41314						
40855														480		0	0					258	222	0							
41553														374		0	0					17	357	0							
41629														1107		215	0					187	705	0							
41825														2628		707	0					109	1050	762							
41955														23		0	0					13	10	0							
42037														195		2	0					39	154	0							
42354														148		0	0					32	116	0							
42372														2236		2034	0					19	183	0							
42420														146075		119770	0					832	23467	2006		60234	52086				
42448														4726	0	355	0	0	0	0	0	2903	1055	413	0	0	0				
42457														166		0	0					33	133	0							
43052														476		23	0					70	383	0							
43351														1987		119	0					1083	785	0							
43856														823		818	0					5	0	0							
43959														749		0	382					125	234	8							
44040														1289		4	0					130	1155	0							
44433														2946		2265	0	242				128	328	225		1926					
44741														2408		550	666					45	1147	0							
44750														217		48	0					122	47	0							
44929														1305		3	1102					70	130	0							
45038														280	0	47	0	0	0	0	0	70	163	0	0	0	0				
45047														453		12	0					154	287	0							
45056														400		0	248					20	132	0							
45430														3260		3084	0					59	117	0							
45458														1432		699	229					77	427	0							
45551														5565		3335	0					526	1704	0							
45560														20954		14640	0					2111	4203	0	8170	5742					
45775														3073		3027	0					14	32	0							
46053														1980		1520	0					301	159	0							
46941														424		0	50					106	268	0							
47247														7153		3672	1526					194	1761	0	945	2474					
47256														125		0	0					51	74	0							
47452														537		378	32					44	83	0							
47500														1021		212	0					18	633	158							
48057														1944		1689	0					124	131	0							
48150														141		0	54					82	5	0							
48374														11095		7462	0					770	2863	0							
48440														1349		1255	0					94	0	0							
49054														994		85	0					157	752	0							
49148														1675		1558	0					21	96	0							
49241														6688		5720	0					527	441	0							
49652														280		71	0					67	142	0							
49858														830		447	0					118	265	0							
49951														352		170	19					67	96	0							
50144														1467		0	0					211	1256	0							
50461														1197		124	0	50	70			54	919	100				OREO Security deposit	FDIC Assessment Q4		
50872														202		45	0					22	135	0							
51253														6571	0	2876	0	0	2159	0	0	720	2975	0	0	0	0	Deferred Gain on Sale of ORE			
51356														67		0	0					48	19	0							
51459														1312		438	260					185	429	0							
51842														3997		1206	0					968	1823	0	1016						
52719														3274908	0	3263782	0	0	1930652	1314093	0	0	11126	0	0	0	0	Participant Fund Cash	Payable to Participants		
52951														733		32	0					353	348	0							
53051														42		0	0					33	9	0							
54058														935		48	0					722	165	0							
54656														10993	0	1477	5060	518	0	0	0	3853	603	0	944	0	0				
54973														109441		45564	12609					1010	46458	3800	14755		23093				
55336														1912		833	568					86	425	0							
55635														713		199	0					91	423	0							
55653														155		45	3					28	79	0							
55970														1280		64	0					4	1162	50							
56258														220		0	0					67	153	0							
56351														20240		3362	1500		2565			615	14289	474				Management incentive accruals			
56548														6213		3	0					1858	4352	0							
56717														11076		6366	0					394	4316	0							
57040														331	0	0	0	0	0	0	0	123	208	0	0	0	0				
57451														3878		0	1322					880	1676	0							
58225														1115		81	0					170	864	0							
58243														71174		49105	0	2728				2928	18541	600	1746	35627					
58355														139		48	0					66	25	0							
58551														2040		1903	0					114	23	0							
58636														6257		2518	0					122	3617	0							
58757														4096		3410	0					324	362	0							
58971														79612		53648	0					848	24116	1000	24063		19097				
59316														12742		4333	0					2839	5570	0							
59352														1138		2	167					219	750	0							
59370														312		129	0					1	182	0							
59754														21		12	0					4	5	0							
60143	1294000	0	784000	19000	0	352000	0	0	425000	62000	0	0	0									4000						Pension plan liability			
60330														5093	0	3617	0	0	0	0	0	324	1152	0	1291	0	0				
60545														572		0	0					400	172	0							
60554														81		0	0					20	61	0							
60648														2098		1439	0					78	581	0							
61122														22399		20163	0					258	1887	91	14490		3164				
61355														16326		61	1267					1160	13563	275							
61476														3887		212	822					1	2650	202							
61757														874		96	0					297	481	0							
61832														2448		2162	0					56	230	0				Contracts Payable			
61953														133		15	0					10	108	0							
62044														352		335	0					15	2	0							
62110														2259		297	0					0	1962	0							
62147														140		11	0					9	120	0							
62772														12983		10265	0					705	2013	0							
63050														4613		4046	0					31	536	0							
63069	1441456	0	1136975	0	0	0	0	0	259873	42112	0	0	609950									2496									
63201														805		623	0					41	95	46							
63573														2781		1497	0					23	1261	0							
63733														4658		1656	0		454			1022	1965	15	1093			Cardholder Settlement Debit Cards			
63742														3981		1401	0					405	2069	106							
63751														6		0	0					6	0	0				ORE CONTRACT PAYMENTS			
64150														477		420	0					57	0	0							
64552														3353		1495	1408					105	345	0				CDFI Award - DPA			
64730														1079		832	0					71	176	0							
65205														3791		857	0					4	2930	0							
65513	3216	0	495	0	495	0	0	0	2466	0	0	0	0									255									
65559														6028		4625	0					212	1191	0	4625						
65746														5912	0	3802	0	0	0	0	0	1073	1037	0	3198	0	0				
65858														12141		5133	0					594	6414	0							
66154														1888		17	0					211	1660	0							
66275														673		377	0					174	122	0							
66677														2105		936	685	31				2	482	0	673						
67142														381		78	0					127	176	0							
67151														5437		4143	0					346	948	0							
67209														11526		8060	0					0	3055	411							
67254														116		0	0					0	116	0							
67656														15857		8866	0		7272			322	5194	1475				NET DEFERRED ANNUAL FEE			
67870														5887		5644	0					81	162	0							
68671														590		304	0					157	129	0							
68756														3984	0	2817	0	0	0	0	0	417	750	0	2134	0	0				
68831														706		0	0					37	669	0							
69333														4273	0	0	0	0	0	0	0	1263	3010	0	0	0	0				
69678														926		0	0					21	905	0							
70058														1468		1238	0					115	115	0							
70218														398	0	2	0	0	0	0	0	70	245	81	0	0	0				
70414														1313		81	0					148	1084	0							
70638														851		86	0					390	375	0							
70955														155		0	80					14	61	0							
71073														141		24	0					28	89	0							
71457														1013		363	0					208	442	0							
71859														1451		0	41					2	1408	0							
72258														1684		0	0					415	1269	0							
72351														203		0	0					49	154	0							
72454														408		0	0					273	135	0							
72678														5965		325	1560					8	4072	0							
73116														9319		297	0					21	9001	0							
73152														1024		923	0					61	0	40							
73554														560		14	0					96	450	0							
73956														128		106	0					22	0	0							
74056														689		536	0					60	93	0							
74140														16347		10588	2201					585	2973	0	8946						
74403														5814		2054	0	746			117	172	3398	190	949	232			ATM Settlement	SERP	
74449														20		0	0					13	7	0							
75259														1538		463	0					462	613	0							
75446														1529		0	0					545	984	0							
75455														70		2	0					53	15	0							
75558														1282		329	0					141	747	65							
75633	2751670	0	2089596	0	1393368	0	0	0	439170	107105	0	0	596131									115799									
75651														162		0	46					90	26	0							
76153														319	0	67	193	67	0	0	0	37	22	0	0	0	0				
76443														300		0	0					16	284	0							
76854														1175		72	0					479	624	0							
77150														248	0	63	0	0	0	0	0	83	102	0	0	0	0				
77253														950		631	0					94	122	103							
77422														2614		2410	0					63	141	0							
77851														27357	0	17877	0	0	0	0	0	3828	5652	0	14090	0	0				
78157														110		0	0					3	107	0							
78241														88		0	0					42	46	0							
78559														376		217	24					24	93	18							
79042														1214		732	0	544				183	299	0							
79127														542		337	0					23	162	20	305						
79145														2687		1047	0					336	854	450							
79257														45		0	0					19	26	0							
79855														442		0	22					169	251	0							
80150														2082		1419	190					395	78	0							
80374														707		0	279					0	428	0							
80431														321		0	0					129	192	0							
81175														3879		2178	0					251	1450	0							
82033														549		221	0		198			62	266	0				Accrued Retirement Plan			
82257														647		574	0					22	12	39							
82350														865		564	181					41	79	0							
82659														286	0	0	0	0	0	0	0	187	99	0	0	0	0				
83151														643		0	0					479	164	0							
83236														33		0	22					11	0	0							
83375														4173		371	0					420	3382	0							
83638	83564	0	50322	0	0	0	0	0	27395	1234	0	42349	0									4613									
83834														2043		1688	0					46	309	0							
83852														116		26	15					29	46	0							
83955														319		0	0					141	178	0							
84046														42		4	0					34	4	0							
84541														9812		7219	0					894	1699	0							
84804														275		135	0					10	130	0							
85052														1346		67	797					311	171	0							
85454														153		0	0					92	61	0							
85472														125882		87285	0					585	37309	703		49122	27322				
85931														1967		1682	0					227	58	0							
86349														4034		3094	0					123	817	0							
86675														2545		732	0					23	1257	533							
87047														664		429	0					90	145	0	399						
87159														296		169	0					126	1	0							
87234														5422		3196	798					1175	238	15							
87476														508		0	0					2	418	88							
87579														4074		2698	0					160	1216	0	2226						
88231														16175		11854	0					172	4149	0							
88259														674		533	0					136	5	0							
88352														503		275	0	275				126	102	0							
88455														2360		265	312					230	1553	0							
88950														144		12	0					97	35	0							
89032														1995		0	327					296	1372	0							
89135														1986		1754	0					25	207	0							
89854														1018		723	0					202	93	0							
89957														482		0	0					109	355	18							
90047														89		1	8					50	30	0							
90177														912		309	217					0	386	0							
90328														3686		2583	0					198	872	33							
90337														3856	0	2920	0	0	0	0	0	646	290	0	2872	0	0				
90579														3699		2923	0					24	736	16							
91615														289		55	14					47	173	0							
91754														7920	0	2159	2846	75	0	0	0	2544	371	0	2075	0	0				
91950														1007		931	0					28	48	0							
92144														180		0	107					52	21	0							
92676														3769		2341	0		1940			65	1343	20				Liability for Pension & Postretirement benefits			
92706														4488		4304	0					41	83	60							
92902														20		11	8					0	1	0							
93244														364		0	0					245	119	0							
93543														4273		2576	0					674	1023	0							
93619	830	0	0	96	0	0	0	0	734	0	0	0	0									0									
94139														9372		5017	0					287	3971	97							
94522														4512		3154	0					330	1028	0							
94755														375		254	47					74	0	0							
94858														405		202	0					110	93	0							
95051														18715	0	18141	0	0	0	0	0	58	516	0	13044	0	0				
95677														229		209	0					0	0	20							
96553														534		3	297					79	155	0							
97055														581		115	0					246	220	0							
97279														323		12	162					61	88	0							
97457														163		0	0					97	66	0							
97804														18537		8005	0					366	9862	304							
97943														1576		364	324					359	529	0							
98351														619		71	282					59	207	0							
98463														6938		1021	0					2	5663	252							
98717														1433	0	50	0	0	0	0	0	991	390	2	0	0	0				
99143														4007		3510	0					116	381	0							
99255														1324	0	1248	0	0	0	0	0	64	12	0	1248	0	0				
99376														18973		8375	0	793	730	300	23	461	9215	922		6528		Deferred Revenue	Reps and Warranty Reserves	Miscellaneous Liabilities	
99442														2883		1337	0					1065	481	0	1280						
99536														10317		7651	0					1784	882	0							
99853														166		154	0					12	0	0							
100236														5380		4509	0					265	606	0							
100357														9489		8646	0					291	552	0							
100562														126991	0	99363	0	0	45612	0	0	1489	23294	2845	0	0	30007	SERP & MPL			
100777														4191		2999	0					665	527	0							
100843														7205		6322	0					133	675	75							
101019	121006	0	70652	0	0	29181	11676	5135	41541	562	10339	0	0									8251						Securities Purchased Not Settled	Pension and Post Retirement Medical	Acceptances Executed	
101037														2335		414	0					865	1056	0							
101439														420		170	0		170			116	134	0				ATM SETTLEMENT PAYABLE			
101671														7486		6572	16		2183			349	549	0	2512			other accrued liability			
101738														1249		109	647					134	359	0							
