"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
37			994	0	0	0	997	3	0																				
242			186	0	2	0	188	4	0																				
279			995	22	3	0	974	4	0																				
354			143	0	7	0	136	0	0																				
457			453	0	0	0	453	0	0																				
505			5772	180	4	0	5651	63	0																				
1155			3573	151	18	0	3413	9	0																				
1351			1078	85	43	0	1200	250	0																				
1454			3371	0	8	0	3384	21	0																				
1669			2975	67	9	0	2959	60	0																				
1856			575	0	0	0	575	0	0																				
2040			2853	0	22	0	2831	0	0																				
2161			1333	8	159	0	1465	299	0			0	0																
2376			28590	0	16	0	28639	65	0			0	0																
2554			164	8	0	0	156	0	0																				
2732			5015	60	22	0	4933	0	0																				
2750			548	-70	1	0	867	250	0																				
3252			4700	300	100	0	4510	210	0																				
3458			380	15	0	0	366	1	0																				
3720			1711	22	4	0	1685	0	0				0																
3971			1581	1369	2	0	211	1	0																				
4156			1638	75	6	0	1850	293	0																				
4231			737	60	5	0	676	4	0																				
5069			9800	1525	0	0	8275	0	0																				
5135			5151	225	25	0	4943	42	0																				
5210			14020	150	38	0	13964	132	0			0	0																
5461			6139	0	5	0	6141	7	0																				
5751			2080	0	1	0	2079	0	0																				
6039			3005	90	0	0	2949	34	0			0	0																
6329			12207	3100	300	0	11712	2905	0				0																
7009			0	0	0	0	0	0	0																				
7045			1296	60	9	0	1256	29	0			0	0																
7072			2164	250	24	0	1962	72	0																				
7456			826	10	0	0	816	0	0																				
7634			1115	30	18	0	1075	8	0																				
8033			1429	40	1	0	1417	29	0																				
8462			1095	0	1	0	1097	3	0																				
8631			424	0	2	0	427	5	0																				
9357			4151	200	1	0	4065	115	0																				
9553			1210	0	1	0	1209	0	0																				
9807			32357	0	157	0	32206	6	0																				
9955			1809	0	0	0	1811	2	0																				
10250			3122	-515	136	0	3533	32	0																				
10849			1413	66	0	0	1347	0	0																				
11145			2505	99	20	0	2452	66	0				0																
11640			3540	18	76	0	3608	162	0																				
11837			831	0	1	0	832	2	0																				
12030			8633	0	1814	0	8140	1321	0																				
12142			1707	30	12	0	1686	21	0																				
12179			116	-5	0	0	121	0	0																				
12311			763681	64357	24722	0	771875	97273	0	0	4737		0																
12647			1071	0	1	0	1074	4	0			0	0																
12656			220	0	0	0	220	0	0																				
12937			2123	0	4	0	2138	19	0																				
12946			18997	905	364	0	18458	730	0				0																
13103			15973	331	23	0	15677	58	0				0																
13251			491	15	15	0	462	1	0																				
13457			93	0	0	0	93	0	0																				
14155			2934	75	11	0	2855	7	0																				
14650			578	45	2	0	568	37	0																				
14753			512	10	0	0	502	0	0																				
14865			3936	120	268	0	3556	8	0																				
14977			598	22	0	0	576	0	0			0	0																
16551			2998	0	3	0	3008	13	0																				
16748			719	0	0	0	719	0	0																				
17110			279	0	0	0	279	0	0			0	0																
17147			80902	1200	1005	0	80552	1855	0			0	0																
17259			157	0	5	0	155	3	0																				
17950			4299	80	1	0	4249	31	0																				
17978			1445	2	0	0	1445	2	0																				
18050			5043	150	18	0	4912	37	0																				
18135			1171	0	4	0	1206	39	0																				
18827			7829	313	120	0	7404	8	0			0	0																
18836			1301	49	14	0	1297	59	0																				
18854			7834	0	7	0	7831	4	0				0																
19356			875	13	1	0	998	127	-10																				
19936			3517	45	11	0	3477	16	0																				
19972			400	0	0	0	400	0	0																				
20053			1250	30	1	0	1220	1	0																				
20633			3036	155	1	0	3036	156	0																				
