"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																			0	103	603	1297	36	50	0	0	0	0	0	541	0	0	0	0	0	0				
242																			0	275	0	528	13	14	0	0	0	0	0	239	0	0	0	0	0	0				
279																			5	1292	457	6628	107	112	0	0	0	0	0	678	0	0	0	4089	0	0				
354																			0	5	126	207	0	0	0	0	0	0	0	76	0	0	0	0	0	0				
457																			0	136	0	1081	0	20	0	0	0	0	0	343	0	0	0	582	0	0				
505																			0	3937	0	16323	0	6957	5412	0	0	0	0	1127	0	0	0	4302	0	0	Prepaid pension			
1155																			0	1158	0	6596	54	133	0	0	0	0	0	1028	0	0	0	4277	0	0				
1351																			71	0	0	1549	111	198	16	0	0	0	0	1351	0	0	0	0	0	0	computer software			
1454																			0	1047	0	9852	749	919	0	0	0	0	0	2867	0	0	0	5019	0	0				
1557																			0	419	7	1251	43	45	0	0	0	0	0	780	0	0	0	0	0	0				
1669																			3	915	609	12017	93	131	0	0	0	0	0	1165	0	0	0	8420	0	777				
1829																			0	2203	1317	12494	876	1840	0	0	0	0	0	1184	0	0	0	5950	0	0				
1856																			0	1597	0	2151	159	159	0	0	0	0	0	395	0	0	0	0	0	0				
2040																			0	1546	1077	7709	328	521	152	0	0	0	0	739	0	0	0	3538	0	288	Software			
2161																			0	823	0	4656	142	179	0	0	0	0	0	805	0	0	37	2849	0	0				
2376																			0	45960	29634	171238	466	19957	6584	0	0	0	0	8642	3559	0	0	49834	0	17211	DEFERRED EXPENSE - FHLB PENALTY			
2554																			0	16	0	140	27	27	0	0	0	0	0	97	0	0	0	0	0	0				
2732																			0	174	1993	4436	148	916	678	0	0	0	0	1353	0	0	0	0	0	0	FIT Current			
2750																			0	562	0	2661	266	266	0	0	0	0	0	849	0	0	0	984	0	0				
3177																			0	6320	3771	37294	667	1525	0	0	0	0	0	2482	0	0	0	12235	0	10961				
3252																			0	325	0	3681	562	1428	844	0	0	0	0	1928	0	0	0	0	0	0	NP DDA Debits			
3458																			0	188	96	513	20	46	0	0	0	0	0	183	0	0	0	0	0	0				
3720																			0	270	1009	6428	256	257	0	0	0	0	0	915	0	0	0	1558	0	2419				
3971																			0	1994	5534	24658	1279	2913	812	0	0	0	0	2230	0	0	0	11987	0	0	Investment in Rabbi Trust			
4156																			0	2061	0	7160	0	314	195	0	0	0	0	1074	0	0	0	2795	0	916	Notes Receivable			
4231																			0	0	1233	1998	60	105	0	0	0	0	0	660	0	0	0	0	0	0				
4437																			0	741	1965	8248	234	341	0	0	0	0	0	796	0	0	0	4405	0	0				
4839																			0	1082	0	4457	261	1992	1670	0	0	0	0	1383	0	0	0	0	0	0	BEA Award 323, Holding Co. Equity Investment 1,347			
5069																			0	0	879	5303	1081	2384	1264	0	0	0	0	2040	0	0	0	0	0	0	Accounts Receivable			
5135																			0	1289	1645	12624	251	454	172	0	0	0	0	4844	0	0	0	4392	0	0	fifth third clearing			
5210																			0	6575	1235	57982	0	14908	12409	0	0	0	0	3027	0	0	0	26715	0	5522	Prepaid pension			
5461																			0	1988	0	9120	743	4465	1588	2000	0	0	0	1917	0	0	0	750	0	0	QZAB	PFRD STOCK-R HOUSING CRIME PREV FDTN		
