"IDRSSD"	RCFD3353	RCFD3355	RCFD3365	RCFD3368	RCFD3381	RCFD3401	RCFD3484	RCFDB558	RCFDB559	RCFDB560	RCFN3360	RCFN3404	RCON3353	RCON3355	RCON3360	RCON3365	RCON3368	RCON3381	RCON3386	RCON3387	RCON3401	RCON3465	RCON3466	RCON3484	RCON3485	RCONA514	RCONA529	RCONB558	RCONB559	RCONB560	RCONB561	RCONB562	RCONB563	
	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTLY AVG OF TOTAL LOANS	QTLY AVG OF INT-BRG DEPS IN FGN OFFC	QTLY AVG OF FED FUNDS PCHD&SEC RP	QTLY AVG OF OTHER BORROWED MONEY	QTLY AVG OF TOTAL LOANS	QTLY AVG OF FED FUNDS SOLD&SEC RS	QTLY AVG OF TOTAL ASSETS	QTLY AVG-INT-BR BALS DUE FR DPS INST	QTLY AVG OF LNS TO FINC AGRCL PROD	QTLY AVG OF C & I LOANS	QTLY AVG OF ASSETS HELD IN TRDG ACCT	QUARTERLY AVG OF LNS SECD BY 1-4 FAM	QUARTERLY AVG OF ALL OTH LNS SECD BY	QUARTERLY AVGS OF LSE FINCG RECVBLS	QTLY AVG OF INT-BRG TRANSACTION ACCT	QTR AVG TIME DEPOSITS >= $100,000	QTR AVG TIME DEPOSITS < $100,000	QTR AVG: U.S. TREAS SEC & GOVT OBLIG	QTR AVG: MORTGAGE-BACKED SECURITIES	QTR AVG: ALL OTHER SECURITIES	QTR AVG: CREDIT CARD LOANS	QTR AVG: OTHER LOANS TO INDIVIDUALS	QTR AVG: NONTRANS - SAVING DEPOSITS	
37													0		31888	0	87800	802		3183		16205	5364	0	11450	7957	23646	8794	7573	31073	0	4926	11491	
242													0		26169	361	41060	978	4631	1861		8680	8053	0	5533	4072	4665	4382	0	7011	0	2792	7829	
279													0	32009	146283	1895	200596	4866		2999	0	108876	29969	0	26308	42424	31557	5248	14570	16120	0	3920	32211	
354													165		3251	117	9664	200	582	291		760	819	0	0	328	2071	3925	951	566	0	766	3051	
457													843		41128	117	45245	1280	9028	8491		10618	11261	0	3002	2958	6712	0	1	431	0	2701	17204	
505													0	10500	289769	0	443355	51847	0	21319	0	147110	86069	0	9988	10854	21267	10571	33944	34627	0	22788	285842	
1155													13080	0	144332	0	210807	22460	6499	39833	0	29668	54955	0	93690	18607	31516	17558	45	11390	514	7913	10611	
1351													9	0	81765	226	154349	0	5146	15437	0	20249	28598	0	14811	36472	38464	27448	2235	36521	0	9496	22597	
1454													0	0	250356	0	778230	163184	4135	26601	0	105674	86247	1445	129278	61003	43348	231651	338	107256	0	25961	271360	
1557													43		56318	798	77128	4000	23693	9384		7501	13595	0	8843	6076	8640	2461	7770	2510	0	2129	13948	
