"IDRSSD"	RCFD0211	RCFD0213	RCFD0416	RCFD1286	RCFD1287	RCFD1737	RCFD1738	RCFD1739	RCFD1741	RCFD1742	RCFD1743	RCFD1744	RCFD1746	RCFD1754	RCFD1771	RCFD1772	RCFD1773	RCFD1778	RCFD8496	RCFD8497	RCFD8498	RCFD8499	RCFD8782	RCFD8783	RCFDA248	RCFDA510	RCFDA511	RCFDA549	RCFDA550	RCFDA551	RCFDA552	RCFDA553	RCFDA554	RCFDA555	RCFDA556	RCFDA557	RCFDA558	RCFDA559	RCFDA560	RCFDA561	RCFDA562	RCFDB838	RCFDB839	RCFDB840	RCFDB841	RCFDB842	RCFDB843	RCFDB844	RCFDB845	RCFDB846	RCFDB847	RCFDB848	RCFDB849	RCFDB850	RCFDB851	RCFDB852	RCFDB853	RCFDB854	RCFDB855	RCFDB856	RCFDB857	RCFDB858	RCFDB859	RCFDB860	RCFDB861	RCFDC026	RCFDC027	RCFDC988	RCFDC989	RCFDG300	RCFDG301	RCFDG302	RCFDG303	RCFDG304	RCFDG305	RCFDG306	RCFDG307	RCFDG308	RCFDG309	RCFDG310	RCFDG311	RCFDG312	RCFDG313	RCFDG314	RCFDG315	RCFDG316	RCFDG317	RCFDG318	RCFDG319	RCFDG320	RCFDG321	RCFDG322	RCFDG323	RCFDG348	RCFDG349	RCFDG350	RCFDG351	RCFDG352	RCFDG353	RCFDG354	RCFDG355	RCFDG356	RCFDG357	RCFDG358	RCFDG359	RCFDG360	RCFDG361	RCFDG362	RCFDG363	RCFDG364	RCFDG365	RCFDG366	RCFDG367	RCFDG368	RCFDG369	RCFDG370	RCFDG371	RCFDG372	RCFDG373	RCFDG374	RCFDG375	RCFDHT50	RCFDHT51	RCFDHT52	RCFDHT53	RCFDHT58	RCFDHT59	RCFDHT60	RCFDHT61	RCFDK142	RCFDK143	RCFDK144	RCFDK145	RCFDK146	RCFDK147	RCFDK148	RCFDK149	RCFDK150	RCFDK151	RCFDK152	RCFDK153	RCFDK154	RCFDK155	RCFDK156	RCFDK157	RCON0211	RCON0213	RCON0416	RCON1286	RCON1287	RCON1737	RCON1738	RCON1739	RCON1741	RCON1742	RCON1743	RCON1744	RCON1746	RCON1754	RCON1771	RCON1772	RCON1773	RCON1778	RCON8496	RCON8497	RCON8498	RCON8499	RCON8782	RCON8783	RCONA248	RCONA510	RCONA511	RCONA549	RCONA550	RCONA551	RCONA552	RCONA553	RCONA554	RCONA555	RCONA556	RCONA557	RCONA558	RCONA559	RCONA560	RCONA561	RCONA562	RCONB838	RCONB839	RCONB840	RCONB841	RCONB842	RCONB843	RCONB844	RCONB845	RCONB846	RCONB847	RCONB848	RCONB849	RCONB850	RCONB851	RCONB852	RCONB853	RCONB854	RCONB855	RCONB856	RCONB857	RCONB858	RCONB859	RCONB860	RCONB861	RCONC026	RCONC027	RCONC988	RCONC989	RCONG300	RCONG301	RCONG302	RCONG303	RCONG304	RCONG305	RCONG306	RCONG307	RCONG308	RCONG309	RCONG310	RCONG311	RCONG312	RCONG313	RCONG314	RCONG315	RCONG316	RCONG317	RCONG318	RCONG319	RCONG320	RCONG321	RCONG322	RCONG323	RCONG348	RCONG349	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-HLD-TO-MAT-FAIR VALUE	PLEDGED SECURITIES-BOOK VLAUE	US TREAS SECS-AVL-FOR-SLE-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI	FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS	FGN DEBT SECS-HELD-TO-MATR-FAIR VALU	FGN DEBT SECS-AVL-FOR-SALE-AMRTZ COS	FGN DEBT SECS-AVL-FOR-SALE-FAIR VALU	HELD-TO-MATURITY SECURITIES	TOTL SECS-HELD-TO-MATRTY-FAIR VALUE	TOTL SECS-AVL-FOR-SALE-AMRTZ COST	AVAILABLE-FOR-SALE SECURITIES	AMRTZ COST OF HLD-TO-MAT SECS SOLD	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	AMORTIZED COST OF STRUCTURED NOTES	FAIR VALUE OF STRUCTURED NOTES	FXD&FLTG RT DEBT SECS MAT 1 YR OR LE	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECS ISD BY US TREAS,ETC 3 MOS LESS	SECS ISD BY US TREAS,ETC OV 3-12 MOS	SECS ISD BY US TREAS,ETC OV 1-3 YRS	SECS ISD BY US TREAS,ETC OV 3-5 YRS	SECS ISD BY US TREAS,ETC OV 5-15 YRS	SECS ISD BY US TREAS,ETC OVER 15 YRS	MTGE PASS-THRU SECS MAT 3 MONTHS LES	MTGE PASS-THRU SECS MAT OV 3-12 MTHS	MTGE PASS-THRU SECS MAT OV 1 - 3 YRS	MTGE PASS-THRU SECS MAT OV 3 - 5 YRS	MTGE PASS-THRU SECS MAT OV 5 - 15 YR	MTGE PASS-THRU SECS MAT OVER 15 YEAR	OTHER MTG-BCKD SECS 3 YEARS OR LESS	OTHER MTG-BCKD SECS OVER 3 YEARS	HTM(COST): ABS - CREDIT CARD RECEIV	HTM(FAIR): ABS - CREDIT CARD RECEIV	AFS(COST): ABS - CREDIT CARD RECEIV	AFS(FAIR): ABS - CREDIT CARD RECEIV	HTM(COST): ABS - HOME EQUITY LINES	HTM(FAIR): ABS - HOME EQUITY LINES	AFS(COST): ABS - HOME EQUITY LINES	AFS(FAIR): ABS - HOME EQUITY LINES	HTM(COST): ABS - AUTOMOBILE LOANS	HTM(FAIR): ABS - AUTOMOBILE LOANS	AFS(COST): ABS - AUTOMOBILE LOANS	AFS(FAIR): ABS - AUTOMOBILE LOANS	HTM(COST): ABS- OTHER CONSUMER LOANS	HTM(FAIR): ABS- OTHER CONSUMER LOANS	AFS(COST): ABS- OTHER CONSUMER LOANS	AFS(FAIR): ABS- OTHER CONSUMER LOANS	HTM(COST): ABS- COMMRCIAL &IND LOANS	HTM(FAIR): ABS- COMMRCIAL &IND LOANS	AFS(COST): ABS- COMMRCIAL &IND LOANS	AFS(FAIR): ABS- COMMRCIAL &IND LOANS	HTM(COST): ASSET BACKED SEC - OTHER	HTM(FAIR): ASSET BACKED SEC - OTHER	AFS(COST): ASSET BACKED SEC - OTHER	AFS(FAIR): ASSET BACKED SEC - OTHER	HTM(COST):TOTL ASSET-BACK SEC - DERV	AFS(FAIR):TOTL ASSET-BACK SEC -DERV	ASSET-BACKED SECURITIES: HTM-FAIR VA	ASSET-BACKED SECURITIES:AFS-AMTZD CO	MBS RPTS GUAR GNMA HTM AMRTZ	MBS RPTS GUAR GNMA HTM FV	MBS RPTS GUAR GNMA AFS AMRTZ	MBS RPTS GUAR GNMA AFS FV	MBS RPTS ISS FNMA FHLMC HTM AMRTZ	MBS RPTS ISS FNMA FHLMC HTM FV	MBS RPTS ISS FNMA FHLMC AFS AMRTZ	MBS RPTS ISS FNMA FHLMC AFS FV	MBS RPTS OTHR PT SCTY HTM AMRTZ COST	MBS RPTS OTHR PT SCTY HTM FV	MBS RPTS OTHR PT SCTY AFS AMRTZ COST	MBS RPTS OTHR PT SCTY AFS FV	MBS OTHR RES ISS GUAR FFG HTM AMRTZ	MBS OTHR RES ISS GUAR FFG HTM FV	MBS OTHR RES ISS GUAR FFG AFS AMRTZ	MBS OTHR RES ISS GUAR FFG AFS FV	MBS OTHR RES CLTRL ISS GUAR FFG HTM	MBS OTHR RES CLTRL ISS GUAR FFG H FV	MBS OTHR RES CLTRL ISS GUAR FFG AFS	MBS OTHR CLTRL MBS ISS GUAR FFG A FV	MBS OTHR OTHR RES MBS HTM AMRTZ	MBS OTHR OTHR RES MBS HTM FV	MBS OTHR OTHR RES MBS AFS AMRTZ	MBS OTHR OTHR RES MBS AFS FV	SFP TPS ISS FNC INST HTM AMRTZ COST	SFP TPS ISS FNC INST HTM FV	SFP TPS ISS FNC INST AFS AMRTZ COST	SFP TPS ISS FNC INST AFS FV	SFP TPS ISS RE INV TR HTM AMRTZ COST	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-HLD-TO-MAT-FAIR VALUE	PLEDGED SECURITIES-BOOK VLAUE	US TREAS SECS-AVL-FOR-SLE-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI	FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS	FGN DEBT SECS-HELD-TO-MATR-FAIR VALU	FGN DEBT SECS-AVL-FOR-SALE-AMRTZ COS	FGN DEBT SECS-AVL-FOR-SALE-FAIR VALU	HELD-TO-MATURITY SECURITIES	TOTL SECS-HELD-TO-MATRTY-FAIR VALUE	TOTL SECS-AVL-FOR-SALE-AMRTZ COST	AVAILABLE-FOR-SALE SECURITIES	AMRTZ COST OF HLD-TO-MAT SECS SOLD	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	AMORTIZED COST OF STRUCTURED NOTES	FAIR VALUE OF STRUCTURED NOTES	FXD&FLTG RT DEBT SECS MAT 1 YR OR LE	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECS ISD BY US TREAS,ETC 3 MOS LESS	SECS ISD BY US TREAS,ETC OV 3-12 MOS	SECS ISD BY US TREAS,ETC OV 1-3 YRS	SECS ISD BY US TREAS,ETC OV 3-5 YRS	SECS ISD BY US TREAS,ETC OV 5-15 YRS	SECS ISD BY US TREAS,ETC OVER 15 YRS	MTGE PASS-THRU SECS MAT 3 MONTHS LES	MTGE PASS-THRU SECS MAT OV 3-12 MTHS	MTGE PASS-THRU SECS MAT OV 1 - 3 YRS	MTGE PASS-THRU SECS MAT OV 3 - 5 YRS	MTGE PASS-THRU SECS MAT OV 5 - 15 YR	MTGE PASS-THRU SECS MAT OVER 15 YEAR	OTHER MTG-BCKD SECS 3 YEARS OR LESS	OTHER MTG-BCKD SECS OVER 3 YEARS	HTM(COST): ABS - CREDIT CARD RECEIV	HTM(FAIR): ABS - CREDIT CARD RECEIV	AFS(COST): ABS - CREDIT CARD RECEIV	AFS(FAIR): ABS - CREDIT CARD RECEIV	HTM(COST): ABS - HOME EQUITY LINES	HTM(FAIR): ABS - HOME EQUITY LINES	AFS(COST): ABS - HOME EQUITY LINES	AFS(FAIR): ABS - HOME EQUITY LINES	HTM(COST): ABS - AUTOMOBILE LOANS	HTM(FAIR): ABS - AUTOMOBILE LOANS	AFS(COST): ABS - AUTOMOBILE LOANS	AFS(FAIR): ABS - AUTOMOBILE LOANS	HTM(COST): ABS- OTHER CONSUMER LOANS	HTM(FAIR): ABS- OTHER CONSUMER LOANS	AFS(COST): ABS- OTHER CONSUMER LOANS	AFS(FAIR): ABS- OTHER CONSUMER LOANS	HTM(COST): ABS- COMMRCIAL &IND LOANS	HTM(FAIR): ABS- COMMRCIAL &IND LOANS	AFS(COST): ABS- COMMRCIAL &IND LOANS	AFS(FAIR): ABS- COMMRCIAL &IND LOANS	HTM(COST): ASSET BACKED SEC - OTHER	HTM(FAIR): ASSET BACKED SEC - OTHER	AFS(COST): ASSET BACKED SEC - OTHER	AFS(FAIR): ASSET BACKED SEC - OTHER	HTM(COST):TOTL ASSET-BACK SEC - DERV	AFS(FAIR):TOTL ASSET-BACK SEC -DERV	ASSET-BACKED SECURITIES: HTM-FAIR VA	ASSET-BACKED SECURITIES:AFS-AMTZD CO	MBS RPTS GUAR GNMA HTM AMRTZ	MBS RPTS GUAR GNMA HTM FV	MBS RPTS GUAR GNMA AFS AMRTZ	MBS RPTS GUAR GNMA AFS FV	MBS RPTS ISS FNMA FHLMC HTM AMRTZ	MBS RPTS ISS FNMA FHLMC HTM FV	MBS RPTS ISS FNMA FHLMC AFS AMRTZ	MBS RPTS ISS FNMA FHLMC AFS FV	MBS RPTS OTHR PT SCTY HTM AMRTZ COST	MBS RPTS OTHR PT SCTY HTM FV	MBS RPTS OTHR PT SCTY AFS AMRTZ COST	MBS RPTS OTHR PT SCTY AFS FV	MBS OTHR RES ISS GUAR FFG HTM AMRTZ	MBS OTHR RES ISS GUAR FFG HTM FV	MBS OTHR RES ISS GUAR FFG AFS AMRTZ	MBS OTHR RES ISS GUAR FFG AFS FV	MBS OTHR RES CLTRL ISS GUAR FFG HTM	MBS OTHR RES CLTRL ISS GUAR FFG H FV	MBS OTHR RES CLTRL ISS GUAR FFG AFS	MBS OTHR CLTRL MBS ISS GUAR FFG A FV	MBS OTHR OTHR RES MBS HTM AMRTZ	MBS OTHR OTHR RES MBS HTM FV	MBS OTHR OTHR RES MBS AFS AMRTZ	MBS OTHR OTHR RES MBS AFS FV	SFP TPS ISS FNC INST HTM AMRTZ COST	SFP TPS ISS FNC INST HTM FV	
37																																																																																																																																																		0	0	24179	0	0	0	0	0	0	0	0	0	0	0	0	43288	43898	0	0	0	29441	30033	1800	1795	308	0	0	0	308	1066	825	27615	7464	0	0	0	0	2500	4120	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
242																																																																																																																																																		0	0	4515	1385	1398	0	0	200	200	0	0	0	0	0	0	12339	12467	0	0	0	5319	5409	0	0	2195	3	6	1439	756	4792	2518	2956	0	0	0	0	0	0	0	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
279																																																																																																																																																		0	0	1540	0	0	0	0	0	0	0	0	0	0	35343	35341	13323	13289	0	6661	6661	869	893	0	0	2659	0	0	376	0	922	1435	4821	0	0	2283	636	1185	35804	1171	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
354																																																																																																																																																		0	0	250	498	499	0	0	0	0	0	0	0	0	0	0	1149	1149	0	0	0	0	0	0	0	1001	0	0	0	1001	148	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
457																																																																																																																																																		0	0	0	0	0	0	0	0	0	0	0	0	0	37	41	3	3	0	36	40	0	0	0	0	0	3	3	0	0	0	0	36	0	0	0	0	1	0	3	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
505																																																																																																																																																		0	0	63782	0	0	0	0	2400	2275	0	0	0	0	0	0	65685	66398	0	0	0	19748	20084	0	0	4348	0	0	4201	2416	2895	8927	3919	0	294	240	0	297	40240	2628	0	341																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	341			
1155																																																																																																																																																		0	0	14836	1000	997	0	0	0	0	0	0	0	0	15	16	24531	24708	0	0	0	10859	10968	286	297	2992			1274	1993	6006	3231	11997	207	0	12	0	0	0	3	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1351																																																																																																																																																		0	0	32118	0	0	0	0	0	0	0	0	0	0	39232	39125	9972	9953	0	19935	19997	0	0	0	0	2826	0	0	0	2826	22415	13608	8993	0	0	0	0	342	510	0	176	314																									0	0	0	0									0	0	0	0	176	175	316	314	0	0	0	0	0	0	0	0			
1454																																																																																																																																																		0	0	59084	35545	35724	0	0	0	0	0	0	0	0	0	0	396587	398023	0	0	0	92929	94622	76959	76499	48999	9	65	17120	65270	113637	63337	85001	16389	0	0	0	0	3334	11839	5139	16892																									0	0	0	0									0	0	0	0	0	0	21457	22032	0	0	0	0	0	0	0	0			
